C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,αDR,79,6,5,1,8,14,4,3,13,17,0,1,14
2.0,ALL,73,3,7,15,0,1,12,17,1,1,19,19,2
3.0,C9,60,4,1,6,6,4,5,1,13,16,1,3,2
4.0,K1CK,58,1,8,5,2,12,1,15,5,2,1,4,9
5.0,RIG,42,16,2,2,15,13,0,9,0,5,6,17,3
6.0,UNI,41,2,4,20,0,11,2,5,6,3,6,10,0
7.0,NRG,35,13,3,8,3,2,5,4,2,18,0,14,4
8.0,GW,34,11,1,11,5,16,4,2,5,4,3,16,0
9.0,PLRS,30,10,5,9,7,20,0,8,5,19,0,7,4
10.0,RNT,27,20,0,4,0,8,1,14,0,11,5,2,3
11.0,SSG,25,17,0,13,0,9,7,6,0,10,2,6,5
12.0,ODK,25,8,2,17,1,5,5,7,1,13,2,5,0
13.0,V3,24,14,0,16,0,3,5,10,5,14,2,13,0
14.0,DEWA,20,15,1,18,0,7,2,16,0,7,6,15,3
15.0,CLG,19,7,5,10,4,19,2,13,1,12,0,18,0
16.0,TTM,18,19,0,3,2,10,1,12,1,15,0,8,1
17.0,DTN,17,18,3,12,1,6,1,20,0,8,2,12,3
18.0,IG,14,9,3,19,0,15,1,19,0,9,2,11,2
19.0,G2,14,5,7,14,0,18,0,11,1,20,0,20,0
20.0,SNG,13,12,0,7,2,17,0,18,0,6,1,9,1
