,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 4, 2021 - 19:00 CETWorld's Edge Rascals Phoenix Legacy 1907 Fenerbahçe Esports","Round 1 Round 1 December 4, 2021 - 19:00 CETWorld's Edge Rascals Phoenix Legacy 1907 Fenerbahçe Esports","Round 2 Round 2 December 4, 2021 - 19:35 CETWorld's Edge Guild Esports Alliance 69iQ esports","Round 2 Round 2 December 4, 2021 - 19:35 CETWorld's Edge Guild Esports Alliance 69iQ esports","Round 3 Round 3 December 4, 2021 - 20:10 CETWorld's EdgeMissing: future oerfect 69iQ esports Guild Esports","Round 3 Round 3 December 4, 2021 - 20:10 CETWorld's EdgeMissing: future oerfect 69iQ esports Guild Esports","Round 4 Round 4 December 4, 2021 - 20:45 CETWorld's Edge Alliance NEW Esports UNDERRATED","Round 4 Round 4 December 4, 2021 - 20:45 CETWorld's Edge Alliance NEW Esports UNDERRATED","Round 5 Round 5 December 4, 2021 - 21:20 CETWorld's Edge Nemesis 69iQ esports FIGVAM","Round 5 Round 5 December 4, 2021 - 21:20 CETWorld's Edge Nemesis 69iQ esports FIGVAM","Round 6 Round 6 December 4, 2021 - 21:55 CETWorld's Edge 69iQ esports Ethernal SCARZ Europe","Round 6 Round 6 December 4, 2021 - 21:55 CETWorld's Edge 69iQ esports Ethernal SCARZ Europe"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,69IQ,67,13,3,3,4,2,4,5,3,2,3,1,8
1,2.0,ALL,51,16,0,2,11,11,0,1,10,19,0,4,3
2,3.0,GUILD,50,5,0,1,11,3,4,14,5,18,0,9,4
3,4.0,TTM,46,10,0,4,9,7,0,20,0,5,11,7,9
4,5.0,NMS,45,4,7,12,1,19,0,13,0,1,18,19,0
5,6.0,RASC,38,1,9,6,4,20,0,19,1,13,0,5,4
6,7.0,SZ.EU,37,19,0,16,3,15,6,4,2,4,1,3,7
7,8.0,ETH,34,11,0,8,2,4,7,11,2,17,0,2,5
8,9.0,FV,33,8,5,13,1,14,0,8,3,3,4,10,5
9,10.0,FP,32,20,0,14,0,1,14,17,1,9,2,17,0
10,11.0,PXL,32,2,10,9,0,18,0,15,0,6,3,13,3
11,12.0,IG,31,15,1,7,6,5,8,7,2,11,1,11,0
12,13.0,FORG,29,6,8,17,0,8,4,10,4,7,2,15,0
13,14.0,USG,27,9,2,5,2,9,2,6,3,12,2,6,1
14,15.0,UND,25,17,0,20,0,10,5,3,11,20,0,20,0
15,16.0,NEW,23,14,2,10,1,6,2,2,3,16,0,18,0
16,17.0,CLQ,19,7,4,19,0,13,0,18,3,8,2,12,3
17,18.0,FB,19,3,3,11,1,17,0,16,0,10,5,16,0
18,19.0,YMG,18,12,3,15,2,12,1,9,2,15,0,8,2
19,20.0,K1CK,16,18,1,18,0,16,0,12,3,14,3,14,6
