,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 21, 2021 - 19:00 CETWorld's Edge 69iQ esports Les cités de France Gambit Esports","Round 1 Round 1 November 21, 2021 - 19:00 CETWorld's Edge 69iQ esports Les cités de France Gambit Esports","Round 2 Round 2 November 21, 2021 - 19:35 CETWorld's Edge ZETA DIVISION FIGVAM Future Perfect","Round 2 Round 2 November 21, 2021 - 19:35 CETWorld's Edge ZETA DIVISION FIGVAM Future Perfect","Round 3 Round 3 November 21, 2021 - 20:10 CETWorld's Edge Gambit Esports GMT Esports Clean","Round 3 Round 3 November 21, 2021 - 20:10 CETWorld's Edge Gambit Esports GMT Esports Clean","Round 4 Round 4 November 21, 2021 - 20:45 CETWorld's Edge Future Perfect Totem Esports Forg Gang","Round 4 Round 4 November 21, 2021 - 20:45 CETWorld's Edge Future Perfect Totem Esports Forg Gang","Round 5 Round 5 November 21, 2021 - 21:20 CETWorld's Edge Future Perfect Les cités de France Totem Esports","Round 5 Round 5 November 21, 2021 - 21:20 CETWorld's Edge Future Perfect Les cités de France Totem Esports","Round 6 Round 6 November 21, 2021 - 21:55 CETWorld's Edge dead inside Clean 69iQ esports","Round 6 Round 6 November 21, 2021 - 21:55 CETWorld's Edge dead inside Clean 69iQ esports"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,FP,69,131,44,37,1010,151,55,112,99,112,77,111,0
1,2.0,TTM,53,111,33,45,77,63,11,29,99,37,11,82,55
2,3.0,GMB,50,37,66,190,0,112,1010,170,0,54,88,102,11
3,4.0,69IQ,46,112,77,92,0,73,66,160,0,92,0,37,77
4,5.0,CLN,45,82,55,73,33,37,55,92,0,121,33,29,55
5,6.0,FORG,42,102,11,63,66,92,44,37,88,63,55,190,11
6,7.0,LCDF,40,29,44,180,0,111,0,54,44,29,55,63,11
7,8.0,SZ.EU,39,45,66,111,0,141,11,45,88,151,11,92,88
8,9.0,FV,38,63,33,29,22,45,77,190,0,73,55,141,0
9,10.0,GMT,37,54,44,102,22,29,33,180,0,45,11,73,44
10,11.0,ZETA,30,170,33,112,77,131,33,102,11,180,0,151,0
11,12.0,DI,28,73,0,170,0,82,11,121,11,190,0,112,88
12,13.0,GUILD,26,141,33,82,22,170,33,82,66,102,55,170,0
13,14.0,PXL,21,121,33,131,66,190,0,151,11,141,22,121,44
14,15.0,OP,21,151,0,54,22,160,0,73,22,82,77,180,0
15,16.0,AP,20,180,0,121,0,121,0,63,0,170,0,45,1010
16,17.0,NAVI,14,92,0,151,22,54,33,111,0,160,0,131,0
17,18.0,YMG,13,190,0,160,0,102,11,131,44,111,44,160,0
18,19.0,NMS,13,160,11,141,33,180,0,141,0,131,0,54,22
19,20.0,UWU,0,0,0,0,0,0,0,0,0,0,0,0,0
