,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 30, 2021 - 17:00 CETWorld's Edge Kungarna Top Dogs MajorPushers","Round 1 Round 1 October 30, 2021 - 17:00 CETWorld's Edge Kungarna Top Dogs MajorPushers","Round 2 Round 2 October 30, 2021 - 17:35 CETWorld's Edge DungeonMast33rs Top Dogs 789","Round 2 Round 2 October 30, 2021 - 17:35 CETWorld's Edge DungeonMast33rs Top Dogs 789","Round 3 Round 3 October 30, 2021 - 18:10 CETWorld's Edge Redragon Totem Esports Myztro Gaming","Round 3 Round 3 October 30, 2021 - 18:10 CETWorld's Edge Redragon Totem Esports Myztro Gaming","Round 4 Round 4 October 30, 2021 - 18:45 CETWorld's Edge Top Dogs Redragon FIGVAM","Round 4 Round 4 October 30, 2021 - 18:45 CETWorld's Edge Top Dogs Redragon FIGVAM","Round 5 Round 5 October 30, 2021 - 19:20 CETWorld's Edge Forg Gang Guild Esports Redragon","Round 5 Round 5 October 30, 2021 - 19:20 CETWorld's Edge Forg Gang Guild Esports Redragon","Round 6 Round 6 October 30, 2021 - 19:55 CETWorld's Edge Myztro Gaming Top Dogs Rebel","Round 6 Round 6 October 30, 2021 - 19:55 CETWorld's Edge Myztro Gaming Top Dogs Rebel"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,TD,71,29,1010,29,1111,131,11,112,66,180,0,29,33
1,2.0,MYZ,63,102,99,102,44,37,44,141,33,63,22,112,1414
2,3.0,RD,61,151,11,92,44,112,1212,29,22,37,88,141,22
3,4.0,789,53,45,66,37,1111,160,0,45,55,141,0,45,88
4,5.0,KNG,47,112,88,111,44,63,22,160,0,102,33,63,99
5,6.0,FORG,44,190,0,54,44,54,44,151,22,112,88,82,33
6,7.0,DM,40,54,33,112,99,170,0,63,88,170,0,151,0
7,8.0,69IQ,37,73,11,63,44,73,66,73,11,54,77,121,11
8,9.0,GUILD,35,92,44,180,33,102,11,190,11,29,55,102,66
9,10.0,SQG,31,82,0,121,0,151,88,54,1313,160,11,131,0
10,11.0,MP,31,37,55,45,0,82,55,131,11,111,44,180,0
11,12.0,TTM,29,141,33,73,33,29,55,82,0,131,11,111,0
12,13.0,FP,27,160,22,160,0,45,22,102,22,73,44,54,33
13,14.0,FV,23,63,11,141,0,111,11,37,66,121,22,160,0
14,15.0,SZ.EU,20,200,0,151,0,92,22,111,0,92,44,73,55
15,16.0,RBL,16,180,0,170,0,121,11,92,33,190,0,37,22
16,17.0,NMS,12,111,22,190,0,141,11,180,22,151,44,200,0
17,18.0,RAT,10,131,22,200,0,200,0,200,0,45,22,190,0
18,19.0,YMG,9,121,22,131,0,180,11,121,11,200,0,92,0
19,20.0,PXL,7,170,0,82,0,190,0,170,0,82,22,170,11
