,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 31, 2021 - 16:00 GMTWorld's Edge Ethernal Les cités de France AllPlanned","Round 1 Round 1 October 31, 2021 - 16:00 GMTWorld's Edge Ethernal Les cités de France AllPlanned","Round 2 Round 2 October 31, 2021 - 17:35 GMTWorld's Edge Gambit Esports Clean dead inside","Round 2 Round 2 October 31, 2021 - 17:35 GMTWorld's Edge Gambit Esports Clean dead inside","Round 3 Round 3 October 31, 2021 - 18:10 GMTWorld's Edge Invictus Gaming International Gambit Esports Clique Esports","Round 3 Round 3 October 31, 2021 - 18:10 GMTWorld's Edge Invictus Gaming International Gambit Esports Clique Esports","Round 4 Round 4 October 31, 2021 - 18:45 GMTWorld's Edge K1CK AllPlanned Natus Vincere","Round 4 Round 4 October 31, 2021 - 18:45 GMTWorld's Edge K1CK AllPlanned Natus Vincere","Round 5 Round 5 October 31, 2021 - 19:20 GMTWorld's Edge Gambit Esports Alliance Natus Vincere","Round 5 Round 5 October 31, 2021 - 19:20 GMTWorld's Edge Gambit Esports Alliance Natus Vincere","Round 6 Round 6 October 31, 2021 - 19:55 GMTWorld's Edge Rascals Les cités de France Outplayed","Round 6 Round 6 October 31, 2021 - 19:55 GMTWorld's Edge Rascals Les cités de France Outplayed"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,GMB,69,7,5,1,6,2,2,11,1,1,9,5,5
1,2.0,RASC,60,13,3,4,8,11,2,4,8,20,0,1,15
2,3.0,ALL,55,6,0,5,8,7,9,7,7,2,6,6,0
3,4.0,K1CK,46,9,9,17,3,18,0,1,8,8,6,12,3
4,5.0,LCDF,44,2,6,9,2,9,8,13,2,13,1,2,1
5,6.0,IG,38,10,2,20,0,1,10,5,2,7,2,11,0
6,7.0,CLQ,36,5,1,7,1,3,6,8,3,5,2,10,1
7,8.0,GMT,33,11,6,6,5,16,1,10,4,9,2,4,2
8,9.0,ETH,32,1,11,10,0,8,2,17,0,16,0,8,1
9,10.0,OP,28,20,0,12,0,12,0,14,3,6,2,3,10
10,11.0,FB,28,8,0,11,1,5,0,9,1,4,7,9,3
11,12.0,NAVI,28,16,0,15,2,19,0,3,4,3,4,14,2
12,13.0,DI,28,12,0,3,5,20,0,16,0,12,1,7,10
13,14.0,ZETA,28,14,3,8,3,6,6,6,5,15,0,18,1
14,15.0,CLN,26,17,0,2,5,10,3,15,0,11,2,15,2
15,16.0,AP,25,3,2,14,0,13,2,2,3,19,0,17,0
16,17.0,NEW,17,19,3,16,0,14,1,12,5,14,5,19,0
17,18.0,UND,16,4,2,13,4,15,0,20,0,17,0,16,3
18,19.0,UWU,15,15,0,19,3,4,3,19,3,18,0,20,0
19,20.0,USG,13,18,3,18,0,17,1,18,0,10,6,13,0
