,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 19, 2021 - 19:00 CETWorld's Edge Alliance K1CK Myztro Gaming","Round 1 Round 1 November 19, 2021 - 19:00 CETWorld's Edge Alliance K1CK Myztro Gaming","Round 2 Round 2 November 19, 2021 - 19:35 CETWorld's Edge 789 K1CK MajorPushers","Round 2 Round 2 November 19, 2021 - 19:35 CETWorld's Edge 789 K1CK MajorPushers","Round 3 Round 3 November 19, 2021 - 20:10 CETWorld's Edge Myztro Gaming Rats Rebel","Round 3 Round 3 November 19, 2021 - 20:10 CETWorld's Edge Myztro Gaming Rats Rebel","Round 4 Round 4 November 19, 2021 - 20:45 CETWorld's Edge UNDERRATED Rebel Alliance","Round 4 Round 4 November 19, 2021 - 20:45 CETWorld's Edge UNDERRATED Rebel Alliance","Round 5 Round 5 November 19, 2021 - 21:20 CETWorld's Edge Rebel Alliance Ethernal","Round 5 Round 5 November 19, 2021 - 21:20 CETWorld's Edge Rebel Alliance Ethernal","Round 6 Round 6 November 19, 2021 - 21:55 CETWorld's Edge Invictus Gaming International K1CK Ethernal","Round 6 Round 6 November 19, 2021 - 21:55 CETWorld's Edge Invictus Gaming International K1CK Ethernal"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,K1CK,66,29,1010,29,77,121,0,82,22,102,55,29,1010
1,2.0,RBL,58,45,66,63,11,37,33,29,33,112,66,73,0
2,3.0,IG,57,54,44,54,77,180,0,54,11,54,55,112,1212
3,4.0,ALL,55,112,1313,180,0,190,33,37,55,29,44,92,0
4,5.0,UND,44,63,0,200,0,45,55,112,1313,131,0,102,33
5,6.0,ETH,42,160,0,160,0,73,77,73,11,37,1010,37,44
6,7.0,MYZ,41,37,11,190,0,112,99,121,0,92,11,63,55
7,8.0,789,37,190,22,112,66,102,44,102,0,63,44,141,11
8,9.0,MP,36,151,0,37,1010,151,33,190,0,45,88,111,0
9,10.0,FB,31,73,0,73,33,200,0,63,66,121,66,82,44
10,11.0,TD,31,170,0,151,33,82,44,45,77,151,0,45,33
11,12.0,RD,26,92,77,82,77,111,0,111,11,200,0,54,11
12,13.0,NEW,23,82,11,102,22,92,0,151,88,180,0,160,55
13,14.0,RAT,21,102,55,131,0,29,11,170,0,190,0,190,33
14,15.0,CLQ,20,131,0,45,22,54,33,92,0,73,0,200,0
15,16.0,DM,19,141,44,111,0,131,33,200,0,151,33,151,44
16,17.0,SQG,18,111,22,121,55,160,22,131,66,170,0,170,0
17,18.0,USG,18,121,44,141,0,63,55,160,22,160,22,180,0
18,19.0,KNG,12,180,0,92,11,141,0,141,0,82,33,131,11
19,20.0,RASC,7,200,0,170,11,170,0,180,22,111,0,121,22
