,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6,League StandingsRound 6 Round 1Round 2Round 3Round 4Round 5Round 6
,#,Team,Team.1,Total,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1
70,29.,NMS▼11,NMS▼11,2,2,0,-,-,-,-,,,,,,
71,29.,RBL▼6,RBL▼6,2,1,1,-,-,-,-,,,,,,
72,33.,789▼2,789▼2,1,0,1,-,-,-,-,,,,,,
73,34.,RD▼12,RD▼12,1,1,0,-,-,-,-,,,,,,
74,35.,USG▼12,USG▼12,1,1,0,-,-,-,-,,,,,,
75,35.,YMG▼12,YMG▼12,1,1,0,-,-,-,-,,,,,,
76,37.,RASC▼4,RASC▼4,0,0,0,-,-,-,-,,,,,,
77,37.,RAT▼4,RAT▼4,0,0,0,-,-,-,-,,,,,,
78,37.,TD▼4,TD▼4,0,0,0,-,-,-,-,,,,,,
79,37.,UWU▼4,UWU▼4,0,0,0,-,-,-,-,,,,,,
80,1.,GMB▲7,GMB▲7,23,9,2,12,-,-,-,,,,,,
81,2.,GUILD▼1,GUILD▼1,21,7,12,2,-,-,-,,,,,,
82,2.,MYZ▲4,MYZ▲4,21,0,12,9,-,-,-,,,,,,
83,4.,DM▼2,DM▼2,17,9,5,3,-,-,-,,,,,,
84,4.,LCDF,LCDF,17,4,9,4,-,-,-,,,,,,
85,6.,GMT▼4,GMT▼4,16,12,2,2,-,-,-,,,,,,
86,6.,IG▼2,IG▼2,16,12,1,3,-,-,-,,,,,,
87,8.,SZ.EU▼1,SZ.EU▼1,12,2,9,1,-,-,-,,,,,,
88,9.,ALL▲6,ALL▲6,12,2,3,7,-,-,-,,,,,,
89,9.,TD▲28,TD▲28,12,0,0,12,-,-,-,,,,,,
90,11.,MP▼2,MP▼2,11,7,3,1,-,-,-,,,,,,
91,12.,K1CK▲1,K1CK▲1,11,4,2,5,-,-,-,,,,,,
92,13.,KNG,KNG,10,5,1,4,-,-,-,,,,,,
93,13.,NEW▼3,NEW▼3,10,3,7,0,-,-,-,,,,,,
94,15.,RASC▲22,RASC▲22,9,0,0,9,-,-,-,,,,,,
95,16.,ETH▼4,ETH▼4,8,2,4,2,-,-,-,,,,,,
96,16.,RD▲18,RD▲18,8,1,0,7,-,-,-,,,,,,
97,16.,ZETA▼5,ZETA▼5,8,0,7,1,-,-,-,,,,,,
98,19.,69IQ▼4,69IQ▼4,7,5,0,2,-,-,-,,,,,,
99,20.,789▲13,789▲13,6,0,1,5,-,-,-,,,,,,
100,21.,NAVI▼6,NAVI▼6,6,3,2,1,-,-,-,,,,,,
101,21.,SQG▼2,SQG▼2,6,3,1,2,-,-,-,,,,,,
102,21.,TTM▼6,TTM▼6,6,0,5,1,-,-,-,,,,,,
103,24.,OP▼1,OP▼1,5,3,0,2,-,-,-,,,,,,
104,25.,FB▼6,FB▼6,5,1,3,1,-,-,-,,,,,,
105,25.,CLN▼6,CLN▼6,5,0,4,1,-,-,-,,,,,,
106,25.,CLQ▲4,CLQ▲4,5,1,1,3,-,-,-,,,,,,
107,25.,FORG▲4,FORG▲4,5,1,1,3,-,-,-,,,,,,
108,29.,FV▼7,FV▼7,4,2,1,1,-,-,-,,,,,,
109,30.,FP▼6,FP▼6,4,1,2,1,-,-,-,,,,,,
110,31.,DI▼3,DI▼3,3,1,1,1,-,-,-,,,,,,
111,32.,AP▼8,AP▼8,3,0,3,0,-,-,-,,,,,,
112,32.,PXL▼8,PXL▼8,3,1,2,0,-,-,-,,,,,,
113,32.,UND▼8,UND▼8,3,2,1,0,-,-,-,,,,,,
114,35.,NMS▼6,NMS▼6,2,2,0,0,-,-,-,,,,,,
115,35.,RBL▼6,RBL▼6,2,1,1,0,-,-,-,,,,,,
116,37.,USG▼2,USG▼2,1,1,0,0,-,-,-,,,,,,
117,37.,YMG▼2,YMG▼2,1,1,0,0,-,-,-,,,,,,
118,39.,RAT▼2,RAT▼2,0,0,0,0,-,-,-,,,,,,
119,39.,UWU▼2,UWU▼2,0,0,0,0,-,-,-,,,,,,
120,1.,GMB,GMB,30,9,2,12,7,-,-,,,,,,
121,2.,MYZ,MYZ,24,0,12,9,3,-,-,,,,,,
122,3.,IG▲3,IG▲3,23,12,1,3,7,-,-,,,,,,
123,3.,K1CK▲9,K1CK▲9,23,4,2,5,12,-,-,,,,,,
124,5.,GUILD▼3,GUILD▼3,22,7,12,2,1,-,-,,,,,,
125,6.,LCDF▼2,LCDF▼2,20,4,9,4,3,-,-,,,,,,
126,7.,GMT▼1,GMT▼1,18,12,2,2,2,-,-,,,,,,
127,8.,ALL▲1,ALL▲1,17,2,3,7,5,-,-,,,,,,
128,8.,DM▼4,DM▼4,17,9,5,3,0,-,-,,,,,,
129,10.,FP▲20,FP▲20,16,1,2,1,12,-,-,,,,,,
130,11.,TTM▲10,TTM▲10,15,0,5,1,9,-,-,,,,,,
131,12.,SZ.EU▼4,SZ.EU▼4,14,2,9,1,2,-,-,,,,,,
132,13.,TD▼4,TD▼4,14,0,0,12,2,-,-,,,,,,
133,14.,MP▼3,MP▼3,13,7,3,1,2,-,-,,,,,,
134,15.,69IQ▲4,69IQ▲4,12,5,0,2,5,-,-,,,,,,
135,16.,ETH,ETH,11,2,4,2,3,-,-,,,,,,
136,17.,NEW▼4,NEW▼4,11,3,7,0,1,-,-,,,,,,
137,17.,RBL▲18,RBL▲18,11,1,1,0,9,-,-,,,,,,
138,19.,KNG▼6,KNG▼6,10,5,1,4,0,-,-,,,,,,
139,20.,RD▼4,RD▼4,9,1,0,7,1,-,-,,,,,,
140,20.,ZETA▼4,ZETA▼4,9,0,7,1,1,-,-,,,,,,
141,22.,CLN▲3,CLN▲3,9,0,4,1,4,-,-,,,,,,
142,22.,RASC▼7,RASC▼7,9,0,0,9,0,-,-,,,,,,
143,24.,789▼4,789▼4,8,0,1,5,2,-,-,,,,,,
144,25.,FORG,FORG,8,1,1,3,3,-,-,,,,,,
145,26.,UND▲6,UND▲6,7,2,1,0,4,-,-,,,,,,
146,27.,FV▲2,FV▲2,6,2,1,1,2,-,-,,,,,,
147,28.,OP▼4,OP▼4,6,3,0,2,1,-,-,,,,,,
148,29.,FB▼4,FB▼4,6,1,3,1,1,-,-,,,,,,
149,29.,CLQ▼4,CLQ▼4,6,1,1,3,1,-,-,,,,,,
150,29.,NAVI▼8,NAVI▼8,6,3,2,1,0,-,-,,,,,,
151,29.,SQG▼8,SQG▼8,6,3,1,2,0,-,-,,,,,,
152,33.,DI▼2,DI▼2,4,1,1,1,1,-,-,,,,,,
153,34.,PXL▼2,PXL▼2,4,1,2,0,1,-,-,,,,,,
154,35.,AP▼3,AP▼3,3,0,3,0,0,-,-,,,,,,
155,36.,NMS▼1,NMS▼1,2,2,0,0,0,-,-,,,,,,
156,37.,RAT▲2,RAT▲2,1,0,0,0,1,-,-,,,,,,
157,37.,USG,USG,1,1,0,0,0,-,-,,,,,,
158,37.,YMG,YMG,1,1,0,0,0,-,-,,,,,,
159,DQ.,UWU▼1,UWU▼1,0,0,0,0,0,-,-,,,,,,
160,1.,GMB,GMB,35,9,2,12,7,5,-,,,,,,
161,2.,GUILD▲3,GUILD▲3,29,7,12,2,1,7,-,,,,,,
162,3.,MYZ▼1,MYZ▼1,27,0,12,9,3,3,-,,,,,,
163,4.,ALL▲4,ALL▲4,26,2,3,7,5,9,-,,,,,,
164,5.,GMT▲2,GMT▲2,25,12,2,2,2,7,-,,,,,,
165,6.,69IQ▲9,69IQ▲9,24,5,0,2,5,12,-,,,,,,
166,6.,IG▼3,IG▼3,24,12,1,3,7,1,-,,,,,,
167,8.,K1CK▼5,K1CK▼5,23,4,2,5,12,0,-,,,,,,
168,8.,RBL▲9,RBL▲9,23,1,1,0,9,12,-,,,,,,
169,10.,MP▲4,MP▲4,22,7,3,1,2,9,-,,,,,,
170,11.,LCDF▼5,LCDF▼5,20,4,9,4,3,0,-,,,,,,
171,11.,TTM,TTM,20,0,5,1,9,5,-,,,,,,
172,13.,DM▼5,DM▼5,19,9,5,3,0,2,-,,,,,,
173,14.,FP▼4,FP▼4,18,1,2,1,12,2,-,,,,,,
174,15.,SZ.EU▼3,SZ.EU▼3,17,2,9,1,2,3,-,,,,,,
175,16.,TD▼3,TD▼3,14,0,0,12,2,0,-,,,,,,
176,17.,ETH▼1,ETH▼1,13,2,4,2,3,2,-,,,,,,
177,18.,RASC▲4,RASC▲4,12,0,0,9,0,3,-,,,,,,
178,19.,KNG,KNG,11,5,1,4,0,1,-,,,,,,
179,19.,NEW▼2,NEW▼2,11,3,7,0,1,0,-,,,,,,
180,21.,CLN▲1,CLN▲1,10,0,4,1,4,1,-,,,,,,
181,22.,789▲2,789▲2,9,0,1,5,2,1,-,,,,,,
182,23.,OP▲5,OP▲5,9,3,0,2,1,3,-,,,,,,
183,24.,RD▼4,RD▼4,9,1,0,7,1,0,-,,,,,,
184,24.,ZETA▼4,ZETA▼4,9,0,7,1,1,0,-,,,,,,
185,26.,FORG▼1,FORG▼1,9,1,1,3,3,1,-,,,,,,
186,27.,DI▲6,DI▲6,8,1,1,1,1,4,-,,,,,,
187,28.,FV▼1,FV▼1,8,2,1,1,2,2,-,,,,,,
188,29.,NAVI,NAVI,8,3,2,1,0,2,-,,,,,,
189,29.,SQG,SQG,8,3,1,2,0,2,-,,,,,,
190,29.,UND▼3,UND▼3,8,2,1,0,4,1,-,,,,,,
191,32.,FB▼3,FB▼3,6,1,3,1,1,0,-,,,,,,
192,32.,CLQ▼3,CLQ▼3,6,1,1,3,1,0,-,,,,,,
193,32.,NMS▲4,NMS▲4,6,2,0,0,0,4,-,,,,,,
194,35.,PXL▼1,PXL▼1,5,1,2,0,1,1,-,,,,,,
195,36.,AP▼1,AP▼1,4,0,3,0,0,1,-,,,,,,
196,37.,RAT,RAT,2,0,0,0,1,1,-,,,,,,
197,37.,USG,USG,2,1,0,0,0,1,-,,,,,,
198,39.,YMG▼2,YMG▼2,1,1,0,0,0,0,-,,,,,,
199,DQ.,UWU,UWU,0,0,0,0,0,0,-,,,,,,
200,1.,GMB,GMB,44,9,2,12,7,5,9,,,,,,
201,2.,ALL▲2,ALL▲2,38,2,3,7,5,9,12,,,,,,
202,3.,GUILD▼1,GUILD▼1,32,7,12,2,1,7,3,,,,,,
203,4.,69IQ▲2,69IQ▲2,31,5,0,2,5,12,7,,,,,,
204,5.,FP▲9,FP▲9,30,1,2,1,12,2,12,,,,,,
205,5.,GMT,GMT,30,12,2,2,2,7,5,,,,,,
206,7.,MYZ▼4,MYZ▼4,29,0,12,9,3,3,2,,,,,,
207,8.,IG▼2,IG▼2,27,12,1,3,7,1,3,,,,,,
208,9.,TTM▲2,TTM▲2,25,0,5,1,9,5,5,,,,,,
209,10.,RBL▼2,RBL▼2,24,1,1,0,9,12,1,,,,,,
210,11.,MP▼1,MP▼1,23,7,3,1,2,9,1,,,,,,
211,12.,K1CK▼4,K1CK▼4,23,4,2,5,12,0,0,,,,,,
212,13.,LCDF▼2,LCDF▼2,21,4,9,4,3,0,1,,,,,,
213,14.,SZ.EU▲1,SZ.EU▲1,19,2,9,1,2,3,2,,,,,,
214,15.,DM▼2,DM▼2,19,9,5,3,0,2,0,,,,,,
215,16.,NEW▲3,NEW▲3,18,3,7,0,1,0,7,,,,,,
216,17.,KNG▲2,KNG▲2,15,5,1,4,0,1,4,,,,,,
217,17.,TD▼1,TD▼1,15,0,0,12,2,0,1,,,,,,
218,19.,ETH▼2,ETH▼2,14,2,4,2,3,2,1,,,,,,
219,20.,RASC▼2,RASC▼2,14,0,0,9,0,3,2,,,,,,
220,21.,CLN,CLN,13,0,4,1,4,1,3,,,,,,
221,22.,UND▲7,UND▲7,12,2,1,0,4,1,4,,,,,,
222,23.,DI▲4,DI▲4,10,1,1,1,1,4,2,,,,,,
223,24.,FV▲4,FV▲4,10,2,1,1,2,2,2,,,,,,
224,25.,789▼3,789▼3,10,0,1,5,2,1,1,,,,,,
225,26.,OP▼3,OP▼3,10,3,0,2,1,3,1,,,,,,
226,27.,ZETA▼3,ZETA▼3,10,0,7,1,1,0,1,,,,,,
227,28.,YMG▲11,YMG▲11,10,1,0,0,0,0,9,,,,,,
228,29.,RD▼5,RD▼5,9,1,0,7,1,0,0,,,,,,
229,30.,FORG▼4,FORG▼4,9,1,1,3,3,1,0,,,,,,
230,30.,NMS▲2,NMS▲2,9,2,0,0,0,4,3,,,,,,
231,32.,NAVI▼3,NAVI▼3,8,3,2,1,0,2,0,,,,,,
232,32.,SQG▼3,SQG▼3,8,3,1,2,0,2,0,,,,,,
233,34.,FB▼2,FB▼2,7,1,3,1,1,0,1,,,,,,
234,35.,AP▲1,AP▲1,6,0,3,0,0,1,2,,,,,,
235,35.,CLQ▼3,CLQ▼3,6,1,1,3,1,0,0,,,,,,
236,35.,PXL,PXL,6,1,2,0,1,1,1,,,,,,
237,38.,RAT▼1,RAT▼1,2,0,0,0,1,1,0,,,,,,
238,38.,USG▼1,USG▼1,2,1,0,0,0,1,0,,,,,,
239,DQ.,UWU,UWU,0,0,0,0,0,0,0,,,,,,
