,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 November 21, 2021 - 19:00 CETWorld's Edge 69iQ esports Les cités de France Gambit Esports","Round 1 Round 1 November 21, 2021 - 19:00 CETWorld's Edge 69iQ esports Les cités de France Gambit Esports","Round 2 Round 2 November 21, 2021 - 19:35 CETWorld's Edge ZETA DIVISION FIGVAM Future Perfect","Round 2 Round 2 November 21, 2021 - 19:35 CETWorld's Edge ZETA DIVISION FIGVAM Future Perfect","Round 3 Round 3 November 21, 2021 - 20:10 CETWorld's Edge Gambit Esports GMT Esports Clean","Round 3 Round 3 November 21, 2021 - 20:10 CETWorld's Edge Gambit Esports GMT Esports Clean","Round 4 Round 4 November 21, 2021 - 20:45 CETWorld's Edge Future Perfect Totem Esports Forg Gang","Round 4 Round 4 November 21, 2021 - 20:45 CETWorld's Edge Future Perfect Totem Esports Forg Gang","Round 5 Round 5 November 21, 2021 - 21:20 CETWorld's Edge Future Perfect Les cités de France Totem Esports","Round 5 Round 5 November 21, 2021 - 21:20 CETWorld's Edge Future Perfect Les cités de France Totem Esports","Round 6 Round 6 November 21, 2021 - 21:55 CETWorld's Edge dead inside Clean 69iQ esports","Round 6 Round 6 November 21, 2021 - 21:55 CETWorld's Edge dead inside Clean 69iQ esports"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,FP,69,13,4,3,10,15,5,1,9,1,7,11,0
1,2.0,TTM,53,11,3,4,7,6,1,2,9,3,1,8,5
2,3.0,GMB,50,3,6,19,0,1,10,17,0,5,8,10,1
3,4.0,69IQ,46,1,7,9,0,7,6,16,0,9,0,3,7
4,5.0,CLN,45,8,5,7,3,3,5,9,0,12,3,2,5
5,6.0,FORG,42,10,1,6,6,9,4,3,8,6,5,19,1
6,7.0,LCDF,40,2,4,18,0,11,0,5,4,2,5,6,1
7,8.0,SZ.EU,39,4,6,11,0,14,1,4,8,15,1,9,8
8,9.0,FV,38,6,3,2,2,4,7,19,0,7,5,14,0
9,10.0,GMT,37,5,4,10,2,2,3,18,0,4,1,7,4
10,11.0,ZETA,30,17,3,1,7,13,3,10,1,18,0,15,0
11,12.0,DI,28,7,0,17,0,8,1,12,1,19,0,1,8
12,13.0,GUILD,26,14,3,8,2,17,3,8,6,10,5,17,0
13,14.0,PXL,21,12,3,13,6,19,0,15,1,14,2,12,4
14,15.0,OP,21,15,0,5,2,16,0,7,2,8,7,18,0
15,16.0,AP,20,18,0,12,0,12,0,6,0,17,0,4,10
16,17.0,NAVI,14,9,0,15,2,5,3,11,0,16,0,13,0
17,18.0,YMG,13,19,0,16,0,10,1,13,4,11,4,16,0
18,19.0,NMS,13,16,1,14,3,18,0,14,0,13,0,5,2
19,20.0,UWU,0,0,0,0,0,0,0,0,0,0,0,0,0
