,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 23, 2021 - 17:00 CETWorld's Edge MajorPushers Redragon Myztro Gaming","Round 1 Round 1 October 23, 2021 - 17:00 CETWorld's Edge MajorPushers Redragon Myztro Gaming","Round 2 Round 2 October 23, 2021 - 17:35 CETWorld's Edge Clean soloQgoats AllPlanned","Round 2 Round 2 October 23, 2021 - 17:35 CETWorld's Edge Clean soloQgoats AllPlanned","Round 3 Round 3 October 23, 2021 - 18:10 CETWorld's Edge DungeonMast33rs Outplayed AllPlanned","Round 3 Round 3 October 23, 2021 - 18:10 CETWorld's Edge DungeonMast33rs Outplayed AllPlanned","Round 4 Round 4 October 23, 2021 - 18:45 CETWorld's Edge Myztro Gaming Natus Vincere ZETA DIVISION","Round 4 Round 4 October 23, 2021 - 18:45 CETWorld's Edge Myztro Gaming Natus Vincere ZETA DIVISION","Round 5 Round 5 October 23, 2021 - 19:20 CETWorld's Edge Les cités de FranceMissing: rebel gambit esports TBD","Round 5 Round 5 October 23, 2021 - 19:20 CETWorld's Edge Les cités de FranceMissing: rebel gambit esports TBD","Round 6 Round 6 October 23, 2021 - 19:55 CETWorld's Edge Myztro Gaming dead inside Clean","Round 6 Round 6 October 23, 2021 - 19:55 CETWorld's Edge Myztro Gaming dead inside Clean"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,MYZ,61,37,66,200,0,92,0,112,1010,200,0,112,1212
1,2.0,ZETA,44,82,33,63,66,121,33,37,22,45,1212,160,0
2,3.0,LCDF,44,121,44,73,66,63,11,141,0,112,99,131,33
3,4.0,DM,43,102,44,82,0,112,1515,151,11,141,0,54,11
4,5.0,AP,42,170,11,37,55,37,88,121,11,73,0,63,66
5,6.0,CLN,42,111,55,112,55,160,0,131,0,102,0,37,99
6,7.0,NAVI,37,151,0,131,0,111,0,29,99,54,1010,151,11
7,8.0,MP,37,112,1111,160,0,200,0,82,55,63,22,102,0
8,9.0,GMT,35,45,44,92,11,54,99,170,11,111,33,73,22
9,10.0,GMB,35,200,0,102,33,102,33,45,66,37,33,92,22
10,11.0,DI,33,54,11,190,0,73,11,102,55,160,0,29,88
11,12.0,789,31,190,0,54,55,45,1010,160,0,170,33,82,22
12,13.0,RBL,31,63,55,121,44,160,11,111,33,29,22,111,11
13,14.0,SQG,28,180,22,29,77,180,0,180,33,82,44,190,11
14,15.0,KNG,28,92,33,45,22,151,0,73,0,131,33,45,33
15,16.0,RD,27,29,77,180,0,141,0,190,33,92,33,121,11
16,17.0,TD,19,73,11,111,88,82,11,92,0,151,0,200,0
17,18.0,OP,17,131,11,170,0,29,44,200,0,180,0,180,22
18,19.0,UWU,15,160,0,151,11,131,22,54,55,190,0,170,11
19,20.0,RAT,14,141,0,141,22,190,0,63,44,121,0,141,11
