,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 16, 2021 - 17:00 CETWorld's Edge UNDERRATED 1907 Fenerbahçe Esports Invictus Gaming International","Round 1 Round 1 October 16, 2021 - 17:00 CETWorld's Edge UNDERRATED 1907 Fenerbahçe Esports Invictus Gaming International","Round 2 Round 2 October 16, 2021 - 17:35 CETWorld's Edge DungeonMast33rs K1CK Invictus Gaming International","Round 2 Round 2 October 16, 2021 - 17:35 CETWorld's Edge DungeonMast33rs K1CK Invictus Gaming International","Round 3 Round 3 October 16, 2021 - 18:10 CETWorld's Edge Kungarna NEW Esports DungeonMast33rs","Round 3 Round 3 October 16, 2021 - 18:10 CETWorld's Edge Kungarna NEW Esports DungeonMast33rs","Round 4 Round 4 October 16, 2021 - 18:45 CETWorld's Edge Kungarna NEW Esports DungeonMast33rs","Round 4 Round 4 October 16, 2021 - 18:45 CETWorld's Edge Kungarna NEW Esports DungeonMast33rs","Round 5 Round 5 October 16, 2021 - 19:20 CETWorld's Edge soloQgoats Redragon Clique Esports","Round 5 Round 5 October 16, 2021 - 19:20 CETWorld's Edge soloQgoats Redragon Clique Esports","Round 6 Round 6 October 16, 2021 - 19:55 CETWorld's Edge Invictus Gaming International Ethernal 1907 Fenerbahçe Esports","Round 6 Round 6 October 16, 2021 - 19:55 CETWorld's Edge Invictus Gaming International Ethernal 1907 Fenerbahçe Esports"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,IG,54,73,1111,37,33,170,0,45,33,131,44,112,55
1,2.0,DM,53,131,33,112,99,63,0,37,1212,141,44,151,0
2,3.0,MP,51,37,44,73,33,112,66,63,44,151,22,92,44
3,4.0,KNG,50,82,55,131,33,54,55,112,1313,102,33,160,0
4,5.0,K1CK,48,102,33,29,1111,102,88,160,22,111,0,73,77
5,6.0,NEW,46,141,33,111,44,45,55,29,1212,160,0,63,33
6,7.0,SQG,44,111,22,180,0,160,11,73,55,112,1111,45,44
7,8.0,UND,39,112,88,92,44,131,11,82,33,82,44,170,0
8,9.0,ETH,38,151,11,160,0,29,44,121,0,73,11,29,99
9,10.0,RBL,33,92,22,102,0,92,66,92,11,45,55,102,44
10,11.0,ALL,33,190,0,54,33,37,77,131,0,92,0,82,77
11,12.0,RD,29,45,22,170,0,180,0,102,0,29,99,190,22
12,13.0,FB,29,29,66,82,11,190,0,180,0,190,11,37,33
13,14.0,CLQ,25,160,0,45,44,141,0,190,0,37,55,180,33
14,15.0,USG,22,63,11,121,11,82,22,151,0,54,66,141,0
15,16.0,RASC,21,54,33,141,11,121,55,141,22,200,0,121,22
16,17.0,MYZ,17,121,22,63,99,151,0,170,0,180,0,131,0
17,18.0,TD,17,180,0,151,0,111,22,200,0,63,11,54,55
18,19.0,RAT,14,170,0,190,0,73,44,54,22,121,0,200,0
19,20.0,789,8,200,0,200,0,200,11,111,0,170,55,111,0
