,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 23, 2021 - 17:00 CETWorld's Edge MajorPushers Redragon Myztro Gaming","Round 1 Round 1 October 23, 2021 - 17:00 CETWorld's Edge MajorPushers Redragon Myztro Gaming","Round 2 Round 2 October 23, 2021 - 17:35 CETWorld's Edge Clean soloQgoats AllPlanned","Round 2 Round 2 October 23, 2021 - 17:35 CETWorld's Edge Clean soloQgoats AllPlanned","Round 3 Round 3 October 23, 2021 - 18:10 CETWorld's Edge DungeonMast33rs Outplayed AllPlanned","Round 3 Round 3 October 23, 2021 - 18:10 CETWorld's Edge DungeonMast33rs Outplayed AllPlanned","Round 4 Round 4 October 23, 2021 - 18:45 CETWorld's Edge Myztro Gaming Natus Vincere ZETA DIVISION","Round 4 Round 4 October 23, 2021 - 18:45 CETWorld's Edge Myztro Gaming Natus Vincere ZETA DIVISION","Round 5 Round 5 October 23, 2021 - 19:20 CETWorld's Edge Les cités de FranceMissing: rebel gambit esports TBD","Round 5 Round 5 October 23, 2021 - 19:20 CETWorld's Edge Les cités de FranceMissing: rebel gambit esports TBD","Round 6 Round 6 October 23, 2021 - 19:55 CETWorld's Edge Myztro Gaming dead inside Clean","Round 6 Round 6 October 23, 2021 - 19:55 CETWorld's Edge Myztro Gaming dead inside Clean"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,MYZ,61,3,6,20,0,9,0,1,10,20,0,1,12
1,2.0,ZETA,44,8,3,6,6,12,3,3,2,4,12,16,0
2,3.0,LCDF,44,12,4,7,6,6,1,14,0,1,9,13,3
3,4.0,DM,43,10,4,8,0,1,15,15,1,14,0,5,1
4,5.0,AP,42,17,1,3,5,3,8,12,1,7,0,6,6
5,6.0,CLN,42,11,5,1,5,16,0,13,0,10,0,3,9
6,7.0,NAVI,37,15,0,13,0,11,0,2,9,5,10,15,1
7,8.0,MP,37,1,11,16,0,20,0,8,5,6,2,10,0
8,9.0,GMT,35,4,4,9,1,5,9,17,1,11,3,7,2
9,10.0,GMB,35,20,0,10,3,10,3,4,6,3,3,9,2
10,11.0,DI,33,5,1,19,0,7,1,10,5,16,0,2,8
11,12.0,789,31,19,0,5,5,4,10,16,0,17,3,8,2
12,13.0,RBL,31,6,5,12,4,16,1,11,3,2,2,11,1
13,14.0,SQG,28,18,2,2,7,18,0,18,3,8,4,19,1
14,15.0,KNG,28,9,3,4,2,15,0,7,0,13,3,4,3
15,16.0,RD,27,2,7,18,0,14,0,19,3,9,3,12,1
16,17.0,TD,19,7,1,11,8,8,1,9,0,15,0,20,0
17,18.0,OP,17,13,1,17,0,2,4,20,0,18,0,18,2
18,19.0,UWU,15,16,0,15,1,13,2,5,5,19,0,17,1
19,20.0,RAT,14,14,0,14,2,19,0,6,4,12,0,14,1
