,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 30, 2021 - 17:00 CETWorld's Edge Kungarna Top Dogs MajorPushers","Round 1 Round 1 October 30, 2021 - 17:00 CETWorld's Edge Kungarna Top Dogs MajorPushers","Round 2 Round 2 October 30, 2021 - 17:35 CETWorld's Edge DungeonMast33rs Top Dogs 789","Round 2 Round 2 October 30, 2021 - 17:35 CETWorld's Edge DungeonMast33rs Top Dogs 789","Round 3 Round 3 October 30, 2021 - 18:10 CETWorld's Edge Redragon Totem Esports Myztro Gaming","Round 3 Round 3 October 30, 2021 - 18:10 CETWorld's Edge Redragon Totem Esports Myztro Gaming","Round 4 Round 4 October 30, 2021 - 18:45 CETWorld's Edge Top Dogs Redragon FIGVAM","Round 4 Round 4 October 30, 2021 - 18:45 CETWorld's Edge Top Dogs Redragon FIGVAM","Round 5 Round 5 October 30, 2021 - 19:20 CETWorld's Edge Forg Gang Guild Esports Redragon","Round 5 Round 5 October 30, 2021 - 19:20 CETWorld's Edge Forg Gang Guild Esports Redragon","Round 6 Round 6 October 30, 2021 - 19:55 CETWorld's Edge Myztro Gaming Top Dogs Rebel","Round 6 Round 6 October 30, 2021 - 19:55 CETWorld's Edge Myztro Gaming Top Dogs Rebel"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,TD,71,2,10,2,11,13,1,1,6,18,0,2,3
1,2.0,MYZ,63,10,9,10,4,3,4,14,3,6,2,1,14
2,3.0,RD,61,15,1,9,4,1,12,2,2,3,8,14,2
3,4.0,789,53,4,6,3,11,16,0,4,5,14,0,4,8
4,5.0,KNG,47,1,8,11,4,6,2,16,0,10,3,6,9
5,6.0,FORG,44,19,0,5,4,5,4,15,2,1,8,8,3
6,7.0,DM,40,5,3,1,9,17,0,6,8,17,0,15,0
7,8.0,69IQ,37,7,1,6,4,7,6,7,1,5,7,12,1
8,9.0,GUILD,35,9,4,18,3,10,1,19,1,2,5,10,6
9,10.0,SQG,31,8,0,12,0,15,8,5,13,16,1,13,0
10,11.0,MP,31,3,5,4,0,8,5,13,1,11,4,18,0
11,12.0,TTM,29,14,3,7,3,2,5,8,0,13,1,11,0
12,13.0,FP,27,16,2,16,0,4,2,10,2,7,4,5,3
13,14.0,FV,23,6,1,14,0,11,1,3,6,12,2,16,0
14,15.0,SZ.EU,20,20,0,15,0,9,2,11,0,9,4,7,5
15,16.0,RBL,16,18,0,17,0,12,1,9,3,19,0,3,2
16,17.0,NMS,12,11,2,19,0,14,1,18,2,15,4,20,0
17,18.0,RAT,10,13,2,20,0,20,0,20,0,4,2,19,0
18,19.0,YMG,9,12,2,13,0,18,1,12,1,20,0,9,0
19,20.0,PXL,7,17,0,8,0,19,0,17,0,8,2,17,1
