,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 3, 2021 - 19:00 CETWorld's Edge Rebel Outplayed GMT Esports","Round 1 Round 1 December 3, 2021 - 19:00 CETWorld's Edge Rebel Outplayed GMT Esports","Round 2 Round 2 December 3, 2021 - 19:35 CETWorld's Edge Rebel Kungarna MajorPushers","Round 2 Round 2 December 3, 2021 - 19:35 CETWorld's Edge Rebel Kungarna MajorPushers","Round 3 Round 3 December 3, 2021 - 20:10 CETWorld's Edge dead inside Natus Vincere GMT Esports","Round 3 Round 3 December 3, 2021 - 20:10 CETWorld's Edge dead inside Natus Vincere GMT Esports","Round 4 Round 4 December 3, 2021 - 20:45 CETWorld's Edge DungeonMast33rs AllPlanned Top Dogs","Round 4 Round 4 December 3, 2021 - 20:45 CETWorld's Edge DungeonMast33rs AllPlanned Top Dogs","Round 5 Round 5 December 3, 2021 - 21:20 CETWorld's Edge Myztro Gaming MajorPushers Rebel","Round 5 Round 5 December 3, 2021 - 21:20 CETWorld's Edge Myztro Gaming MajorPushers Rebel","Round 6 Round 6 December 3, 2021 - 21:55 CETWorld's Edge GMT Esports Gambit Esports Kungarna","Round 6 Round 6 December 3, 2021 - 21:55 CETWorld's Edge GMT Esports Gambit Esports Kungarna"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,RBL,61,112,1010,112,55,160,0,102,88,37,44,141,0
1,2.0,MP,54,121,33,37,22,45,55,121,33,29,88,54,66
2,3.0,GMT,53,37,44,190,0,37,22,180,33,45,33,112,1010
3,4.0,GMB,47,54,44,111,0,102,77,63,66,73,22,29,66
4,5.0,DI,46,141,0,73,55,112,99,131,0,63,55,63,44
5,6.0,MYZ,42,180,0,54,88,73,33,151,0,112,1111,160,0
6,7.0,OP,42,29,44,82,33,54,33,54,77,170,33,111,22
7,8.0,NAVI,37,190,0,45,44,29,66,73,44,54,22,190,0
8,9.0,SQG,35,151,22,63,44,121,22,45,22,92,55,102,66
9,10.0,DM,32,170,0,160,0,170,22,112,1212,111,33,151,11
10,11.0,KNG,31,92,33,29,44,190,11,160,0,190,0,37,55
11,12.0,AP,28,102,0,121,11,131,0,29,88,151,0,82,33
12,13.0,CLN,24,63,33,92,33,111,33,92,0,160,33,73,11
13,14.0,RAT,23,131,66,170,0,151,33,141,0,82,0,45,44
14,15.0,789,23,45,55,151,0,180,0,111,0,102,55,92,22
15,16.0,TD,21,111,11,180,33,82,0,37,22,121,0,131,33
16,17.0,RD,19,82,22,102,66,63,33,190,0,141,0,170,0
17,18.0,ZETA,17,73,66,141,22,141,22,170,0,131,11,180,0
18,19.0,LCDF,14,160,0,131,22,92,44,82,0,180,22,121,0
19,20.0,UWU,0,0,0,0,0,0,0,0,0,0,0,0,0
