,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 17, 2021 - 17:00 CETWorld's Edge Gambit Esports Outplayed dead inside","Round 1 Round 1 October 17, 2021 - 17:00 CETWorld's Edge Gambit Esports Outplayed dead inside","Round 2 Round 2 October 17, 2021 - 17:35 CETWorld's Edge Forg Gang GMT Esports Natus Vincere","Round 2 Round 2 October 17, 2021 - 17:35 CETWorld's Edge Forg Gang GMT Esports Natus Vincere","Round 3 Round 3 October 17, 2021 - 18:10 CETWorld's Edge Les cités de France FIGVAM Outplayed","Round 3 Round 3 October 17, 2021 - 18:10 CETWorld's Edge Les cités de France FIGVAM Outplayed","Round 4 Round 4 October 17, 2021 - 18:45 CETWorld's Edge Natus Vincere Nemesis Gambit Esports","Round 4 Round 4 October 17, 2021 - 18:45 CETWorld's Edge Natus Vincere Nemesis Gambit Esports","Round 5 Round 5 October 17, 2021 - 19:20 CETWorld's Edge SCARZ Europe Phoenix Legacy 69iQ esports","Round 5 Round 5 October 17, 2021 - 19:20 CETWorld's Edge SCARZ Europe Phoenix Legacy 69iQ esports","Round 6 Round 6 October 17, 2021 - 19:55 CETWorld's Edge GMT Esports 69iQ esports Guild Esports","Round 6 Round 6 October 17, 2021 - 19:55 CETWorld's Edge GMT Esports 69iQ esports Guild Esports"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,GMT,62,131,11,29,88,82,44,73,1010,141,22,112,99
1,2.0,GMB,58,112,1313,92,22,92,33,37,77,45,33,131,11
2,3.0,GUILD,54,151,33,102,22,45,1010,82,88,63,66,37,55
3,4.0,69IQ,47,190,0,121,33,170,33,63,66,37,77,29,88
4,5.0,LCDF,46,73,0,170,0,112,1414,45,0,151,33,45,33
5,6.0,OP,45,29,88,54,55,37,22,170,0,121,44,82,33
6,7.0,NAVI,45,141,0,37,88,111,0,112,99,54,33,180,0
7,8.0,SZ.EU,41,82,33,190,33,63,0,54,55,112,77,121,11
8,9.0,NMS,36,121,11,82,33,151,22,29,44,92,88,141,22
9,10.0,FV,34,92,44,63,44,29,88,200,22,131,0,200,11
10,11.0,DI,29,37,55,45,55,131,22,160,0,160,0,63,11
11,12.0,FORG,29,111,22,112,88,102,0,121,0,170,11,92,0
12,13.0,PXL,27,63,55,141,11,121,0,131,0,29,44,170,22
13,14.0,FP,22,54,44,200,0,54,11,151,0,190,0,54,44
14,15.0,CLN,18,180,0,160,55,141,22,102,33,111,0,102,22
15,16.0,YMG,18,170,0,151,0,73,44,141,0,200,0,111,88
16,17.0,UWU,17,200,0,131,0,200,11,111,33,82,33,73,33
17,18.0,ZETA,14,102,55,180,11,160,0,180,11,102,22,190,11
18,19.0,TTM,12,45,0,73,0,190,11,92,0,180,0,151,0
19,20.0,AP,9,160,22,111,0,180,0,190,0,73,11,160,22
