,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints,C vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 4, 2021 - 19:00 CETWorld's Edge Rascals Phoenix Legacy 1907 Fenerbahçe Esports","Round 1 Round 1 December 4, 2021 - 19:00 CETWorld's Edge Rascals Phoenix Legacy 1907 Fenerbahçe Esports","Round 2 Round 2 December 4, 2021 - 19:35 CETWorld's Edge Guild Esports Alliance 69iQ esports","Round 2 Round 2 December 4, 2021 - 19:35 CETWorld's Edge Guild Esports Alliance 69iQ esports","Round 3 Round 3 December 4, 2021 - 20:10 CETWorld's EdgeMissing: future oerfect 69iQ esports Guild Esports","Round 3 Round 3 December 4, 2021 - 20:10 CETWorld's EdgeMissing: future oerfect 69iQ esports Guild Esports","Round 4 Round 4 December 4, 2021 - 20:45 CETWorld's Edge Alliance NEW Esports UNDERRATED","Round 4 Round 4 December 4, 2021 - 20:45 CETWorld's Edge Alliance NEW Esports UNDERRATED","Round 5 Round 5 December 4, 2021 - 21:20 CETWorld's Edge Nemesis 69iQ esports FIGVAM","Round 5 Round 5 December 4, 2021 - 21:20 CETWorld's Edge Nemesis 69iQ esports FIGVAM","Round 6 Round 6 December 4, 2021 - 21:55 CETWorld's Edge 69iQ esports Ethernal SCARZ Europe","Round 6 Round 6 December 4, 2021 - 21:55 CETWorld's Edge 69iQ esports Ethernal SCARZ Europe"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,69IQ,67,131,33,37,44,29,44,54,33,29,33,112,88
1,2.0,ALL,51,160,0,29,1111,111,0,112,1010,190,0,45,33
2,3.0,GUILD,50,54,0,112,1111,37,44,141,55,180,0,92,44
3,4.0,TTM,46,102,0,45,99,73,0,200,0,54,1111,73,99
4,5.0,NMS,45,45,77,121,11,190,0,131,0,112,1818,190,0
5,6.0,RASC,38,112,99,63,44,200,0,190,11,131,0,54,44
6,7.0,SZ.EU,37,190,0,160,33,151,66,45,22,45,11,37,77
7,8.0,ETH,34,111,0,82,22,45,77,111,22,170,0,29,55
8,9.0,FV,33,82,55,131,11,141,0,82,33,37,44,102,55
9,10.0,FP,32,200,0,141,0,112,1414,170,11,92,22,170,0
10,11.0,PXL,32,29,1010,92,0,180,0,151,0,63,33,131,33
11,12.0,IG,31,151,11,73,66,54,88,73,22,111,11,111,0
12,13.0,FORG,29,63,88,170,0,82,44,102,44,73,22,151,0
13,14.0,USG,27,92,22,54,22,92,22,63,33,121,22,63,11
14,15.0,UND,25,170,0,200,0,102,55,37,1111,200,0,200,0
15,16.0,NEW,23,141,22,102,11,63,22,29,33,160,0,180,0
16,17.0,CLQ,19,73,44,190,0,131,0,180,33,82,22,121,33
17,18.0,FB,19,37,33,111,11,170,0,160,0,102,55,160,0
18,19.0,YMG,18,121,33,151,22,121,11,92,22,151,0,82,22
19,20.0,K1CK,16,180,11,180,0,160,0,121,33,141,33,141,66
