,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 31, 2021 - 16:00 GMTWorld's Edge Ethernal Les cités de France AllPlanned","Round 1 Round 1 October 31, 2021 - 16:00 GMTWorld's Edge Ethernal Les cités de France AllPlanned","Round 2 Round 2 October 31, 2021 - 17:35 GMTWorld's Edge Gambit Esports Clean dead inside","Round 2 Round 2 October 31, 2021 - 17:35 GMTWorld's Edge Gambit Esports Clean dead inside","Round 3 Round 3 October 31, 2021 - 18:10 GMTWorld's Edge Invictus Gaming International Gambit Esports Clique Esports","Round 3 Round 3 October 31, 2021 - 18:10 GMTWorld's Edge Invictus Gaming International Gambit Esports Clique Esports","Round 4 Round 4 October 31, 2021 - 18:45 GMTWorld's Edge K1CK AllPlanned Natus Vincere","Round 4 Round 4 October 31, 2021 - 18:45 GMTWorld's Edge K1CK AllPlanned Natus Vincere","Round 5 Round 5 October 31, 2021 - 19:20 GMTWorld's Edge Gambit Esports Alliance Natus Vincere","Round 5 Round 5 October 31, 2021 - 19:20 GMTWorld's Edge Gambit Esports Alliance Natus Vincere","Round 6 Round 6 October 31, 2021 - 19:55 GMTWorld's Edge Rascals Les cités de France Outplayed","Round 6 Round 6 October 31, 2021 - 19:55 GMTWorld's Edge Rascals Les cités de France Outplayed"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,GMB,69,73,55,112,66,29,22,111,11,112,99,54,55
1,2.0,RASC,60,131,33,45,88,111,22,45,88,200,0,112,1515
2,3.0,ALL,55,63,0,54,88,73,99,73,77,29,66,63,0
3,4.0,K1CK,46,92,99,170,33,180,0,112,88,82,66,121,33
4,5.0,LCDF,44,29,66,92,22,92,88,131,22,131,11,29,11
5,6.0,IG,38,102,22,200,0,112,1010,54,22,73,22,111,0
6,7.0,CLQ,36,54,11,73,11,37,66,82,33,54,22,102,11
7,8.0,GMT,33,111,66,63,55,160,11,102,44,92,22,45,22
8,9.0,ETH,32,112,1111,102,0,82,22,170,0,160,0,82,11
9,10.0,OP,28,200,0,121,0,121,0,141,33,63,22,37,1010
10,11.0,FB,28,82,0,111,11,54,0,92,11,45,77,92,33
11,12.0,NAVI,28,160,0,151,22,190,0,37,44,37,44,141,22
12,13.0,DI,28,121,0,37,55,200,0,160,0,121,11,73,1010
13,14.0,ZETA,28,141,33,82,33,63,66,63,55,151,0,180,11
14,15.0,CLN,26,170,0,29,55,102,33,151,0,111,22,151,22
15,16.0,AP,25,37,22,141,0,131,22,29,33,190,0,170,0
16,17.0,NEW,17,190,33,160,0,141,11,121,55,141,55,190,0
17,18.0,UND,16,45,22,131,44,151,0,200,0,170,0,160,33
18,19.0,UWU,15,151,0,190,33,45,33,190,33,180,0,200,0
19,20.0,USG,13,180,33,180,0,170,11,180,0,102,66,131,0
