,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 16, 2021 - 17:00 CETWorld's Edge UNDERRATED 1907 Fenerbahçe Esports Invictus Gaming International","Round 1 Round 1 October 16, 2021 - 17:00 CETWorld's Edge UNDERRATED 1907 Fenerbahçe Esports Invictus Gaming International","Round 2 Round 2 October 16, 2021 - 17:35 CETWorld's Edge DungeonMast33rs K1CK Invictus Gaming International","Round 2 Round 2 October 16, 2021 - 17:35 CETWorld's Edge DungeonMast33rs K1CK Invictus Gaming International","Round 3 Round 3 October 16, 2021 - 18:10 CETWorld's Edge Kungarna NEW Esports DungeonMast33rs","Round 3 Round 3 October 16, 2021 - 18:10 CETWorld's Edge Kungarna NEW Esports DungeonMast33rs","Round 4 Round 4 October 16, 2021 - 18:45 CETWorld's Edge Kungarna NEW Esports DungeonMast33rs","Round 4 Round 4 October 16, 2021 - 18:45 CETWorld's Edge Kungarna NEW Esports DungeonMast33rs","Round 5 Round 5 October 16, 2021 - 19:20 CETWorld's Edge soloQgoats Redragon Clique Esports","Round 5 Round 5 October 16, 2021 - 19:20 CETWorld's Edge soloQgoats Redragon Clique Esports","Round 6 Round 6 October 16, 2021 - 19:55 CETWorld's Edge Invictus Gaming International Ethernal 1907 Fenerbahçe Esports","Round 6 Round 6 October 16, 2021 - 19:55 CETWorld's Edge Invictus Gaming International Ethernal 1907 Fenerbahçe Esports"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,IG,54,7,11,3,3,17,0,4,3,13,4,1,5
1,2.0,DM,53,13,3,1,9,6,0,3,12,14,4,15,0
2,3.0,MP,51,3,4,7,3,1,6,6,4,15,2,9,4
3,4.0,KNG,50,8,5,13,3,5,5,1,13,10,3,16,0
4,5.0,K1CK,48,10,3,2,11,10,8,16,2,11,0,7,7
5,6.0,NEW,46,14,3,11,4,4,5,2,12,16,0,6,3
6,7.0,SQG,44,11,2,18,0,16,1,7,5,1,11,4,4
7,8.0,UND,39,1,8,9,4,13,1,8,3,8,4,17,0
8,9.0,ETH,38,15,1,16,0,2,4,12,0,7,1,2,9
9,10.0,RBL,33,9,2,10,0,9,6,9,1,4,5,10,4
10,11.0,ALL,33,19,0,5,3,3,7,13,0,9,0,8,7
11,12.0,RD,29,4,2,17,0,18,0,10,0,2,9,19,2
12,13.0,FB,29,2,6,8,1,19,0,18,0,19,1,3,3
13,14.0,CLQ,25,16,0,4,4,14,0,19,0,3,5,18,3
14,15.0,USG,22,6,1,12,1,8,2,15,0,5,6,14,0
15,16.0,RASC,21,5,3,14,1,12,5,14,2,20,0,12,2
16,17.0,MYZ,17,12,2,6,9,15,0,17,0,18,0,13,0
17,18.0,TD,17,18,0,15,0,11,2,20,0,6,1,5,5
18,19.0,RAT,14,17,0,19,0,7,4,5,2,12,0,20,0
19,20.0,789,8,20,0,20,0,20,1,11,0,17,5,11,0
