Standings,Team.1,Total,Lobby
1.0,Nooobix,69,Lobby 10
2.0,Plombralicious,45,Lobby 10
3.0,GOD,42,Lobby 10
4.0,SCTA,35,Lobby 10
5.0,Sxercise,33,Lobby 10
6.0,RAT,30,Lobby 10
7.0,K1CK,29,Lobby 10
8.0,SUETA,25,Lobby 10
9.0,Controller City,19,Lobby 10
10.0,SPL,18,Lobby 10
11.0,KsT Team,16,Lobby 10
12.0,SHEESH,12,Lobby 10
13.0,AilTéTé,12,Lobby 10
14.0,Misfits,9,Lobby 10
15.0,Duck Goes Quack,7,Lobby 10
16.0,3GallicRoosters,6,Lobby 10
17.0,Shieldmaiden,5,Lobby 10
18.0,SS,4,Lobby 10
1.0,TREX,100,Lobby 11
2.0,Illuminary FTW,38,Lobby 11
3.0,Lunar,31,Lobby 11
4.0,TURKs,28,Lobby 11
5.0,NoWay XBox,27,Lobby 11
6.0,NurzethexStyleS,27,Lobby 11
7.0,Peak Performerz,25,Lobby 11
8.0,uwuowoboys,24,Lobby 11
9.0,Carnage,17,Lobby 11
10.0,TRS Clan,16,Lobby 11
11.0,WeHaveNoLives,15,Lobby 11
12.0,KYKLOS,13,Lobby 11
13.0,Last Light,13,Lobby 11
14.0,DSI,13,Lobby 11
15.0,SkyFam,12,Lobby 11
16.0,Apes Legends,9,Lobby 11
17.0,ottr Plus 2,5,Lobby 11
18.0,The Clumdogs,3,Lobby 11
1.0,Tweetlonger,67,Lobby 12
2.0,HNY,61,Lobby 12
3.0,ATK,57,Lobby 12
4.0,DI,47,Lobby 12
5.0,HLDC,40,Lobby 12
6.0,Aspirateur,21,Lobby 12
7.0,69IQ,20,Lobby 12
8.0,TRIADA,16,Lobby 12
9.0,BlueCheeseGaming,14,Lobby 12
10.0,LPm,12,Lobby 12
11.0,SirCollyLemonz,8,Lobby 12
12.0,Over The Top Sgv,7,Lobby 12
13.0,pull up gang,7,Lobby 12
14.0,Icedentz,6,Lobby 12
15.0,NPS,5,Lobby 12
16.0,Simply_E_Sports,5,Lobby 12
17.0,Bikes,5,Lobby 12
