Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,TREX,74,7,6,1,14,7,8,1,16
2.0,AAS,60,1,18,9,1,4,12,10,8
3.0,OG,46,2,0,10,12,5,4,2,6
4.0,SAC,34,9,5,3,4,2,4,16,3
5.0,FV,28,18,0,13,3,1,11,14,0
6.0,FC,27,4,6,14,0,15,0,3,7
7.0,6bnt,23,11,4,18,1,9,4,4,6
8.0,AP,22,3,6,6,0,12,1,9,2
9.0,SLAP,15,13,5,12,5,14,0,8,0
10.0,BFG,15,16,3,15,0,8,2,7,4
11.0,3turrets1brain,15,15,0,4,5,16,0,5,0
12.0,weeboys,15,15,0,7,3,3,0,13,0
13.0,LGN,12,12,0,5,5,18,1,17,1
14.0,ZAB,12,10,2,8,2,11,2,15,0
15.0,Sheriffs,12,6,0,2,0,19,0,19,0
16.0,21cm,11,20,0,11,2,13,6,11,0
17.0,Kissyourhomies,10,8,3,16,0,17,0,6,2
18.0,Chiefs,10,5,0,19,0,6,2,12,0
19.0,Ryze Empire EU,3,17,1,20,0,10,0,18,0
20.0,DynamiX,0,19,0,17,0,20,0,20,0
