Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,TD,67,8,3,5,5,3,19,1,15
2.0,BCG,55,1,15,13,4,12,6,4,11
3.0,RAT,46,11,3,1,21,10,3,11,3
4.0,USG,43,2,10,4,6,4,5,13,2
5.0,GOD,37,4,7,3,5,13,3,5,5
6.0,Dababy,31,15,2,7,0,1,12,14,0
7.0,Mat For Victory,28,18,4,19,0,2,0,2,6
8.0,60fps,21,3,3,11,0,6,0,3,0
9.0,Explosion,19,16,0,2,5,15,0,15,3
10.0,SPPI,17,5,3,6,1,11,2,9,1
11.0,Nuclear Apes,15,6,2,17,1,9,0,6,4
12.0,TRIHARD,14,12,3,9,1,5,3,18,0
13.0,BGR,9,20,0,8,2,20,0,10,3
14.0,Justthreeplayers,9,17,0,20,0,8,4,7,0
15.0,Weebs Out,9,13,1,15,2,7,1,16,0
16.0,Južni Vetar Gas,9,10,3,10,0,16,0,8,0
17.0,ANTG,7,7,1,16,2,14,0,20,0
18.0,SHEESH,5,9,0,18,3,19,0,17,0
19.0,DIVE,4,19,0,12,0,18,0,12,2
20.0,CHOC,2,14,0,14,0,17,0,19,0
