,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 12, 2022 - 14:00 SGTWorld's Edge DNZ Young Lowkey (Filipino team) Soi-Xam-Team","Round 1 Round 1 March 12, 2022 - 14:00 SGTWorld's Edge DNZ Young Lowkey (Filipino team) Soi-Xam-Team","Round 2 Round 2 March 12, 2022 - 14:30 SGTWorld's Edge Jail Kings DRG BLANK","Round 2 Round 2 March 12, 2022 - 14:30 SGTWorld's Edge Jail Kings DRG BLANK","Round 3 Round 3 March 12, 2022 - 15:00 SGTWorld's Edge Cr4cked Amuska Endless Gaming","Round 3 Round 3 March 12, 2022 - 15:00 SGTWorld's Edge Cr4cked Amuska Endless Gaming","Round 4 Round 4 March 12, 2022 - 15:30 SGTStorm Point WAR TrinityX Cr4cked Jail Kings","Round 4 Round 4 March 12, 2022 - 15:30 SGTStorm Point WAR TrinityX Cr4cked Jail Kings","Round 5 Round 5 March 12, 2022 - 16:00 SGTStorm Point Jail Kings DNZ Young MXT","Round 5 Round 5 March 12, 2022 - 16:00 SGTStorm Point Jail Kings DNZ Young MXT","Round 6 Round 6 March 12, 2022 - 16:30 SGTStorm Point DNZ Young DRG Soi-Xam-Team","Round 6 Round 6 March 12, 2022 - 16:30 SGTStorm Point DNZ Young DRG Soi-Xam-Team"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,DNZY,108,1,10,9,9,9,5,5,10,2,18,1,15
1,2.0,JKs,90,8,4,1,11,7,6,3,11,1,13,4,4
2,3.0,MXT,53,18,6,10,7,15,4,14,5,3,9,6,8
3,4.0,CR4KD,43,11,2,13,0,1,7,2,5,19,0,8,4
4,5.0,CHILL,40,4,12,16,3,4,4,16,0,11,2,7,5
5,6.0,WARTX,40,9,4,7,1,5,0,1,11,13,1,11,0
6,7.0,DRG,40,16,2,2,3,8,0,8,4,10,4,2,3
7,8.0,Lowkey,36,2,11,19,0,19,0,7,3,5,6,19,0
8,9.0,AmK,31,20,0,4,4,2,4,9,1,6,2,12,0
9,10.0,SXT,26,3,2,15,0,13,1,19,3,20,0,3,4
10,11.0,Soosmar slayer,26,5,0,5,3,6,1,6,3,15,0,13,3
11,12.0,BLANK,25,7,1,3,4,17,3,10,1,17,1,16,3
12,13.0,ASC,23,17,0,17,1,12,4,17,0,4,1,5,7
13,14.0,END,22,13,0,6,1,3,6,12,0,14,0,10,0
14,15.0,EMDA,15,6,2,8,3,10,2,11,0,16,0,20,0
15,16.0,LIGJR,14,10,0,11,0,16,3,4,1,9,0,17,0
16,17.0,HAN,9,12,0,14,3,11,2,18,0,18,0,15,0
17,18.0,GOD OF DREAM,9,14,0,18,3,14,0,15,0,12,0,9,0
18,19.0,NoC,7,19,0,20,0,20,0,13,0,7,2,14,0
19,20.0,COHA,6,15,0,12,0,18,2,20,0,8,0,18,0
