Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,BB,64,1,6,11,3,8,3,12,2,2,8,3,10
2.0,NegiNuki,52,3,4,2,5,3,5,8,1,5,6,13,1
3.0,ReA.Herja,50,17,0,8,0,5,5,1,5,1,8,10,0
4.0,Zenith,49,10,3,6,3,6,4,2,10,8,4,8,4
5.0,Ace1,47,7,0,4,3,16,0,11,2,4,2,1,14
6.0,MRE,45,2,13,18,0,4,7,14,0,10,3,7,2
7.0,AVA,45,11,0,5,3,1,8,10,0,3,4,5,0
8.0,RPG,38,9,0,10,4,7,5,15,6,12,1,2,4
9.0,ICHC,38,8,1,1,13,10,2,7,3,16,0,17,0
10.0,RAVENS,31,12,5,13,5,9,1,4,9,13,1,16,0
11.0,SYTH,31,6,3,12,0,12,3,13,0,7,4,6,9
12.0,shes,27,4,8,15,0,17,0,17,0,9,1,4,5
13.0,C-VA KAG,21,14,0,16,1,18,0,9,6,6,6,12,1
14.0,Eclat,21,15,0,17,0,2,6,6,1,17,0,15,0
15.0,O2,20,18,0,7,3,15,0,3,4,11,0,11,0
16.0,OC,18,16,0,3,3,14,0,16,0,15,2,9,2
17.0,0_Reverse,17,5,5,9,2,11,1,18,0,14,1,18,0
18.0,Fujii Gaming,14,13,0,14,3,13,3,5,0,18,0,14,0
19.0,G8S,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,Greedy,0,0,0,0,0,0,0,0,0,0,0,0,0
