Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,MDY,130,3,15,1,15,20,1,1,30,4,15,4,13,Lobby 1
2.0,TX,67,2,11,12,7,3,10,10,11,16,0,11,8,Lobby 1
3.0,April,54,1,9,5,4,4,6,6,0,7,4,8,2,Lobby 1
4.0,END,45,17,0,17,0,11,1,13,0,1,9,1,9,Lobby 1
5.0,Estrell,41,8,1,3,6,9,1,2,3,6,5,10,0,Lobby 1
6.0,WAT,39,16,3,7,6,18,0,4,5,10,3,2,3,Lobby 1
7.0,StrawberryJam,36,6,3,8,3,15,1,5,1,2,4,7,2,Lobby 1
8.0,PWLS,36,12,0,4,1,2,9,3,1,9,1,16,0,Lobby 1
9.0,DREAM,35,13,3,20,0,1,10,12,0,18,5,6,0,Lobby 1
10.0,IFPD,30,5,3,18,0,8,4,11,1,11,3,3,4,Lobby 1
11.0,OGL,29,4,3,2,4,14,0,8,0,17,1,9,2,Lobby 1
12.0,SkarptSinne,20,9,2,14,0,7,0,15,0,3,3,12,0,Lobby 1
13.0,iON,19,14,0,16,0,16,3,16,2,5,1,5,4,Lobby 1
14.0,Hardstucks,17,18,0,6,1,5,1,9,3,12,1,14,0,Lobby 1
15.0,Quentiam,15,7,1,10,3,17,0,7,1,14,0,17,1,Lobby 1
16.0,RL.XV,14,20,0,19,0,6,9,19,0,15,0,19,1,Lobby 1
17.0,HOPE,13,19,1,11,3,10,2,14,0,20,0,13,2,Lobby 1
18.0,South Cartel,9,10,0,13,0,12,1,18,0,8,2,18,0,Lobby 1
19.0,RJININ,8,11,1,9,2,19,0,17,0,13,0,15,0,Lobby 1
20.0,LH,5,15,2,15,0,13,0,20,0,19,0,20,0,Lobby 1
1.0,GS,73,3,11,16,0,4,5,12,4,2,16,2,6,Lobby 2
2.0,DNZ,73,1,9,15,0,3,10,13,1,1,11,8,7,Lobby 2
3.0,BTCxWGG,52,13,0,3,2,7,4,1,13,7,4,10,1,Lobby 2
4.0,BOG,47,2,4,1,11,19,0,7,1,8,1,5,0,Lobby 2
5.0,ANgun,45,7,2,7,2,2,7,15,2,3,5,7,1,Lobby 2
6.0,WGGxPK,45,18,3,11,2,8,0,3,5,4,1,1,7,Lobby 2
7.0,DSG,43,12,3,6,4,14,1,18,4,17,1,3,18,Lobby 2
8.0,PG,43,6,0,4,4,1,7,14,5,14,1,13,3,Lobby 2
9.0,SNG,36,14,0,8,10,16,0,2,3,11,5,6,2,Lobby 2
10.0,LAG,33,9,0,2,6,6,4,5,0,5,0,11,0,Lobby 2
11.0,4Thumbs1Arm,28,19,2,17,1,5,13,6,4,16,0,14,0,Lobby 2
12.0,QE.NY,27,4,5,19,0,11,2,4,5,10,0,9,0,Lobby 2
13.0,Job Seekers,24,5,0,5,8,17,0,9,3,9,0,15,0,Lobby 2
14.0,NMLS,21,15,5,14,6,13,0,11,0,15,2,16,3,Lobby 2
15.0,Pavlova,17,10,0,10,1,20,0,19,0,12,0,4,6,Lobby 2
16.0,AMG TW,16,8,8,18,0,18,0,16,1,13,4,18,0,Lobby 2
17.0,Juiced,13,17,0,9,1,12,0,8,6,18,0,12,0,Lobby 2
18.0,EVO BERZ,11,11,2,20,0,9,0,10,0,6,1,17,0,Lobby 2
19.0,SLK,6,20,0,12,0,10,3,17,0,19,0,19,0,Lobby 2
20.0,BadutCompeCeunah,3,16,1,13,0,15,0,20,0,20,0,20,0,Lobby 2
