Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,BOG,66,112,1212,112,1010,102,0,37,1111
2.0,LH,55,37,55,82,22,54,1616,29,1010
3.0,4ChineseHorseman,53,29,88,29,99,37,1111,170,0
4.0,DREAM,43,63,66,37,55,131,44,54,1313
5.0,CKB,35,45,88,73,1212,111,11,141,44
6.0,Scythe,33,151,0,54,44,112,1010,92,0
7.0,SuperiorSoySauce,23,180,0,92,33,29,55,131,33
8.0,LNW,20,82,55,170,0,45,55,102,11
9.0,Another Support,19,111,0,111,0,190,0,112,55
10.0,DESI,15,190,0,63,66,73,0,63,0
11.0,Quentiam,14,73,55,121,33,141,0,151,0
12.0,South Cartel,14,121,0,160,22,92,0,45,44
13.0,Team Vicity,13,92,0,45,0,63,22,121,0
14.0,Sanity,12,102,11,131,0,170,11,111,66
15.0,X SPLITS,10,54,22,102,11,151,0,200,0
16.0,MXT,6,200,0,200,0,180,11,73,22
17.0,WINGS,5,170,11,141,33,160,0,190,0
18.0,Lags Fault,4,131,22,190,0,121,0,180,0
19.0,Sayu Supermacy,4,160,0,180,0,82,0,82,0
20.0,Alco,3,141,11,151,0,200,0,160,0
