Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Round
11.0,RAV,24,8,0,9,1,12,0,9,0,3,7,8,0,Lobby 2,Semifinals
12.0,PouKaBala,15,6,2,11,0,19,0,19,0,5,2,10,1,Lobby 2,Semifinals
13.0,Swift Movements,13,15,0,18,0,17,1,10,3,9,2,9,0,Lobby 2,Semifinals
14.0,No Regrets,12,16,0,4,0,11,0,7,2,15,0,17,0,Lobby 2,Semifinals
15.0,Vino con Pritty,11,7,0,15,1,15,1,16,1,10,1,18,0,Lobby 2,Semifinals
16.0,Legión de monos,8,11,2,12,0,14,0,12,0,14,0,14,0,Lobby 2,Semifinals
17.0,MASE,6,14,0,16,0,5,0,18,0,18,0,16,1,Lobby 2,Semifinals
18.0,LostSoulsDreamer,6,12,0,6,0,16,0,14,0,11,0,20,0,Lobby 2,Semifinals
19.0,Tharsis,4,17,0,17,0,13,0,17,0,13,1,15,0,Lobby 2,Semifinals
1.0,Chimera,78,2,9,1,10,6,2,4,8,7,16,12,0,Lobby 1,Finals
2.0,Blagueur,76,11,3,3,15,4,11,12,0,4,5,1,11,Lobby 1,Finals
3.0,AsheTeam,58,14,0,2,6,2,2,6,0,1,15,15,0,Lobby 1,Finals
4.0,ALFA WARRIORS,57,9,7,12,1,1,10,2,7,13,0,5,3,Lobby 1,Finals
5.0,KDT - Amber,54,1,11,10,6,10,2,13,0,2,8,11,0,Lobby 1,Finals
6.0,SST,45,16,0,5,7,7,7,10,5,6,0,4,9,Lobby 1,Finals
7.0,UltiMaTuM,45,10,3,13,0,11,1,3,10,8,0,2,9,Lobby 1,Finals
8.0,TCS,38,13,1,15,1,3,5,7,8,14,1,6,6,Lobby 1,Finals
9.0,Sobek,33,18,0,16,2,15,3,1,10,11,3,14,0,Lobby 1,Finals
10.0,Z Gravity,32,3,4,11,0,9,2,8,1,3,1,7,2,Lobby 1,Finals
11.0,BrazilianTopTeam,28,19,0,19,0,5,6,16,1,5,5,9,6,Lobby 1,Finals
12.0,FourG Team,25,4,1,9,0,16,0,5,3,12,2,3,0,Lobby 1,Finals
13.0,Spartan Warriors,19,8,0,4,7,8,0,15,0,10,0,17,0,Lobby 1,Finals
14.0,ROCKETZ TEAM,18,5,7,6,0,12,1,14,0,15,0,18,0,Lobby 1,Finals
15.0,BTH,14,6,0,17,0,17,0,9,2,9,0,10,3,Lobby 1,Finals
16.0,PPEX,11,17,0,7,2,13,1,11,0,16,0,8,1,Lobby 1,Finals
17.0,sFx,8,7,2,8,0,14,0,17,0,17,0,16,0,Lobby 1,Finals
18.0,NE1,3,12,0,14,0,18,0,18,0,18,0,13,0,Lobby 1,Finals
19.0,AK47,1,15,0,18,0,0,0,0,0,0,0,0,0,Lobby 1,Finals
20.0,Taichi Horror,0,20,0,20,0,0,0,0,0,0,0,0,0,Lobby 1,Finals
