Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,OF,85,4,5,13,3,3,14,1,10,8,7,1,7,Lobby 1
2.0,Chimera,68,7,6,2,6,6,2,6,7,11,6,2,13,Lobby 1
3.0,BTH,62,1,9,12,0,1,8,20,1,2,6,7,1,Lobby 1
4.0,KZN,54,3,6,1,12,20,0,2,6,9,0,16,0,Lobby 1
5.0,ALFA WARRIORS,52,2,7,11,2,10,0,11,9,1,8,13,0,Lobby 1
6.0,As Misera,38,5,2,10,0,4,2,3,2,3,0,5,3,Lobby 1
7.0,AK47,35,12,3,9,5,14,4,8,10,16,0,4,2,Lobby 1
8.0,PRDX,31,11,3,7,0,11,6,5,3,5,4,10,0,Lobby 1
9.0,Love Egirls,30,16,3,8,6,8,1,14,0,4,6,6,1,Lobby 1
10.0,sFx,30,18,0,6,4,5,1,4,2,15,0,3,3,Lobby 1
11.0,BRZ,29,8,1,20,0,2,7,7,0,10,1,8,2,Lobby 1
12.0,Sobek,26,9,3,5,4,9,4,12,0,6,3,17,0,Lobby 1
13.0,Slav Animals,24,17,0,4,5,13,5,17,0,18,0,9,6,Lobby 1
14.0,Natural Killer,18,19,0,14,0,7,1,15,2,17,0,11,9,Lobby 1
15.0,Tres Rosas,17,15,0,3,3,19,1,18,0,14,3,14,0,Lobby 1
16.0,ROCKETZ TEAM,15,10,4,17,2,12,0,10,2,12,0,15,0,Lobby 1
17.0,SST,15,14,3,18,0,16,2,9,0,7,3,12,0,Lobby 1
18.0,Taichi Horror,6,6,0,19,0,17,0,13,2,20,0,20,0,Lobby 1
19.0,SussyBaka,5,20,0,15,3,18,0,16,0,13,0,18,0,Lobby 1
20.0,LIONS,3,13,0,16,0,15,1,19,0,20,0,20,0,Lobby 1
1.0,MonsTer Team,93,1,8,2,10,20,0,5,5,3,12,1,14,Lobby 2
2.0,Duty calls,72,10,12,5,5,5,8,1,10,5,8,11,2,Lobby 2
3.0,ZETTA,46,3,3,7,2,18,0,2,7,8,4,4,4,Lobby 2
4.0,SLU,46,2,1,1,5,3,5,4,2,20,0,18,0,Lobby 2
5.0,USB,42,15,1,16,1,2,9,18,0,1,5,6,1,Lobby 2
6.0,TK,40,9,2,19,2,12,2,3,14,4,2,13,2,Lobby 2
7.0,ElemenT,38,5,10,8,3,11,0,19,0,17,1,3,10,Lobby 2
8.0,Online,34,7,1,6,2,1,10,14,0,14,1,16,0,Lobby 2
9.0,OMEGA,32,4,1,20,0,4,1,8,1,12,3,2,4,Lobby 2
10.0,AGCL,31,8,2,3,5,9,2,9,2,9,0,5,1,Lobby 2
11.0,Fluxo Team,30,14,0,11,3,17,3,16,0,2,5,7,5,Lobby 2
12.0,PVP,24,11,3,17,0,13,7,11,2,7,3,9,1,Lobby 2
13.0,Seven,24,20,0,4,5,10,1,17,2,6,1,8,3,Lobby 2
14.0,AIM,22,12,2,18,0,16,1,13,5,10,8,12,1,Lobby 2
15.0,AsheTeam,22,6,5,15,4,7,3,20,0,11,0,15,1,Lobby 2
16.0,Lovely Venom,17,16,0,10,2,6,5,6,0,16,0,10,0,Lobby 2
17.0,ICEBERGS,13,13,1,14,0,7,0,10,0,15,0,14,3,Lobby 2
18.0,UltiMaTuM,12,19,0,9,2,19,0,15,1,13,5,19,0,Lobby 2
19.0,KPS,4,17,0,20,0,15,0,7,0,18,0,17,0,Lobby 2
20.0,Mystical,3,18,0,13,0,14,0,12,0,19,0,20,0,Lobby 2
