,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,AIM,55,55
1,2.0,OF,51,51
2,3.0,ElemenT,42,42
3,4.0,TCS,42,42
4,5.0,AGCL,35,35
5,6.0,sFx,27,27
6,7.0,SP,26,26
7,8.0,Love Egirls,26,26
8,9.0,BTH,26,26
9,10.0,New Age,24,24
10,11.0,PTX,23,23
11,12.0,NÃO sei,16,16
12,13.0,Infinity Evo,12,12
13,14.0,1crack2crack,11,11
14,15.0,OMEGA,6,6
15,16.0,LostSoulsDreamer,5,5
16,17.0,HU3HU3HU3BR,5,5
17,18.0,Inka Supremacy,4,4
18,19.0,ZISKA,4,4
19,20.0,Svart Katze,2,2
