,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,Slav Animals,54,5
1,2.0,As Misera,41,41
2,3.0,TK,41,41
3,4.0,ZETTA,35,35
4,5.0,USB,34,34
5,6.0,Blagueur,31,31
6,7.0,SLU,31,31
7,8.0,Coquinha gelada,28,28
8,9.0,CIA,25,25
9,10.0,Pandora,20,20
10,11.0,Duty calls,16,16
11,12.0,BRZ,15,15
12,13.0,Team Magestic,14,14
13,14.0,Sobek,13,13
14,15.0,UltiMaTuM,12,12
15,16.0,BHT,10,10
16,17.0,OnlyResenha,6,6
17,18.0,Mystical,6,6
18,19.0,Keep Moving Fwd,5,5
19,20.0,Natural Killer,0,0
