,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 9, 2021 - 12:00 SGTWorld's Edge Hardstuck D4 WHIZ MBT.NAGA","Round 1 Round 1 October 9, 2021 - 12:00 SGTWorld's Edge Hardstuck D4 WHIZ MBT.NAGA","Round 2 Round 2 October 9, 2021 - 12:35 SGTWorld's Edge MBT.NAGA Hardstuck D4 TEAR","Round 2 Round 2 October 9, 2021 - 12:35 SGTWorld's Edge MBT.NAGA Hardstuck D4 TEAR"
,Unnamed: 0_level_2,Team,Total,P,K,P,K
0,1.0,MBTN,35,37,66,112,1010
1,2.0,WHIZ,30,29,1010,45,66
2,3.0,Hardstuck D4,30,112,33,29,66
3,4.0,TEAR,11,82,22,37,0
4,5.0,Prey,10,45,11,54,0
5,6.0,Aim Assist,9,54,11,73,11
6,7.0,Pavlova,7,92,44,121,0
7,8.0,Vulgar Cobras,7,73,22,102,0
8,9.0,OC,6,121,0,82,33
9,10.0,Soosmar slayer,6,102,0,63,11
10,11.0,DYN,4,111,0,92,11
11,12.0,3 amigos,4,63,0,111,0
