Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,WING,76,2,9,14,0,14,5,1,11,4,4,1,7
2.0,TPM,66,6,7,4,14,3,7,6,4,13,2,3,6
3.0,North,65,3,7,8,0,1,11,15,0,1,10,10,1
4.0,SHEESH,57,18,2,16,0,4,4,5,13,5,3,2,13
5.0,RDM,48,9,0,10,7,10,4,2,6,2,7,18,0
6.0,FBOSS,43,4,2,1,5,15,0,9,3,9,8,15,2
7.0,HVND,39,13,3,12,6,2,11,17,0,8,5,13,0
8.0,ASUR,37,1,9,9,0,5,3,11,1,7,2,19,0
9.0,HVNDS,36,15,0,2,14,17,0,4,1,10,0,7,1
10.0,AST,34,16,1,13,0,16,4,3,4,16,3,4,9
11.0,MM,26,17,0,6,2,6,0,16,3,3,8,16,0
12.0,RL,26,7,4,3,0,7,3,13,2,15,1,12,0
13.0,SKSQ,23,10,5,5,2,13,0,14,1,18,0,9,5
14.0,iRL,20,5,4,7,4,18,0,18,3,14,1,20,0
15.0,CDE,15,19,0,17,0,11,0,20,0,6,2,8,7
16.0,UNDD,14,14,1,19,0,8,2,10,2,12,0,6,0
17.0,ChadP,12,12,1,11,1,9,3,19,0,19,0,11,2
18.0,BBB,10,11,2,18,0,12,1,8,1,20,0,14,1
19.0,POSKITINO,10,8,0,15,0,20,0,12,0,17,0,5,2
20.0,TRP,8,20,0,20,0,19,0,7,0,11,2,17,2
