,0,1,2,3
0,Standings,,,
1,Team,Total,Round 1,
2,1.,Dark Matter,60,60
3,2.,Content Squad,49,49
4,3.,Movement Temple,41,41
5,4.,Blockbuster,39,39
6,5.,Team Name,35,35
7,6.,UNDD,29,29
8,7.,TeamDreams,23,23
9,8.,JOYBOYS,23,23
10,9.,Plimbo,20,20
11,10.,Wonderboys,18,18
12,11.,NOXIOUS,18,18
13,12.,PradoHouseCigar,18,18
14,13.,Buds and Beer,17,17
15,14.,Iron Giant,14,14
16,15.,DarkRoyalNation,13,13
17,16.,Evil Eye,10,10
18,17.,Miso Hate Club,3,3
19,18.,Spacelanders,2,2
20,19.,Just The Boys,2,2
21,20.,TAT,1,1
