,0,1,2,3
0,Standings,,,
1,Team,Total,Round 1,
2,1.,YouLikeThatMate?,108,108
3,2.,4Fun,47,47
4,3.,"You stay, I go",44,44
5,4.,BBJ,38,38
6,5.,ASE,32,32
7,6.,LMX,29,29
8,7.,LuxuryRose,22,22
9,8.,CatDog,22,22
10,9.,JustSomeWarriors,18,18
11,10.,oni,17,17
12,11.,Unlucky Players,14,14
13,12.,Buck Town Squad,9,9
14,13.,InevitableGaming,7,7
15,14.,H4GAMING,7,7
16,15.,Mexican Demons,6,6
17,16.,The Stinkies,6,6
18,17.,Anger Of Nubs,5,5
19,18.,Eleventh Squad,4,4
20,19.,Hardstuck Plat,2,2
21,20.,All The Smoke,0,0
