,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,Lonely Fans,81,81
1,2.0,RT,53,53
2,3.0,Unlucky,43,43
3,4.0,En corto Garmers,39,39
4,5.0,Corruption,26,26
5,6.0,Dunk Squad,21,21
6,7.0,Los Hefes,21,21
7,8.0,trippinoncables,21,21
8,9.0,TAG NA,20,20
9,10.0,Laggy 'n Rollers,19,19
10,11.0,Mid Piece,17,17
11,12.0,Captains,13,13
12,13.0,ChayKayJay,13,13
13,14.0,LF,12,12
14,15.0,Zachs Chest Hair,12,12
15,16.0,Kaged,10,10
16,17.0,Them Boiz,6,6
17,18.0,The Other Guys,5,5
18,19.0,Eternal x Beasts,4,4
19,20.0,Spood Beest,4,4
