,0,1,2,3
0,Standings,,,
1,Team,Total,Round 1,
2,1.,NVKT,63,63
3,2.,EST,56,56
4,3.,NM,39,39
5,4.,Distruttori Team,37,37
6,5.,Sniper Meta,36,36
7,6.,Tijuana Piranas,35,35
8,7.,MAP,24,24
9,8.,1 vs Lobby,23,23
10,9.,2 Zoomers1boomer,21,21
11,10.,The Big 3,19,19
12,11.,Vault Hunters,17,17
13,12.,Impulsive Gaming,15,15
14,13.,Team Boomer,8,8
15,14.,Dominators,7,7
16,15.,Guys Being Dudes,5,5
17,16.,EKO,3,3
18,17.,KThrewLife,2,2
19,18.,Team SlamJam,2,2
20,19.,Cod kids,1,1
21,20.,Watson 2 Strong,0,0
