,0,1,2,3
0,Standings,,,
1,Team,Total,Round 1,
2,1.,Jacked and Tan,106,106
3,2.,UORG,47,47
4,3.,GearsKidsonApex,31,31
5,4.,MoJo,29,29
6,5.,Specter,29,29
7,6.,Raised By Wolves,23,23
8,7.,Black Panthers,22,22
9,8.,Elation Esports,22,22
10,9.,G7 Legends,18,18
11,10.,WPH,18,18
12,11.,4 Told,17,17
13,12.,Onyx,17,17
14,13.,Chefs,14,14
15,14.,MoonStone,9,9
16,15.,CastAways,6,6
17,16.,Sopa de Mancos,5,5
18,17.,SolarImpact,2,2
19,18.,BobaBallers,2,2
20,19.,Lights Out,0,0
21,20.,TTN ALPHA,0,0
