Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,Juiced,60,54,88,29,88,112,99,63,77
2.0,Antiaa,54,63,66,63,66,29,77,112,88
3.0,Overclocked,52,29,1414,45,66,73,88,37,0
4.0,OC,35,37,55,112,99,111,11,170,0
5.0,South Cartel,31,160,22,170,44,141,33,29,1212
6.0,GOD OF DREAM,30,112,55,151,11,37,0,131,33
7.0,GBR,29,73,0,121,66,45,88,73,33
8.0,Sigma Gamers,23,141,33,92,22,54,44,54,33
9.0,CRYPTICUS,17,180,0,37,33,92,33,151,11
10.0,Hardstucks,14,45,55,180,0,160,0,121,33
11.0,DESI,14,111,0,82,11,63,22,92,33
12.0,Just Send It,13,102,0,54,33,102,0,111,11
13.0,LightSaber,12,170,0,131,0,151,33,82,55
14.0,LAG,8,151,0,160,0,131,0,45,11
15.0,LVTHN,7,92,0,73,0,121,11,180,0
16.0,C10H15N,7,82,0,111,0,82,0,102,0
17.0,Nostalgic Ferets,4,121,11,141,0,180,0,141,0
18.0,DSK,4,131,0,102,11,170,0,160,0
