Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,Unsigned Talent,52,3,5,5,7,4,16,10,6
2.0,Select,39,1,12,11,2,5,1,11,6
3.0,Monsters Inc.,38,14,2,16,0,8,2,1,19
4.0,Code Cloud,32,2,3,10,7,7,4,7,1
5.0,Boston Monsters,28,19,0,1,6,16,5,14,4
6.0,RGP,27,17,3,4,12,12,2,15,3
7.0,AST,27,6,0,20,0,1,12,16,0
8.0,RCO,24,13,2,13,0,3,2,3,4
9.0,ReVive me pls,23,8,0,3,9,13,1,9,1
10.0,Inspired,23,9,2,2,7,15,1,12,0
11.0,KrYsos,23,4,2,8,0,2,5,17,0
12.0,SDO,19,12,4,7,4,9,5,19,0
13.0,Chosen Legacy,19,11,3,19,0,6,0,2,3
14.0,Cool Cats,16,5,2,18,0,10,0,4,3
15.0,Turtle Named Bob,12,18,0,6,2,19,0,5,3
16.0,Patrón,12,7,4,9,0,18,0,6,0
17.0,2R1M,8,10,5,14,0,20,0,20,0
18.0,Diamond Hands,7,16,2,15,1,11,0,8,0
19.0,Dark Matter,6,20,0,17,0,17,4,13,1
20.0,The Pickups,5,15,0,12,0,14,0,18,2
