Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,ETH,69,1,7,10,2,6,7,11,1,1,11,2,2,Lobby 1
2.0,PXL,57,13,1,2,3,1,9,4,2,6,2,5,6,Lobby 1
3.0,CHI,54,3,11,3,10,9,1,17,0,2,4,10,1,Lobby 1
4.0,plei,48,10,3,4,5,11,4,1,3,17,0,3,6,Lobby 1
5.0,CLN,46,4,2,16,1,12,2,5,7,10,1,1,9,Lobby 1
6.0,AAS,42,9,12,8,8,2,5,18,0,13,0,8,1,Lobby 1
7.0,OG,40,19,0,6,2,3,2,2,12,15,0,14,3,Lobby 1
8.0,MP,39,5,5,5,4,4,5,19,0,5,5,13,2,Lobby 1
9.0,FC,38,12,0,1,11,8,3,16,3,12,1,9,2,Lobby 1
10.0,TD,35,11,3,11,8,17,0,9,5,4,4,12,5,Lobby 1
11.0,RAT,33,6,2,13,0,5,0,3,6,14,2,6,4,Lobby 1
12.0,Pepegi,30,18,0,19,0,10,9,8,3,7,11,18,0,Lobby 1
13.0,GOD,30,2,8,9,2,18,0,20,0,9,0,4,2,Lobby 1
14.0,uwuowoboys,28,8,1,14,2,7,2,7,4,11,3,7,3,Lobby 1
15.0,Young Squad,23,14,0,12,0,20,0,10,0,3,8,16,4,Lobby 1
16.0,SLAP,15,7,4,15,1,16,4,12,1,16,0,17,0,Lobby 1
17.0,Ween Gang,15,17,0,7,0,13,2,6,5,19,0,15,0,Lobby 1
18.0,LGN,11,15,0,18,0,14,2,13,0,8,2,11,1,Lobby 1
19.0,FIRE CLAN,6,16,1,17,0,15,0,14,3,20,0,20,0,Lobby 1
20.0,NXB,1,20,0,20,0,19,0,15,0,18,0,19,0,Lobby 1
1.0,DI,75,6,3,1,6,3,9,10,5,3,5,2,7,Lobby 2
2.0,DM,65,3,8,4,3,10,4,6,4,1,13,14,3,Lobby 2
3.0,Weebs Out,56,2,6,17,2,20,0,4,4,5,5,1,9,Lobby 2
4.0,RD,44,18,0,9,4,4,6,2,8,12,0,5,5,Lobby 2
5.0,FV,43,4,8,2,6,7,3,16,1,7,4,11,0,Lobby 2
6.0,NMS,38,12,1,16,6,6,7,17,0,4,2,4,8,Lobby 2
7.0,Dababy,37,11,7,15,0,5,5,7,2,13,0,3,6,Lobby 2
8.0,ORCL,36,20,0,10,0,12,3,1,10,9,6,18,0,Lobby 2
9.0,CRAZYx3,35,8,6,13,1,2,5,15,3,14,1,10,3,Lobby 2
10.0,PRSTS,31,7,4,8,2,15,2,20,0,2,8,19,0,Lobby 2
11.0,BCG,30,14,5,7,5,16,0,11,1,10,2,6,7,Lobby 2
12.0,NoFear,30,19,1,14,2,9,6,5,5,6,3,9,1,Lobby 2
13.0,iEnvy,26,5,0,19,1,1,4,19,0,20,0,7,2,Lobby 2
14.0,Aspirateur,25,15,1,12,0,14,0,3,7,8,1,12,3,Lobby 2
15.0,SPPI,24,10,0,5,6,13,0,13,1,15,7,20,1,Lobby 2
16.0,UTFT,24,1,6,20,0,8,1,8,0,17,1,17,0,Lobby 2
17.0,TOG,19,16,1,3,6,18,0,14,3,11,0,16,0,Lobby 2
18.0,SCBS,16,9,0,6,4,11,1,9,2,16,0,15,0,Lobby 2
19.0,ExplosionFusion,13,13,3,11,2,19,0,12,0,18,0,8,3,Lobby 2
20.0,Back to Lobby,2,17,0,18,0,17,1,18,0,19,0,13,0,Lobby 2
