Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,eGIRLS,171,1,17,1,12,1,17,1,22,2,13,1,21
2.0,AIM,56,6,6,4,11,4,4,14,0,4,4,3,5
3.0,SFD,47,10,0,3,0,6,2,7,0,1,12,4,1
4.0,SP,35,13,0,12,0,2,5,9,6,12,3,11,6
5.0,9EX,35,7,4,7,1,3,4,3,3,13,1,13,0
6.0,VsG,32,3,0,15,0,9,5,13,0,3,4,5,1
7.0,TVA,26,4,3,10,0,8,0,10,0,9,1,2,0
8.0,NVS,25,2,2,6,1,10,0,11,0,5,0,9,1
9.0,FL,24,15,0,2,6,7,0,8,0,10,0,12,0
10.0,QUAS,23,5,1,9,3,5,1,5,0,8,0,8,0
11.0,LEO,21,12,0,14,0,13,0,2,1,6,1,6,1
12.0,Tharsis,18,9,6,5,2,14,0,12,0,14,0,14,0
13.0,OSO,18,11,0,13,2,11,0,6,2,7,3,10,0
14.0,NICA,16,8,0,11,0,12,0,4,3,11,0,7,0
15.0,PVP,4,14,1,8,0,0,0,0,0,0,0,0,0
