Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Bracket
1.0,AK47,125,6,8,1,12,1,13,2,14,3,8,1,15,Finals
2.0,COFFE,118,5,2,2,15,3,12,3,3,1,23,3,8,Finals
3.0,PRDX,55,9,9,11,1,2,4,9,9,9,4,8,5,Finals
4.0,WTN,54,2,8,7,3,10,6,8,4,5,4,15,0,Finals
5.0,RUA6,41,3,5,4,2,6,0,7,0,16,0,2,4,Finals
6.0,Mystical,37,13,0,13,3,11,1,6,3,2,2,10,1,Finals
7.0,GUG,36,16,0,14,3,9,2,11,0,4,3,7,9,Finals
8.0,GOAT,29,8,2,6,1,13,0,1,1,8,1,16,0,Finals
9.0,TERM,27,17,0,5,2,4,1,5,3,14,0,12,0,Finals
10.0,ULW,23,7,0,12,0,12,0,4,4,11,0,4,1,Finals
11.0,SFD,22,1,6,15,0,16,0,15,0,13,0,13,0,Finals
12.0,2k ping,19,10,3,10,1,5,3,13,0,6,0,17,0,Finals
13.0,TVA,18,12,1,3,0,17,0,14,0,7,1,5,0,Finals
14.0,HARD,12,14,2,17,0,7,5,17,0,17,0,14,0,Finals
15.0,SIG,12,4,0,16,0,14,0,10,0,15,1,11,1,Finals
16.0,QUAS,11,15,0,8,0,15,0,12,1,10,0,6,0,Finals
17.0,MALA,9,11,0,9,0,8,0,16,0,12,0,9,1,Finals
18.0,SP,1,0,0,0,0,0,0,0,0,0,0,0,0,Finals
19.0,OSO,0,0,0,0,0,0,0,0,0,0,0,0,0,Finals
20.0,TCS,0,0,0,0,0,0,0,0,0,0,0,0,0,Finals
1.0,AK47,121,1,6,3,8,5,11,4,5,1,21,1,18,Losers_Bracket
2.0,QUAS,56,5,1,2,6,2,8,3,3,4,2,9,0,Losers_Bracket
3.0,SFD,50,6,4,9,2,7,0,1,9,8,0,3,6,Losers_Bracket
4.0,TVA,43,2,1,8,2,3,4,2,5,9,0,10,0,Losers_Bracket
5.0,SIG,39,3,5,1,7,11,0,12,0,12,0,8,3,Losers_Bracket
6.0,HARD,35,10,3,12,0,4,3,9,3,3,3,7,3,Losers_Bracket
7.0,TCS,30,11,0,5,3,1,7,11,0,11,0,12,0,Losers_Bracket
8.0,2k ping,26,8,0,4,3,9,2,10,0,6,3,6,1,Losers_Bracket
9.0,MALA,25,12,0,6,0,12,0,8,0,2,0,2,0,Losers_Bracket
10.0,OSO,24,9,2,10,0,6,2,7,3,10,0,4,0,Losers_Bracket
11.0,AIMC,20,7,2,11,0,8,0,6,2,7,0,5,0,Losers_Bracket
12.0,NICA,20,4,1,7,0,10,0,5,0,5,0,11,0,Losers_Bracket
13.0,MAUA,0,0,0,0,0,0,0,0,0,0,0,0,0,Losers_Bracket
14.0,Tharsis,0,0,0,0,0,0,0,0,0,0,0,0,0,Losers_Bracket
15.0,CAPI,0,0,0,0,0,0,0,0,0,0,0,0,0,Losers_Bracket
16.0,PVP,0,0,0,0,0,0,0,0,0,0,0,0,0,Losers_Bracket
17.0,RWA,0,0,0,0,0,0,0,0,0,0,0,0,0,Losers_Bracket
1.0,Mystical,71,1,7,10,4,12,1,3,4,1,14,9,5,Winners_Bracket
2.0,COFFE,68,12,5,1,9,2,15,11,5,4,5,14,0,Winners_Bracket
3.0,WTN,67,8,5,2,6,11,3,16,2,2,7,1,11,Winners_Bracket
4.0,GUG,60,9,2,3,6,4,8,2,7,6,0,3,4,Winners_Bracket
5.0,TERM,59,2,13,13,3,16,0,1,15,11,4,15,0,Winners_Bracket
6.0,PRDX,47,3,4,7,3,5,3,5,2,9,9,5,2,Winners_Bracket
7.0,GOAT,39,15,0,5,2,3,3,13,0,3,0,2,5,Winners_Bracket
8.0,RUA6,33,5,0,6,1,1,4,15,0,8,0,4,1,Winners_Bracket
9.0,ULW,28,6,0,8,5,9,0,12,1,10,0,7,9,Winners_Bracket
10.0,SP,24,13,2,15,0,10,6,6,2,17,0,6,4,Winners_Bracket
11.0,AIMC,21,4,0,4,3,17,0,7,0,5,0,11,0,Winners_Bracket
12.0,SIG,15,14,0,16,0,8,1,4,1,13,1,10,1,Winners_Bracket
13.0,2k ping,14,11,0,14,0,14,0,14,0,7,5,8,0,Winners_Bracket
14.0,PVP,11,0,0,0,0,6,1,10,4,12,0,0,0,Winners_Bracket
15.0,TCS,9,0,0,0,0,7,2,8,0,16,0,12,1,Winners_Bracket
16.0,NICA,9,10,1,11,0,13,0,9,0,15,0,13,0,Winners_Bracket
17.0,OSO,8,7,1,12,0,15,0,17,1,14,0,16,0,Winners_Bracket
18.0,CAPI,0,0,0,0,0,0,0,0,0,0,0,0,0,Winners_Bracket
19.0,MAUA,0,0,0,0,0,0,0,0,0,0,0,0,0,Winners_Bracket
20.0,Tharsis,0,0,0,0,0,0,0,0,0,0,0,0,0,Winners_Bracket
