Standings,RL.XV,66,66.1,Lobby,GS,59,59.1,O3,79,79.1,TX,72,72.1,Round,Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,PQL
,,,,Lobby 3,,,,,,,,,,Round_1,1.0,MDY,72.0,1.0,21.0,3.0,11.0,6.0,11.0,6.0,4.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Round_1,2.0,SNG,53.0,12.0,0.0,1.0,11.0,3.0,3.0,4.0,14.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Round_1,3.0,NMLS,36.0,5.0,4.0,2.0,3.0,10.0,0.0,2.0,5.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Round_1,4.0,RebellioN,35.0,7.0,0.0,4.0,3.0,7.0,3.0,1.0,6.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Round_1,5.0,BOG,30.0,2.0,2.0,6.0,3.0,9.0,0.0,3.0,4.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Round_1,6.0,Antiaa,29.0,4.0,1.0,5.0,0.0,1.0,6.0,11.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Round_1,7.0,AU REVENGE,27.0,9.0,0.0,8.0,1.0,2.0,9.0,12.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Round_1,8.0,EVOS,22.0,3.0,0.0,12.0,3.0,5.0,3.0,7.0,1.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Round_1,9.0,NRD,13.0,6.0,0.0,10.0,0.0,4.0,1.0,9.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Round_1,10.0,GOD OF DREAM,11.0,11.0,3.0,11.0,1.0,13.0,0.0,5.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Round_1,11.0,JmiiiiFazyWeebi,9.0,8.0,3.0,13.0,0.0,12.0,0.0,8.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Round_1,12.0,Team Lockdown,8.0,13.0,0.0,7.0,0.0,8.0,0.0,10.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Round_1,13.0,Lags Fault,6.0,10.0,0.0,9.0,0.0,11.0,0.0,13.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Round_1,1.0,MBTN,78.0,1.0,10.0,2.0,6.0,4.0,13.0,1.0,11.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Round_1,2.0,HeadHunters,53.0,2.0,6.0,3.0,9.0,1.0,9.0,13.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Round_1,3.0,4Thumbs1Arm,49.0,3.0,5.0,1.0,8.0,2.0,7.0,14.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Round_1,4.0,Warsoul Hammer,42.0,6.0,2.0,6.0,2.0,5.0,4.0,2.0,15.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Round_1,5.0,60 Hurtz,22.0,4.0,0.0,4.0,1.0,11.0,0.0,3.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Round_1,6.0,PWLS,17.0,7.0,8.0,12.0,1.0,9.0,0.0,12.0,1.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Round_1,7.0,Kopi,17.0,5.0,0.0,10.0,0.0,3.0,0.0,11.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Round_1,8.0,RJININ,15.0,9.0,1.0,5.0,3.0,12.0,2.0,10.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Round_1,9.0,INF,14.0,8.0,0.0,7.0,4.0,10.0,0.0,7.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Round_1,10.0,Elegants,12.0,13.0,0.0,14.0,0.0,6.0,1.0,5.0,2.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Round_1,11.0,Conquerors,12.0,10.0,0.0,8.0,2.0,7.0,0.0,6.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Round_1,12.0,Informal Squad,9.0,12.0,2.0,11.0,0.0,8.0,1.0,8.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Round_1,13.0,GOB Valhalla,9.0,14.0,0.0,13.0,0.0,14.0,0.0,4.0,1.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Round_1,14.0,Speed,7.0,11.0,0.0,9.0,1.0,13.0,0.0,9.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 5,,,,,,,,,,Round_1,1.0,GS,71.0,4.0,10.0,3.0,10.0,3.0,6.0,1.0,14.0,,,,,Preseason_Qualifier_2
,,,,Lobby 5,,,,,,,,,,Round_1,2.0,DSG,46.0,5.0,5.0,5.0,0.0,1.0,8.0,4.0,8.0,,,,,Preseason_Qualifier_2
,,,,Lobby 5,,,,,,,,,,Round_1,3.0,Multicultural,41.0,11.0,0.0,1.0,9.0,2.0,6.0,10.0,2.0,,,,,Preseason_Qualifier_2
,,,,Lobby 5,,,,,,,,,,Round_1,4.0,Easy AF!,31.0,2.0,2.0,8.0,3.0,7.0,6.0,5.0,2.0,,,,,Preseason_Qualifier_2
,,,,Lobby 5,,,,,,,,,,Round_1,5.0,South Cartel,31.0,1.0,8.0,9.0,0.0,4.0,2.0,8.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 5,,,,,,,,,,Round_1,6.0,PG,26.0,12.0,3.0,2.0,5.0,6.0,3.0,9.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 5,,,,,,,,,,Round_1,7.0,END,25.0,6.0,4.0,7.0,0.0,8.0,1.0,3.0,5.0,,,,,Preseason_Qualifier_2
,,,,Lobby 5,,,,,,,,,,Round_1,8.0,The Desi Boys,17.0,9.0,0.0,11.0,0.0,9.0,0.0,2.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 5,,,,,,,,,,Round_1,9.0,Keep it 100,16.0,3.0,0.0,6.0,2.0,11.0,0.0,6.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 5,,,,,,,,,,Round_1,10.0,Nostalgic,13.0,13.0,0.0,4.0,5.0,12.0,0.0,11.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 5,,,,,,,,,,Round_1,11.0,InfernoDSC,12.0,8.0,0.0,13.0,0.0,5.0,4.0,12.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 5,,,,,,,,,,Round_1,12.0,clanGH0ST,11.0,10.0,0.0,10.0,0.0,10.0,0.0,7.0,2.0,,,,,Preseason_Qualifier_2
,,,,Lobby 5,,,,,,,,,,Round_1,13.0,DDYM,7.0,7.0,1.0,12.0,0.0,13.0,0.0,13.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 6,,,,,,,,,,Round_1,1.0,WGGxPK,46.0,12.0,1.0,1.0,6.0,1.0,12.0,11.0,1.0,,,,,Preseason_Qualifier_2
,,,,Lobby 6,,,,,,,,,,Round_1,2.0,DYN,44.0,3.0,7.0,6.0,8.0,7.0,6.0,7.0,7.0,,,,,Preseason_Qualifier_2
,,,,Lobby 6,,,,,,,,,,Round_1,3.0,RL.XV,37.0,5.0,5.0,2.0,14.0,9.0,1.0,8.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 6,,,,,,,,,,Round_1,4.0,EVO.Shadow,36.0,10.0,0.0,3.0,9.0,2.0,7.0,10.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 6,,,,,,,,,,Round_1,5.0,QE.NY,32.0,8.0,7.0,5.0,1.0,6.0,1.0,5.0,10.0,,,,,Preseason_Qualifier_2
,,,,Lobby 6,,,,,,,,,,Round_1,6.0,OC,32.0,1.0,8.0,10.0,0.0,10.0,3.0,9.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 6,,,,,,,,,,Round_1,7.0,September,30.0,2.0,4.0,13.0,0.0,5.0,2.0,2.0,1.0,,,,,Preseason_Qualifier_2
,,,,Lobby 6,,,,,,,,,,Round_1,8.0,DESI,27.0,14.0,0.0,7.0,0.0,11.0,3.0,1.0,7.0,,,,,Preseason_Qualifier_2
,,,,Lobby 6,,,,,,,,,,Round_1,9.0,IRATCHAIMAZE,16.0,7.0,4.0,9.0,0.0,13.0,0.0,6.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 6,,,,,,,,,,Round_1,10.0,tXt,15.0,11.0,0.0,8.0,0.0,3.0,0.0,4.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 6,,,,,,,,,,Round_1,11.0,Nitrogen Oxide,14.0,6.0,0.0,20.0,0.0,20.0,0.0,3.0,4.0,,,,,Preseason_Qualifier_2
,,,,Lobby 6,,,,,,,,,,Round_1,12.0,GOB boomers,9.0,9.0,0.0,12.0,0.0,4.0,0.0,12.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 6,,,,,,,,,,Round_1,13.0,VENOM KNF,9.0,13.0,0.0,4.0,0.0,8.0,0.0,14.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 6,,,,,,,,,,Round_1,14.0,MimpiSMP,8.0,4.0,0.0,11.0,0.0,12.0,0.0,13.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 7,,,,,,,,,,Round_1,1.0,DNZ,69.0,4.0,6.0,9.0,6.0,2.0,13.0,1.0,16.0,,,,,Preseason_Qualifier_2
,,,,Lobby 7,,,,,,,,,,Round_1,2.0,AMG TW,53.0,9.0,3.0,1.0,17.0,3.0,5.0,7.0,4.0,,,,,Preseason_Qualifier_2
,,,,Lobby 7,,,,,,,,,,Round_1,3.0,WHIZ,44.0,1.0,17.0,11.0,0.0,11.0,2.0,2.0,2.0,,,,,Preseason_Qualifier_2
,,,,Lobby 7,,,,,,,,,,Round_1,4.0,EVO BERZ,43.0,8.0,1.0,2.0,10.0,1.0,7.0,10.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 7,,,,,,,,,,Round_1,5.0,Yang baca jelek,36.0,5.0,6.0,4.0,1.0,4.0,5.0,6.0,7.0,,,,,Preseason_Qualifier_2
,,,,Lobby 7,,,,,,,,,,Round_1,6.0,SLK,26.0,2.0,0.0,3.0,0.0,9.0,1.0,5.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 7,,,,,,,,,,Round_1,7.0,Team Psycho,15.0,6.0,0.0,6.0,1.0,5.0,3.0,13.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 7,,,,,,,,,,Round_1,8.0,Vaczer Esport,15.0,3.0,3.0,13.0,0.0,13.0,1.0,8.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 7,,,,,,,,,,Round_1,9.0,Triple Threat OG,15.0,12.0,0.0,5.0,0.0,10.0,0.0,3.0,1.0,,,,,Preseason_Qualifier_2
,,,,Lobby 7,,,,,,,,,,Round_1,10.0,Happy To Be Here,11.0,13.0,0.0,10.0,1.0,8.0,0.0,4.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 7,,,,,,,,,,Round_1,11.0,Triple Cobra,10.0,7.0,0.0,7.0,0.0,7.0,0.0,12.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 7,,,,,,,,,,Round_1,12.0,WINGS,8.0,10.0,0.0,12.0,0.0,12.0,0.0,11.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 7,,,,,,,,,,Round_1,13.0,GaleottoD4C,8.0,11.0,0.0,8.0,0.0,6.0,0.0,9.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 8,,,,,,,,,,Round_1,1.0,WGG,68.0,1.0,9.0,10.0,7.0,2.0,16.0,5.0,9.0,,,,,Preseason_Qualifier_2
,,,,Lobby 8,,,,,,,,,,Round_1,2.0,DREAM,48.0,2.0,8.0,8.0,1.0,12.0,0.0,1.0,15.0,,,,,Preseason_Qualifier_2
,,,,Lobby 8,,,,,,,,,,Round_1,3.0,Estrell,37.0,4.0,5.0,5.0,2.0,10.0,3.0,2.0,7.0,,,,,Preseason_Qualifier_2
,,,,Lobby 8,,,,,,,,,,Round_1,4.0,Quentiam,36.0,11.0,2.0,1.0,9.0,5.0,0.0,6.0,5.0,,,,,Preseason_Qualifier_2
,,,,Lobby 8,,,,,,,,,,Round_1,5.0,BTCxWGG,31.0,3.0,6.0,14.0,0.0,9.0,4.0,3.0,4.0,,,,,Preseason_Qualifier_2
,,,,Lobby 8,,,,,,,,,,Round_1,6.0,Exusiai,30.0,13.0,0.0,3.0,3.0,1.0,5.0,10.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 8,,,,,,,,,,Round_1,7.0,Teriyaki Boyz,25.0,5.0,3.0,4.0,5.0,8.0,0.0,4.0,1.0,,,,,Preseason_Qualifier_2
,,,,Lobby 8,,,,,,,,,,Round_1,8.0,Boink Gang,24.0,8.0,3.0,2.0,8.0,14.0,0.0,14.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 8,,,,,,,,,,Round_1,9.0,Rogue_One,21.0,7.0,1.0,6.0,0.0,3.0,6.0,11.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 8,,,,,,,,,,Round_1,10.0,Hardstuck D4,20.0,6.0,1.0,11.0,3.0,7.0,6.0,7.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 8,,,,,,,,,,Round_1,11.0,Prey,14.0,10.0,0.0,7.0,0.0,4.0,2.0,9.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 8,,,,,,,,,,Round_1,12.0,Freedom,6.0,9.0,0.0,13.0,1.0,11.0,0.0,13.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 8,,,,,,,,,,Round_1,13.0,Waht Are WeDoing,6.0,14.0,0.0,12.0,0.0,6.0,0.0,12.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 8,,,,,,,,,,Round_1,14.0,Saint,6.0,12.0,0.0,9.0,0.0,13.0,0.0,8.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,1.0,TX,58.0,16.0,6.0,10.0,4.0,1.0,15.0,7.0,16.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,2.0,April,56.0,3.0,18.0,1.0,15.0,17.0,0.0,8.0,2.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,3.0,WAT,44.0,1.0,6.0,8.0,2.0,11.0,0.0,1.0,9.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,4.0,IFPD,41.0,18.0,0.0,6.0,9.0,2.0,4.0,3.0,9.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,5.0,StrawberryJam,32.0,2.0,8.0,14.0,0.0,9.0,2.0,2.0,1.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,6.0,RL.IXiA,30.0,14.0,0.0,7.0,4.0,4.0,9.0,5.0,4.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,7.0,INF,29.0,5.0,7.0,2.0,3.0,18.0,2.0,14.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,8.0,NaresuanSniper,28.0,17.0,0.0,4.0,10.0,3.0,4.0,10.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,9.0,Pavlova,24.0,7.0,0.0,9.0,3.0,5.0,3.0,4.0,4.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,10.0,OGL,22.0,4.0,2.0,11.0,0.0,6.0,9.0,13.0,1.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,11.0,SkarptSinne,17.0,12.0,0.0,3.0,0.0,10.0,1.0,6.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,12.0,LAG,16.0,9.0,5.0,15.0,1.0,12.0,5.0,11.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,13.0,Astreaks Gaming,9.0,6.0,0.0,5.0,1.0,13.0,0.0,18.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,14.0,a搞耍小隊,8.0,8.0,2.0,20.0,1.0,19.0,0.0,16.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,15.0,Fogyo City,7.0,13.0,1.0,12.0,1.0,7.0,0.0,20.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,16.0,Losin Control,6.0,10.0,0.0,13.0,1.0,20.0,0.0,12.0,1.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,17.0,JOKO,5.0,11.0,0.0,17.0,0.0,15.0,0.0,17.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,18.0,TEAM MIRACLE,5.0,20.0,0.0,18.0,1.0,8.0,1.0,15.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,19.0,FLRV,4.0,15.0,0.0,16.0,0.0,16.0,0.0,9.0,1.0,,,,,Preseason_Qualifier_2
,,,,Lobby 1,,,,,,,,,,Quarterfinals,20.0,Team Shinigami,2.0,19.0,0.0,19.0,0.0,14.0,1.0,19.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,1.0,MDY,76.0,3.0,7.0,6.0,13.0,1.0,12.0,3.0,15.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,2.0,MBTN,47.0,1.0,10.0,3.0,16.0,14.0,0.0,14.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,3.0,4Thumbs1Arm,34.0,12.0,0.0,9.0,3.0,2.0,3.0,1.0,4.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,4.0,HeadHunters,31.0,2.0,10.0,7.0,1.0,11.0,3.0,12.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,5.0,60 Hurtz,30.0,9.0,4.0,1.0,2.0,4.0,1.0,10.0,2.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,6.0,BOG,26.0,6.0,8.0,2.0,0.0,9.0,0.0,9.0,2.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,7.0,SNG,23.0,7.0,3.0,5.0,4.0,6.0,6.0,17.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,8.0,Warsoul Hammer,22.0,16.0,3.0,18.0,0.0,12.0,3.0,4.0,10.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,9.0,RJININ,22.0,15.0,3.0,8.0,1.0,3.0,8.0,16.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,10.0,NMLS,21.0,20.0,0.0,16.0,3.0,8.0,7.0,7.0,6.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,11.0,PWLS,21.0,17.0,0.0,12.0,6.0,10.0,2.0,2.0,1.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,12.0,EVOS,20.0,4.0,1.0,10.0,0.0,5.0,6.0,8.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,13.0,Antiaa,15.0,13.0,1.0,4.0,1.0,15.0,1.0,5.0,1.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,14.0,AU REVENGE,11.0,5.0,6.0,19.0,0.0,17.0,0.0,18.0,1.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,15.0,RebellioN,9.0,11.0,0.0,11.0,3.0,18.0,0.0,11.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,16.0,Kopi,8.0,10.0,0.0,15.0,1.0,13.0,0.0,6.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,17.0,Elegants,6.0,8.0,0.0,20.0,0.0,7.0,0.0,13.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,18.0,GOD OF DREAM,2.0,14.0,0.0,17.0,0.0,19.0,0.0,15.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,19.0,NRD,1.0,18.0,0.0,13.0,0.0,16.0,0.0,20.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 2,,,,,,,,,,Quarterfinals,20.0,INF,1.0,19.0,0.0,14.0,0.0,20.0,0.0,20.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,1.0,GS,70.0,2.0,15.0,19.0,0.0,1.0,18.0,3.0,9.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,2.0,WGGxPK,57.0,1.0,11.0,1.0,7.0,2.0,6.0,16.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,3.0,Multicultural,40.0,13.0,0.0,3.0,5.0,4.0,4.0,1.0,6.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,4.0,DYN,36.0,4.0,4.0,2.0,9.0,11.0,4.0,8.0,2.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,5.0,DSG,31.0,3.0,7.0,12.0,1.0,12.0,6.0,5.0,4.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,6.0,QE.NY,25.0,7.0,5.0,8.0,9.0,18.0,0.0,12.0,5.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,7.0,EVO.Shadow,20.0,8.0,4.0,17.0,2.0,10.0,0.0,9.0,8.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,8.0,September,20.0,10.0,3.0,5.0,3.0,15.0,1.0,6.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,9.0,PG,20.0,5.0,1.0,11.0,4.0,9.0,0.0,4.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,10.0,Keep it 100,19.0,9.0,0.0,6.0,3.0,3.0,1.0,7.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,11.0,South Cartel,18.0,12.0,0.0,16.0,0.0,6.0,1.0,2.0,4.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,12.0,OC,16.0,19.0,0.0,18.0,0.0,7.0,8.0,15.0,4.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,13.0,The Desi Boys,13.0,17.0,0.0,7.0,4.0,14.0,5.0,18.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,14.0,DESI,12.0,15.0,2.0,15.0,0.0,8.0,1.0,10.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,15.0,END,12.0,16.0,0.0,4.0,4.0,17.0,0.0,11.0,2.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,16.0,IRATCHAIMAZE,10.0,6.0,3.0,10.0,1.0,16.0,0.0,19.0,1.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,17.0,Nostalgic,8.0,11.0,0.0,14.0,0.0,5.0,1.0,14.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,18.0,Easy AF!,7.0,14.0,0.0,9.0,3.0,19.0,0.0,13.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,19.0,tXt,2.0,18.0,0.0,13.0,0.0,13.0,0.0,17.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 3,,,,,,,,,,Quarterfinals,20.0,RL.XV,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Quarterfinals,1.0,DNZ,50.0,3.0,5.0,9.0,6.0,8.0,8.0,2.0,11.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Quarterfinals,2.0,Estrell,48.0,7.0,4.0,2.0,9.0,2.0,3.0,3.0,4.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Quarterfinals,3.0,AMG TW,44.0,10.0,4.0,7.0,6.0,1.0,13.0,9.0,2.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Quarterfinals,4.0,WHIZ,42.0,6.0,6.0,1.0,9.0,12.0,7.0,14.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Quarterfinals,5.0,WGG,40.0,2.0,16.0,10.0,3.0,15.0,3.0,6.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Quarterfinals,6.0,DREAM,37.0,1.0,14.0,8.0,4.0,16.0,2.0,7.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Quarterfinals,7.0,Hardstuck D4,36.0,11.0,0.0,19.0,0.0,7.0,5.0,1.0,15.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Quarterfinals,8.0,BTCxWGG,22.0,5.0,0.0,15.0,3.0,10.0,0.0,4.0,7.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Quarterfinals,9.0,EVO BERZ,18.0,19.0,1.0,6.0,4.0,18.0,0.0,5.0,6.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Quarterfinals,10.0,SLK,17.0,9.0,0.0,5.0,3.0,6.0,0.0,8.0,3.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Quarterfinals,11.0,Teriyaki Boyz,17.0,16.0,0.0,3.0,1.0,4.0,2.0,10.0,0.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Quarterfinals,12.0,Quentiam,16.0,14.0,4.0,18.0,3.0,11.0,5.0,12.0,1.0,,,,,Preseason_Qualifier_2
,,,,Lobby 4,,,,,,,,,,Quarterfinals,13.0,Vaczer Esport,14.0,4.0,0.0,4.0,3.0,13.0,0.0,19.0,0.0,,,,,Preseason_Qualifier_2
