Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split,Region
17.0,GOD OF DREAM,8,200,0,73,11,160,0,82,22,Lobby 2,Round_1,,,,,Split_1,APAC_South
18.0,Cookies,4,180,0,170,0,54,0,170,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
19.0,Nitrogen Oxide,3,121,0,131,0,200,0,141,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
20.0,Baron,1,131,0,200,0,170,0,200,0,Lobby 2,Round_1,,,,,Split_1,APAC_South
1.0,Job Seekers,81,111,99,37,1111,29,1111,112,2121,Lobby 3,Round_1,,,,,Split_1,APAC_South
2.0,AU Skyrise,65,112,1515,112,99,63,1313,131,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
3.0,Antiaa,44,45,55,29,33,45,44,92,1111,Lobby 3,Round_1,,,,,Split_1,APAC_South
4.0,SkarptSinne,37,73,44,54,11,112,55,37,11,Lobby 3,Round_1,,,,,Split_1,APAC_South
5.0,LVTHN,22,121,11,63,22,92,0,29,44,Lobby 3,Round_1,,,,,Split_1,APAC_South
6.0,FLRV,22,29,33,102,0,54,0,63,11,Lobby 3,Round_1,,,,,Split_1,APAC_South
7.0,September,21,180,0,131,77,37,55,121,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
8.0,Speed,18,54,55,111,11,102,33,102,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
9.0,ALZ,16,37,11,82,11,73,0,82,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
10.0,LAG,15,82,33,92,22,141,44,151,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
11.0,Teriyaki Boyz,15,63,44,151,0,82,44,111,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
12.0,Team Shinigami,13,102,11,180,0,151,0,45,44,Lobby 3,Round_1,,,,,Split_1,APAC_South
13.0,Nostalgic Ferets,12,160,0,141,33,121,0,54,33,Lobby 3,Round_1,,,,,Split_1,APAC_South
14.0,Wonders Esports,10,151,0,45,33,170,0,141,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
15.0,6969,9,92,0,170,0,131,0,73,33,Lobby 3,Round_1,,,,,Split_1,APAC_South
16.0,Team eXplicit,7,131,11,121,44,160,0,160,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
17.0,Pagan Patrol,5,141,0,73,0,111,0,170,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
18.0,Ace Players,0,190,0,200,0,200,0,200,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
19.0,Dark Rangers,0,200,0,200,0,200,0,200,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
20.0,dongsters,0,170,0,160,0,180,0,180,0,Lobby 3,Round_1,,,,,Split_1,APAC_South
1.0,EMM,100,37,1515,29,1515,112,1616,112,1414,Lobby 4,Round_1,,,,,Split_1,APAC_South
2.0,Multicultural,44,112,77,63,0,54,33,29,66,Lobby 4,Round_1,,,,,Split_1,APAC_South
3.0,OGL,40,92,0,112,1111,45,22,54,44,Lobby 4,Round_1,,,,,Split_1,APAC_South
4.0,BTCxWGG,30,131,0,54,99,82,55,45,44,Lobby 4,Round_1,,,,,Split_1,APAC_South
5.0,Systematic,27,45,66,102,33,63,44,141,33,Lobby 4,Round_1,,,,,Split_1,APAC_South
6.0,Masters Please,26,54,22,37,11,29,0,102,11,Lobby 4,Round_1,,,,,Split_1,APAC_South
7.0,OC,21,73,0,92,66,92,33,92,33,Lobby 4,Round_1,,,,,Split_1,APAC_South
8.0,C10H15N,21,29,55,170,0,73,33,151,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
9.0,Hardstucks,21,63,22,111,0,37,55,82,11,Lobby 4,Round_1,,,,,Split_1,APAC_South
10.0,EVOLUTION BLACK,19,111,55,160,33,151,11,131,77,Lobby 4,Round_1,,,,,Split_1,APAC_South
11.0,delaynomore,15,170,0,131,0,102,55,63,44,Lobby 4,Round_1,,,,,Split_1,APAC_South
12.0,Astreaks Gaming,15,190,0,121,44,170,0,37,33,Lobby 4,Round_1,,,,,Split_1,APAC_South
13.0,Triple Cobra,13,82,22,141,0,111,33,73,11,Lobby 4,Round_1,,,,,Split_1,APAC_South
14.0,LightSaber,6,121,33,180,0,121,11,170,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
15.0,Gamerz,4,151,0,151,0,160,11,111,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
16.0,MY Shad0w,4,160,0,73,0,141,0,160,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
17.0,Elegants,3,141,0,82,0,190,0,200,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
18.0,TEXT XENION,2,200,0,200,0,131,0,121,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
19.0,Clipped,0,180,0,200,0,180,0,180,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
20.0,Sunda Gaming,0,200,0,200,0,200,0,200,0,Lobby 4,Round_1,,,,,Split_1,APAC_South
1.0,IFPD,125,1,14,1,10,1,18,3,7,Lobby 1,Semifinals,2.0,7.0,8.0,15.0,Split_1,APAC_South
2.0,R.Harmony,71,7,4,8,6,4,8,4,6,Lobby 1,Semifinals,20.0,0.0,1.0,20.0,Split_1,APAC_South
3.0,DREAM,69,3,10,3,7,18,0,1,12,Lobby 1,Semifinals,3.0,6.0,15.0,0.0,Split_1,APAC_South
4.0,LH,52,11,3,5,10,5,2,7,0,Lobby 1,Semifinals,1.0,9.0,14.0,3.0,Split_1,APAC_South
5.0,CKB,43,2,3,2,2,16,6,11,0,Lobby 1,Semifinals,6.0,10.0,17.0,0.0,Split_1,APAC_South
