C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,B vs D StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,B vs C StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,Split
,BRGR,65,1,11,5,2,18,0,1,6,5,8,10,4,Round 1,,,2.0,,,Split_1
,FA,63,7,9,2,5,8,3,6,2,15,3,1,11,Round 1,,,3.0,,,Split_1
,LU,59,5,4,10,1,2,11,3,0,3,10,7,1,Round 1,,,4.0,,,Split_1
,ANT,45,10,0,11,2,5,9,16,0,2,4,2,5,Round 1,,,5.0,,,Split_1
,DNZ,44,13,6,1,15,16,0,15,5,13,3,17,0,Round 1,,,6.0,,,Split_1
,WAT,37,14,0,8,9,9,2,10,3,4,2,4,4,Round 1,,,7.0,,,Split_1
,OC,37,2,7,17,0,15,2,7,5,8,0,5,4,Round 1,,,8.0,,,Split_1
,NLN,28,11,0,3,1,14,1,5,8,12,4,19,0,Round 1,,,9.0,,,Split_1
,MON,27,9,0,7,5,4,3,8,5,16,0,15,1,Round 1,,,10.0,,,Split_1
,EMM,22,12,3,9,8,7,3,11,0,17,0,14,0,Round 1,,,11.0,,,Split_1
,ITR,22,8,0,4,2,11,0,12,2,6,3,13,2,Round 1,,,12.0,,,Split_1
,PK,21,16,0,12,1,6,5,19,0,7,3,6,2,Round 1,,,13.0,,,Split_1
,MYTH,21,3,2,18,3,10,1,13,1,14,0,8,1,Round 1,,,14.0,,,Split_1
,DYN,19,6,0,6,2,12,0,9,1,10,1,9,2,Round 1,,,15.0,,,Split_1
,DREAM,18,4,3,19,0,3,1,17,0,11,0,12,0,Round 1,,,16.0,,,Split_1
,MDY.W,16,15,3,16,0,13,4,14,5,19,0,16,1,Round 1,,,17.0,,,Split_1
,Antiaa,11,18,3,13,0,19,0,4,2,18,0,18,0,Round 1,,,18.0,,,Split_1
,WGG,8,19,0,14,0,17,0,18,0,9,0,11,4,Round 1,,,19.0,,,Split_1
,YFM,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 1,,,20.0,,,Split_1
,STK,79,2,9,3,1,2,4,1,15,5,2,5,3,Round 2,,,,1.0,,Split_1
,BRP,70,1,16,6,2,7,3,14,0,15,0,1,17,Round 2,,,,2.0,,Split_1
,ATH,64,5,2,1,5,5,4,5,6,1,8,10,1,Round 2,,,,3.0,,Split_1
,EXO,51,18,3,19,1,4,8,9,7,6,8,3,7,Round 2,,,,4.0,,Split_1
,NXL,50,7,5,11,5,10,5,18,0,3,8,2,5,Round 2,,,,5.0,,Split_1
,DF,47,11,2,2,10,8,7,8,3,9,1,9,6,Round 2,,,,6.0,,Split_1
,BWS,42,14,1,12,5,17,4,6,3,2,14,14,0,Round 2,,,,7.0,,Split_1
,M2,37,6,3,4,4,19,0,2,9,11,2,11,0,Round 2,,,,8.0,,Split_1
,MBTN,36,19,0,9,6,1,9,12,2,10,1,15,0,Round 2,,,,9.0,,Split_1
,SNG,27,8,4,7,2,6,0,13,2,7,6,16,1,Round 2,,,,10.0,,Split_1
,WHIZ,22,3,3,15,0,15,0,3,2,19,0,13,0,Round 2,,,,11.0,,Split_1
,SMC,21,9,5,13,2,13,2,11,1,16,0,12,5,Round 2,,,,12.0,,Split_1
,DML,20,12,0,5,1,12,3,7,0,12,0,8,4,Round 2,,,,13.0,,Split_1
,PWLS,18,13,1,10,2,14,0,15,0,17,0,4,5,Round 2,,,,14.0,,Split_1
,DNN,16,15,1,14,0,3,6,17,0,18,0,19,0,Round 2,,,,15.0,,Split_1
,STB,16,4,0,16,0,11,0,4,0,14,4,17,0,Round 2,,,,16.0,,Split_1
,FW,13,17,0,8,5,16,0,16,3,8,1,18,0,Round 2,,,,17.0,,Split_1
,DESI,10,16,0,17,0,18,0,10,0,4,0,7,0,Round 2,,,,18.0,,Split_1
,SLAY,8,10,0,18,0,9,0,19,0,13,0,6,0,Round 2,,,,19.0,,Split_1
,GS,0,0,0,0,0,0,0,0,0,0,0,0,0,Round 2,,,,20.0,,Split_1
,STB,77,2,8,3,6,6,6,13,0,7,4,1,18,Round 3,,,,,1.0,Split_1
,ANT,63,8,0,5,0,3,8,6,7,3,14,4,6,Round 3,,,,,2.0,Split_1
,RIG,62,10,3,1,15,7,2,1,8,8,2,15,0,Round 3,,,,,3.0,Split_1
,DF,61,12,1,7,3,2,10,5,3,1,6,3,2,Round 3,,,,,4.0,Split_1
,LU,60,1,8,2,9,1,7,16,0,12,0,8,0,Round 3,,,,,5.0,Split_1
,BRP,59,4,5,13,4,4,6,2,7,2,5,13,2,Round 3,,,,,6.0,Split_1
,FA,46,6,7,4,1,18,0,3,11,10,3,6,4,Round 3,,,,,7.0,Split_1
,M2,36,3,4,14,0,8,5,12,2,5,4,7,3,Round 3,,,,,8.0,Split_1
,SLAY,35,7,4,6,0,5,2,4,6,6,4,16,1,Round 3,,,,,9.0,Split_1
