Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,GUILD,106,1,18,19,2,1,12,1,4,5,4,1,14
2.0,OP,62,8,0,1,9,4,5,20,0,1,10,5,3
3.0,KNG,52,13,1,2,9,15,0,5,3,2,14,14,0
4.0,ADP,49,2,11,13,4,19,0,6,4,13,7,11,8
5.0,P4C,44,20,0,5,4,2,11,7,5,18,2,10,4
6.0,RAT,43,11,0,9,9,5,6,2,5,11,2,15,3
7.0,SNK,37,5,6,15,0,9,2,14,3,4,4,4,4
8.0,BBG,34,10,11,4,4,10,4,18,0,9,2,8,0
9.0,SCTA,33,18,0,12,0,3,0,15,1,8,3,2,9
10.0,TTD,33,3,3,3,4,12,3,8,2,12,0,9,1
11.0,BFG,24,14,0,17,0,7,1,4,11,14,1,13,0
12.0,SMS,24,6,0,7,1,18,0,13,2,3,2,6,2
13.0,drain,23,12,3,8,3,8,5,12,1,6,1,12,0
14.0,BGTTS,22,9,1,20,0,14,3,3,7,17,1,20,0
15.0,Ratio,22,15,0,16,0,6,0,17,1,16,1,3,9
16.0,ZBW,21,7,5,6,5,16,2,10,0,15,0,17,0
17.0,UTFT,19,4,1,10,0,13,0,11,1,10,3,7,0
18.0,ATK,12,19,0,11,4,20,0,9,4,20,0,19,1
19.0,b0ts,8,17,1,18,0,17,0,16,3,7,1,16,0
20.0,NIBL,5,16,0,14,1,11,2,19,0,19,0,18,0
