,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,BGR,86,86
1,2.0,TD,63,63
2,3.0,Team SiMo,44,44
3,4.0,Weebs Out,36,36
4,5.0,edit,35,35
5,6.0,Justthreeplayers,33,33
6,7.0,CHOC,27,27
7,8.0,White Clover,23,23
8,9.0,DASK,12,12
9,10.0,First in Battle,11,11
10,11.0,Moin Myster,10,10
11,12.0,Looking4Wingman,8,8
12,13.0,Precise Hornets,8,8
13,14.0,So Basically,8,8
14,15.0,Escuella,5,5
15,16.0,WashedUpShitters,4,4
16,17.0,RareBar™,4,4
17,18.0,TAW Rampage,4,4
