,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,Tweetlonger,67,67
1,2.0,HNY,61,61
2,3.0,ATK,57,57
3,4.0,DI,47,47
4,5.0,HLDC,40,40
5,6.0,Aspirateur,21,21
6,7.0,69IQ,20,20
7,8.0,TRIADA,16,16
8,9.0,BlueCheeseGaming,14,14
9,10.0,LPm,12,12
10,11.0,SirCollyLemonz,8,8
11,12.0,Over The Top Sgv,7,7
12,13.0,pull up gang,7,7
13,14.0,Icedentz,6,6
14,15.0,NPS,5,5
15,16.0,Simply_E_Sports,5,5
16,17.0,Bikes,5,5
17,18.0,FulL on TilT!,0,0
