,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,NMS,76,76
1,2.0,Undertaker,51,51
2,3.0,3 Jabronies,35,35
3,4.0,Bacalhau,35,35
4,5.0,Aesir,30,30
5,6.0,BFG,30,30
6,7.0,1515,22,22
7,8.0,SPPI,19,19
8,9.0,DoubleuandL,17,17
9,10.0,Monkey Milkers,16,16
10,11.0,ahahhah,16,16
11,12.0,NF X,14,14
12,13.0,ZenTeX eSports,12,12
13,14.0,KWK,12,12
14,15.0,Wild Boars,6,6
15,16.0,Rayquaza Shiny,2,2
16,17.0,PivoEnjoyers,0,0
17,18.0,Elver Galarga,0,0
