,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,BOOBA,52,52
1,2.0,JIGSAW,39,39
2,3.0,MF,36,36
3,4.0,FaTuttoilPad,31,31
4,5.0,NIBL,30,30
5,6.0,Siliciler,29,29
6,7.0,Enoughandmore,27,27
7,8.0,T3W,24,24
8,9.0,Vagabonds,23,23
9,10.0,FIRE CLAN,23,23
10,11.0,Quartis,21,21
11,12.0,Acid Papis,19,19
12,13.0,TororosGang,16,16
13,14.0,HunApexPredators,11,11
14,15.0,Triangle Mafia,10,10
15,16.0,n00rmiki,8,8
16,17.0,ENDSARZZ,4,4
