,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,AP,65,65
1,2.0,GIGI,52,52
2,3.0,BCG,43,43
3,4.0,MOB INT,42,42
4,5.0,7Hologram,36,36
5,6.0,SMS,36,36
6,7.0,Royal Mooses,28,28
7,8.0,Excellent Era,22,22
8,9.0,MantaX,16,16
9,10.0,LegitGoats,15,15
10,11.0,Nobody,15,15
11,12.0,Phoenix,14,14
12,13.0,INEX,9,9
13,14.0,47 squad,8,8
14,15.0,TAG,6,6
15,16.0,420SwampWarriors,5,5
16,17.0,Helheim E-sport,5,5
17,18.0,Profi PUPS,5,5
