,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,FV,65,65
1,2.0,MP,50,50
2,3.0,Young Squad,47,47
3,4.0,Uchinix,43,43
4,5.0,ORCL,36,36
5,6.0,ConsoleGamers,35,35
6,7.0,PDPivas,30,30
7,8.0,superdumplings,22,22
8,9.0,Black PENTA,19,19
9,10.0,Gang FDD,17,17
10,11.0,Tania & Friends,15,15
11,12.0,Ghoul-punk,14,14
12,13.0,Gibby Got Cake,14,14
13,14.0,ADNL,11,11
14,15.0,RA9,9,9
15,16.0,TBD,6,6
16,17.0,ODO,3,3
17,18.0,Sussy Bakas,2,2
