,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,NoName,67,67
1,2.0,OG,61,61
2,3.0,Kryptic,38,38
3,4.0,Excellents,29,29
4,5.0,3 Uomini 1 Gamba,24,24
5,6.0,HKE,23,23
6,7.0,BWG,22,22
7,8.0,Vanaheim Gaming,20,20
8,9.0,60fps,19,19
9,10.0,MZY,18,18
10,11.0,Next Gen Esports,16,16
11,12.0,thr33 stack,15,15
12,13.0,Murder De Game,11,11
13,14.0,SinoriaL,9,9
14,15.0,KYKLOS Blue,4,4
15,16.0,FishSticks,3,3
16,17.0,Amaterasu,1,1
17,18.0,Novomatic,0,0
