Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,CLN,82,2,2,12,3,12,3,1,14,2,12,4,11,Lobby 1
2.0,NMS,62,17,3,5,6,1,12,16,3,13,6,3,8,Lobby 1
3.0,TREX,56,3,7,1,11,10,6,18,1,5,5,15,0,Lobby 1
4.0,FV,55,11,0,4,4,11,1,2,7,6,4,1,8,Lobby 1
5.0,OG,48,5,5,6,1,9,9,7,2,7,2,2,5,Lobby 1
6.0,AP,46,14,3,3,6,5,4,8,3,4,4,5,3,Lobby 1
7.0,SAC,39,12,6,20,1,20,0,3,8,3,2,7,4,Lobby 1
8.0,CRAZYx3,37,1,18,19,0,14,1,12,3,16,0,11,0,Lobby 1
9.0,NXB,37,15,0,16,1,3,4,13,1,1,8,9,0,Lobby 1
10.0,DM,32,8,0,2,9,16,0,10,3,12,0,6,3,Lobby 1
11.0,6bnt,27,7,1,9,5,7,2,11,3,10,2,10,1,Lobby 1
12.0,HKE,21,20,0,15,4,15,0,9,1,8,4,8,4,Lobby 1
13.0,plei,17,10,6,13,0,4,2,19,0,14,0,17,0,Lobby 1
14.0,Kamisato,16,19,0,8,2,17,3,6,3,18,0,14,2,Lobby 1
15.0,FC,16,9,0,7,0,6,4,20,0,11,0,12,2,Lobby 1
16.0,AAS,15,6,3,14,1,8,2,17,0,9,1,20,0,Lobby 1
17.0,3turrets1brain,14,16,0,17,0,2,0,5,1,20,0,18,0,Lobby 1
18.0,weeboys,13,13,1,10,2,13,1,14,2,17,1,16,1,Lobby 1
19.0,Young Squad,13,4,0,18,0,18,0,4,1,19,1,13,0,Lobby 1
20.0,Sand Whales,9,18,0,11,0,19,0,15,0,15,3,19,3,Lobby 1
1.0,DI,93,7,1,1,17,7,8,3,13,14,3,2,16,Lobby 2
2.0,TD,74,19,2,7,2,1,14,1,8,10,11,5,4,Lobby 2
3.0,3 Jabronies,59,10,0,3,7,2,8,13,3,1,10,16,0,Lobby 2
4.0,USG,45,11,4,16,1,4,1,2,2,9,0,1,8,Lobby 2
5.0,GOD,43,5,12,5,5,20,0,11,1,11,2,3,6,Lobby 2
6.0,NoFear,40,16,3,14,0,3,6,4,4,3,7,20,0,Lobby 2
7.0,RAT,40,2,6,13,0,5,4,12,3,6,3,6,3,Lobby 2
8.0,ETH,39,1,8,4,3,14,0,16,2,4,1,9,0,Lobby 2
9.0,SMS,36,6,3,8,4,12,3,19,0,5,7,4,4,Lobby 2
10.0,ILL,34,3,2,6,5,11,3,5,3,8,0,8,2,Lobby 2
11.0,Moanerz EU,32,14,0,2,4,10,2,6,8,19,0,17,3,Lobby 2
12.0,3FR,30,4,1,10,2,15,3,14,0,2,5,12,0,Lobby 2
13.0,Dababy,23,18,3,19,0,16,0,7,7,12,4,7,2,Lobby 2
14.0,BCG,19,12,2,9,3,6,3,18,1,15,1,10,0,Lobby 2
15.0,UWU,17,8,5,11,0,13,0,9,1,18,1,11,3,Lobby 2
16.0,SPPI,14,17,0,17,3,8,1,8,2,17,0,13,3,Lobby 2
17.0,60fps,14,15,3,12,0,9,3,17,0,7,0,14,0,Lobby 2
18.0,Explosion,11,13,3,18,0,19,0,10,0,13,3,15,0,Lobby 2
19.0,Mat For Victory,4,9,1,20,0,18,0,15,0,16,0,19,0,Lobby 2
20.0,Lunar,1,20,0,15,0,17,0,20,0,20,0,18,0,Lobby 2
