Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,My Neck My Back,90,14,6,1,13,1,17,1,17
2.0,WASH,59,1,11,3,13,15,3,2,3
3.0,RCO,34,8,1,2,5,10,0,3,8
4.0,GSG,31,12,3,8,4,2,3,6,6
5.0,NM,28,5,8,16,3,5,6,10,1
6.0,LVG,26,6,9,15,1,7,4,8,3
7.0,trippin,25,11,3,6,4,3,5,15,1
8.0,FluidGaming,23,2,6,19,0,11,0,11,6
9.0,Goth Girl TikTok,22,15,5,17,0,4,9,16,2
10.0,New Misfits,19,20,1,4,6,12,4,9,0
11.0,Baguette Babes,19,3,1,14,0,13,1,5,4
12.0,hi rollers,14,9,0,10,5,14,0,7,1
13.0,F451,14,4,1,5,1,6,0,18,0
14.0,trash,12,18,1,7,2,9,1,12,2
15.0,Zest,8,16,1,9,1,20,0,14,3
16.0,MBS,7,10,0,13,0,19,0,13,3
17.0,Peaky Blinders,7,13,0,12,0,17,0,4,0
18.0,LKM,5,17,1,20,0,8,2,20,0
19.0,Alliance Esports,4,7,1,18,0,18,0,19,0
20.0,Them Boiz,1,19,0,11,0,16,0,17,0
