Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K,P,K,P,K,P,K,P,K,MP #
1.0,RID,112,3,6,5,6,3,7,3,15,17,0,6,0,12,2,4,4,6,1,1,12,4
2.0,UNI,106,6,4,3,10,2,8,5,5,3,4,11,0,4,5,17,1,2,4,3,7,4
3.0,Flora,98,1,7,1,8,11,3,12,3,7,1,2,5,6,2,3,5,7,0,9,4,3
4.0,V3,84,14,1,15,0,1,4,1,9,1,10,20,0,2,6,20,0,16,0,5,3,5
5.0,FL,65,10,7,10,0,13,1,13,2,10,3,3,6,8,7,14,0,3,6,14,5,9
6.0,QF,63,18,0,19,2,12,5,4,1,4,5,1,13,10,0,6,3,4,1,16,0,7
7.0,RC,63,4,0,16,1,9,1,10,1,18,3,5,10,17,0,1,11,14,0,8,0,8
8.0,FCD,60,2,14,17,0,17,1,20,1,20,0,13,0,13,4,16,0,1,15,11,1,9
9.0,GTS,57,12,3,9,0,4,1,11,1,5,8,9,3,5,2,5,6,10,5,7,0,9
10.0,RIG-N,56,5,2,6,1,6,3,16,3,14,0,10,6,20,0,9,4,5,8,15,0,9
11.0,GW,52,9,3,12,1,14,0,6,3,2,4,19,1,11,2,11,4,13,5,4,4,10
12.0,CR,50,7,2,7,9,5,8,17,1,9,7,17,3,18,0,18,0,19,0,19,3,10
13.0,IBSG,49,8,3,2,9,10,5,14,0,13,3,15,0,7,0,13,0,11,3,10,0,-
14.0,456,48,11,0,13,3,16,1,7,0,11,2,12,2,1,10,19,0,15,0,6,3,-
15.0,RXC,46,19,0,20,0,15,2,8,9,12,0,7,3,3,12,12,0,9,1,18,2,-
16.0,LAG,39,20,0,4,2,20,0,9,2,8,3,18,0,14,1,2,9,17,3,17,0,-
17.0,FAV,39,13,1,14,5,18,0,18,0,6,1,16,1,15,1,7,4,12,2,2,5,-
18.0,UC,29,15,0,11,0,7,4,15,1,19,0,14,2,9,0,8,2,8,2,12,4,-
19.0,SG,22,16,0,18,0,19,0,2,0,16,1,4,0,16,0,10,3,20,0,13,1,-
20.0,D4RK,12,17,2,8,0,8,0,19,0,15,0,8,0,19,1,15,1,18,0,20,0,-
