Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,BKMN,77,1,9,11,0,6,8,1,13,3,7,11,4
2.0,LAG,72,6,5,1,11,5,3,15,0,2,10,4,9
3.0,IBSG,49,4,2,6,3,7,1,2,7,1,4,17,0
4.0,MTR,48,11,3,10,2,8,4,8,0,9,5,1,13
5.0,APXRS,45,5,5,9,1,14,3,7,6,5,12,16,4
6.0,ScL,42,2,6,3,5,19,0,3,1,8,0,5,1
7.0,456,38,13,9,18,3,16,3,5,4,18,0,2,5
8.0,Serpens,38,9,3,5,5,9,0,18,1,4,4,3,5
9.0,GEMI,34,19,0,4,8,3,6,11,0,17,0,7,4
10.0,Servelal alpha,34,18,0,7,2,4,1,4,9,10,3,9,2
11.0,SyS,34,8,0,13,0,2,11,9,0,7,4,8,0
12.0,Joel Mark,31,17,0,2,9,20,0,6,4,13,0,15,4
13.0,AVA,30,16,0,17,0,1,11,13,2,16,1,14,2
14.0,GW,26,3,5,12,0,18,1,17,4,15,6,13,0
15.0,Crest,21,20,1,8,3,13,3,14,5,11,1,19,3
16.0,3DONE,16,10,9,19,0,17,0,16,0,19,0,6,2
17.0,BeastMode,13,7,1,14,3,12,2,20,0,20,0,12,1
18.0,YaBaL,12,14,0,15,0,11,1,10,1,6,0,10,0
19.0,WYV,9,15,1,16,3,10,0,12,0,12,0,20,0
20.0,REAH,4,12,0,20,0,15,0,19,0,14,0,18,1
