Standings,Team.1,Total,Lobby,Round
5.0,Team Name,35,Lobby 14,Round_2
6.0,UNDD,29,Lobby 14,Round_2
7.0,TeamDreams,23,Lobby 14,Round_2
8.0,JOYBOYS,23,Lobby 14,Round_2
9.0,Plimbo,20,Lobby 14,Round_2
10.0,Wonderboys,18,Lobby 14,Round_2
11.0,NOXIOUS,18,Lobby 14,Round_2
12.0,PradoHouseCigar,18,Lobby 14,Round_2
13.0,Buds and Beer,17,Lobby 14,Round_2
14.0,Iron Giant,14,Lobby 14,Round_2
15.0,DarkRoyalNation,13,Lobby 14,Round_2
16.0,Evil Eye,10,Lobby 14,Round_2
17.0,Miso Hate Club,3,Lobby 14,Round_2
18.0,Spacelanders,2,Lobby 14,Round_2
19.0,Just The Boys,2,Lobby 14,Round_2
20.0,TAT,1,Lobby 14,Round_2
1.0,Jacked and Tan,106,Lobby 15,Round_2
2.0,UORG,47,Lobby 15,Round_2
3.0,GearsKidsonApex,31,Lobby 15,Round_2
4.0,MoJo,29,Lobby 15,Round_2
5.0,Specter,29,Lobby 15,Round_2
6.0,Raised By Wolves,23,Lobby 15,Round_2
7.0,Black Panthers,22,Lobby 15,Round_2
8.0,Elation Esports,22,Lobby 15,Round_2
9.0,G7 Legends,18,Lobby 15,Round_2
10.0,WPH,18,Lobby 15,Round_2
11.0,4 Told,17,Lobby 15,Round_2
12.0,Onyx,17,Lobby 15,Round_2
13.0,Chefs,14,Lobby 15,Round_2
14.0,MoonStone,9,Lobby 15,Round_2
15.0,CastAways,6,Lobby 15,Round_2
16.0,Sopa de Mancos,5,Lobby 15,Round_2
17.0,SolarImpact,2,Lobby 15,Round_2
18.0,BobaBallers,2,Lobby 15,Round_2
19.0,Lights Out,0,Lobby 15,Round_2
20.0,TTN ALPHA,0,Lobby 15,Round_2
1.0,Unsigned Talent,73,Lobby 16,Round_2
2.0,OrgSignUs,46,Lobby 16,Round_2
3.0,SUP,44,Lobby 16,Round_2
4.0,IFE,41,Lobby 16,Round_2
5.0,BAD,37,Lobby 16,Round_2
6.0,C K 8,25,Lobby 16,Round_2
7.0,VHS,21,Lobby 16,Round_2
8.0,Blood Sport,21,Lobby 16,Round_2
9.0,Intertainers,20,Lobby 16,Round_2
10.0,Adonitology,20,Lobby 16,Round_2
11.0,Dee Em Zee,18,Lobby 16,Round_2
12.0,Global,17,Lobby 16,Round_2
13.0,Yuzu Dog,14,Lobby 16,Round_2
14.0,Devils x Death,8,Lobby 16,Round_2
15.0,Baecation,8,Lobby 16,Round_2
16.0,El Sindicato,6,Lobby 16,Round_2
17.0,Shadow IllusionZ,6,Lobby 16,Round_2
18.0,Silhouette,5,Lobby 16,Round_2
19.0,Aim Botz,3,Lobby 16,Round_2
20.0,Solus,0,Lobby 16,Round_2
1.0,BW,92,Lobby 1,Round_2
2.0,Spooky Scary,49,Lobby 1,Round_2
3.0,OA,43,Lobby 1,Round_2
4.0,CLX,38,Lobby 1,Round_2
5.0,Insane Xboxsers,32,Lobby 1,Round_2
6.0,The Not Squad,31,Lobby 1,Round_2
7.0,RCO,24,Lobby 1,Round_2
8.0,PWM,22,Lobby 1,Round_2
9.0,Bot Squad,20,Lobby 1,Round_2
10.0,TEAM Workaholics,18,Lobby 1,Round_2
11.0,Team Animo,13,Lobby 1,Round_2
12.0,6ide,11,Lobby 1,Round_2
13.0,Ampedant,8,Lobby 1,Round_2
14.0,JustSomeNewGuys,7,Lobby 1,Round_2
15.0,ParkingLotBirds,7,Lobby 1,Round_2
16.0,Chud Bungus,3,Lobby 1,Round_2
17.0,HololiveDXD,3,Lobby 1,Round_2
18.0,Azakana,2,Lobby 1,Round_2
19.0,Team Shadow Wolf,1,Lobby 1,Round_2
20.0,KingsVictoryClub,0,Lobby 1,Round_2
1.0,DNO,123,Lobby 2,Round_2
2.0,ING,49,Lobby 2,Round_2
3.0,2Sticks1Musician,40,Lobby 2,Round_2
4.0,Hooiya,30,Lobby 2,Round_2
5.0,ROT,23,Lobby 2,Round_2
6.0,Controller Bots,20,Lobby 2,Round_2
7.0,TOAOS GG,20,Lobby 2,Round_2
8.0,Apex orphans,15,Lobby 2,Round_2
9.0,Hardstuck10k,14,Lobby 2,Round_2
10.0,Nobody,13,Lobby 2,Round_2
11.0,Tokyo manji,12,Lobby 2,Round_2
12.0,Shadow Point,12,Lobby 2,Round_2
13.0,XcellentEra,12,Lobby 2,Round_2
14.0,Kaen Esports,10,Lobby 2,Round_2
15.0,Bull Gang,10,Lobby 2,Round_2
16.0,The Monke Men,9,Lobby 2,Round_2
17.0,Kox Gaming,9,Lobby 2,Round_2
18.0,Monke Mode 3B,9,Lobby 2,Round_2
19.0,UBC Blue,1,Lobby 2,Round_2
20.0,Forever Gaming,1,Lobby 2,Round_2
1.0,SMP,111,Lobby 3,Round_2
2.0,Hi,33,Lobby 3,Round_2
3.0,Team Asesinos,29,Lobby 3,Round_2
4.0,SQS Gaming,25,Lobby 3,Round_2
5.0,Dumpsters,24,Lobby 3,Round_2
6.0,WeBall,23,Lobby 3,Round_2
7.0,High Dexterity,22,Lobby 3,Round_2
8.0,Team Pepinito,21,Lobby 3,Round_2
9.0,AGL,21,Lobby 3,Round_2
10.0,We Lose,19,Lobby 3,Round_2
11.0,Sleepy Hut,18,Lobby 3,Round_2
12.0,Pipeliners,17,Lobby 3,Round_2
13.0,SW,16,Lobby 3,Round_2
14.0,Selfish Team,15,Lobby 3,Round_2
15.0,KDT,12,Lobby 3,Round_2
16.0,TS,10,Lobby 3,Round_2
17.0,The Loud Boys,9,Lobby 3,Round_2
18.0,Fallen Legacy,5,Lobby 3,Round_2
19.0,Insurgents,4,Lobby 3,Round_2
20.0,MEAL Team 6,0,Lobby 3,Round_2
1.0,SXG,69,Lobby 4,Round_2
2.0,My Neck My Back,53,Lobby 4,Round_2
3.0,NBL,46,Lobby 4,Round_2
4.0,AGLY,32,Lobby 4,Round_2
5.0,Team Sanitizer,30,Lobby 4,Round_2
6.0,gibbyhands,23,Lobby 4,Round_2
7.0,On They Ayy,23,Lobby 4,Round_2
8.0,The Semi Pros,23,Lobby 4,Round_2
9.0,SBD,22,Lobby 4,Round_2
10.0,Titanes,20,Lobby 4,Round_2
11.0,Phantom Troupe,19,Lobby 4,Round_2
12.0,CGG,17,Lobby 4,Round_2
13.0,Dream,13,Lobby 4,Round_2
14.0,LadyandTheTramps,13,Lobby 4,Round_2
15.0,Bloodline,10,Lobby 4,Round_2
16.0,StepBros,7,Lobby 4,Round_2
17.0,Faithwithhope,7,Lobby 4,Round_2
18.0,Alfa Lobo,6,Lobby 4,Round_2
19.0,Apex Quarentine,1,Lobby 4,Round_2
20.0,Oasis,0,Lobby 4,Round_2
1.0,AST,124,Lobby 5,Round_2
2.0,Onyx,43,Lobby 5,Round_2
3.0,xD,40,Lobby 5,Round_2
4.0,LVG,39,Lobby 5,Round_2
5.0,CC,27,Lobby 5,Round_2
6.0,Dawn of Legends,23,Lobby 5,Round_2
7.0,BRONZELASTSEASON,21,Lobby 5,Round_2
8.0,Kraken,16,Lobby 5,Round_2
9.0,Aim Assist GG,15,Lobby 5,Round_2
10.0,Inglorious,15,Lobby 5,Round_2
11.0,Good Vibes,14,Lobby 5,Round_2
12.0,Lunas Superiores,12,Lobby 5,Round_2
13.0,Net,12,Lobby 5,Round_2
14.0,Poutine Taco,10,Lobby 5,Round_2
15.0,True SightENT,9,Lobby 5,Round_2
16.0,Washed Bois,8,Lobby 5,Round_2
17.0,Conquest Gaming,6,Lobby 5,Round_2
18.0,UMBC Retrievers,6,Lobby 5,Round_2
19.0,Jump out boys,3,Lobby 5,Round_2
20.0,Vendetta,1,Lobby 5,Round_2
1.0,Never Lucky,67,Lobby 6,Round_2
2.0,O TAMA,55,Lobby 6,Round_2
3.0,LZR,52,Lobby 6,Round_2
4.0,SLS,40,Lobby 6,Round_2
5.0,Undisputed,33,Lobby 6,Round_2
6.0,SDO,30,Lobby 6,Round_2
7.0,Siracha,28,Lobby 6,Round_2
8.0,Meow Syndicate,21,Lobby 6,Round_2
9.0,IntentionalWhite,18,Lobby 6,Round_2
10.0,The Fudges,14,Lobby 6,Round_2
11.0,CVS,14,Lobby 6,Round_2
12.0,Gryphon Gaming,11,Lobby 6,Round_2
13.0,Gods Plan Gaming,10,Lobby 6,Round_2
14.0,DeGents,6,Lobby 6,Round_2
15.0,Team Possessed,5,Lobby 6,Round_2
16.0,He’s One Shot,5,Lobby 6,Round_2
17.0,WiseGuyz,1,Lobby 6,Round_2
18.0,Club Cobra,0,Lobby 6,Round_2
19.0,GPS,0,Lobby 6,Round_2
20.0,BrownieBoys,0,Lobby 6,Round_2
1.0,BP,81,Lobby 7,Round_2
2.0,Dexterous,55,Lobby 7,Round_2
3.0,TRP,49,Lobby 7,Round_2
4.0,Vandals,42,Lobby 7,Round_2
5.0,Pickles,40,Lobby 7,Round_2
6.0,TGJ,30,Lobby 7,Round_2
7.0,Passivaggressive,18,Lobby 7,Round_2
8.0,zyn,16,Lobby 7,Round_2
9.0,TiTanes Cronos,15,Lobby 7,Round_2
10.0,Nest,11,Lobby 7,Round_2
11.0,GBK DK’s,10,Lobby 7,Round_2
12.0,MT Heads,10,Lobby 7,Round_2
13.0,Bandits,9,Lobby 7,Round_2
14.0,TexasRatsnakes,9,Lobby 7,Round_2
15.0,TropicAlone 🍍,6,Lobby 7,Round_2
16.0,Possibility,5,Lobby 7,Round_2
17.0,Stars Raws,4,Lobby 7,Round_2
18.0,GIBRAWLERS,2,Lobby 7,Round_2
19.0,Whoms'tve Thiccs,0,Lobby 7,Round_2
20.0,Abbys Sports,0,Lobby 7,Round_2
1.0,YouLikeThatMate?,108,Lobby 8,Round_2
2.0,4Fun,47,Lobby 8,Round_2
3.0,"You stay, I go",44,Lobby 8,Round_2
4.0,BBJ,38,Lobby 8,Round_2
5.0,ASE,32,Lobby 8,Round_2
6.0,LMX,29,Lobby 8,Round_2
7.0,LuxuryRose,22,Lobby 8,Round_2
8.0,CatDog,22,Lobby 8,Round_2
9.0,JustSomeWarriors,18,Lobby 8,Round_2
10.0,oni,17,Lobby 8,Round_2
11.0,Unlucky Players,14,Lobby 8,Round_2
12.0,Buck Town Squad,9,Lobby 8,Round_2
13.0,InevitableGaming,7,Lobby 8,Round_2
14.0,H4GAMING,7,Lobby 8,Round_2
15.0,Mexican Demons,6,Lobby 8,Round_2
16.0,The Stinkies,6,Lobby 8,Round_2
17.0,Anger Of Nubs,5,Lobby 8,Round_2
18.0,Eleventh Squad,4,Lobby 8,Round_2
19.0,Hardstuck Plat,2,Lobby 8,Round_2
20.0,All The Smoke,0,Lobby 8,Round_2
1.0,MOAN,84,Lobby 9,Round_2
2.0,Aisle 5,56,Lobby 9,Round_2
3.0,ZERO,41,Lobby 9,Round_2
4.0,BQB,40,Lobby 9,Round_2
5.0,NightMare Red,35,Lobby 9,Round_2
6.0,Coconut Island,31,Lobby 9,Round_2
7.0,Lorax,25,Lobby 9,Round_2
8.0,Exoterran Y,21,Lobby 9,Round_2
9.0,Savage Misfits,17,Lobby 9,Round_2
10.0,Alliance Esports,16,Lobby 9,Round_2
11.0,Razer 3dge Black,10,Lobby 9,Round_2
12.0,AEG Esports,10,Lobby 9,Round_2
13.0,Vertic,10,Lobby 9,Round_2
14.0,L1FT,10,Lobby 9,Round_2
15.0,OnTheRocks,9,Lobby 9,Round_2
16.0,Swagnificent,9,Lobby 9,Round_2
17.0,Deathbox Hunters,7,Lobby 9,Round_2
18.0,Audio Visual,6,Lobby 9,Round_2
19.0,Sokudo Plus,5,Lobby 9,Round_2
20.0,Koatl esports,3,Lobby 9,Round_2
1.0,DNO,121,Lobby 1,Round_3
2.0,ROT,35,Lobby 1,Round_3
3.0,CLX,32,Lobby 1,Round_3
4.0,OA,32,Lobby 1,Round_3
5.0,RCO,28,Lobby 1,Round_3
6.0,Hooiya,27,Lobby 1,Round_3
7.0,Hardstuck10k,27,Lobby 1,Round_3
8.0,Spooky Scary,24,Lobby 1,Round_3
9.0,Insane Xboxsers,19,Lobby 1,Round_3
10.0,BW,16,Lobby 1,Round_3
11.0,TOAOS GG,15,Lobby 1,Round_3
12.0,The Not Squad,13,Lobby 1,Round_3
13.0,ING,12,Lobby 1,Round_3
14.0,Controller Bots,9,Lobby 1,Round_3
15.0,PWM,9,Lobby 1,Round_3
16.0,Apex orphans,3,Lobby 1,Round_3
17.0,TEAM Workaholics,3,Lobby 1,Round_3
18.0,Nobody,1,Lobby 1,Round_3
19.0,Bot Squad,1,Lobby 1,Round_3
20.0,2Sticks1Musician,0,Lobby 1,Round_3
1.0,My Neck My Back,62,Lobby 2,Round_3
2.0,Dumpsters,52,Lobby 2,Round_3
3.0,NBL,51,Lobby 2,Round_3
4.0,SXG,42,Lobby 2,Round_3
5.0,AGL,34,Lobby 2,Round_3
6.0,SMP,32,Lobby 2,Round_3
7.0,gibbyhands,30,Lobby 2,Round_3
8.0,Titanes,23,Lobby 2,Round_3
9.0,SQS Gaming,19,Lobby 2,Round_3
10.0,The Semi Pros,16,Lobby 2,Round_3
11.0,SBD,15,Lobby 2,Round_3
12.0,AGLY,13,Lobby 2,Round_3
13.0,Team Asesinos,12,Lobby 2,Round_3
14.0,On They Ayy,8,Lobby 2,Round_3
15.0,High Dexterity,7,Lobby 2,Round_3
16.0,Team Sanitizer,5,Lobby 2,Round_3
17.0,WeBall,5,Lobby 2,Round_3
18.0,Hi,5,Lobby 2,Round_3
19.0,We Lose,3,Lobby 2,Round_3
20.0,Team Pepinito,1,Lobby 2,Round_3
1.0,Never Lucky,54,Lobby 3,Round_3
2.0,xD,43,Lobby 3,Round_3
3.0,SDO,39,Lobby 3,Round_3
4.0,Meow Syndicate,38,Lobby 3,Round_3
5.0,AST,36,Lobby 3,Round_3
6.0,Onyx,32,Lobby 3,Round_3
7.0,Undisputed,31,Lobby 3,Round_3
8.0,LVG,30,Lobby 3,Round_3
9.0,LZR,29,Lobby 3,Round_3
10.0,CC,29,Lobby 3,Round_3
11.0,Siracha,22,Lobby 3,Round_3
12.0,O TAMA,16,Lobby 3,Round_3
13.0,SLS,16,Lobby 3,Round_3
14.0,CVS,14,Lobby 3,Round_3
15.0,BRONZELASTSEASON,5,Lobby 3,Round_3
16.0,Inglorious,3,Lobby 3,Round_3
17.0,Aim Assist GG,3,Lobby 3,Round_3
18.0,Kraken,3,Lobby 3,Round_3
19.0,IntentionalWhite,1,Lobby 3,Round_3
20.0,Dawn of Legends,0,Lobby 3,Round_3
1.0,YouLikeThatMate?,96,Lobby 4,Round_3
2.0,LMX,57,Lobby 4,Round_3
3.0,BP,35,Lobby 4,Round_3
4.0,Nest,32,Lobby 4,Round_3
5.0,oni,29,Lobby 4,Round_3
6.0,JustSomeWarriors,24,Lobby 4,Round_3
7.0,Dexterous,22,Lobby 4,Round_3
8.0,Vandals,21,Lobby 4,Round_3
9.0,Pickles,19,Lobby 4,Round_3
10.0,BBJ,18,Lobby 4,Round_3
11.0,CatDog,16,Lobby 4,Round_3
12.0,"You stay, I go",14,Lobby 4,Round_3
13.0,LuxuryRose,14,Lobby 4,Round_3
14.0,ASE,12,Lobby 4,Round_3
15.0,4Fun,9,Lobby 4,Round_3
16.0,TRP,8,Lobby 4,Round_3
17.0,TiTanes Cronos,8,Lobby 4,Round_3
18.0,Passivaggressive,7,Lobby 4,Round_3
19.0,TGJ,7,Lobby 4,Round_3
20.0,zyn,4,Lobby 4,Round_3
1.0,Sniper Meta,55,Lobby 5,Round_3
2.0,ZERO,45,Lobby 5,Round_3
3.0,MOAN,43,Lobby 5,Round_3
4.0,EST,36,Lobby 5,Round_3
5.0,Aisle 5,34,Lobby 5,Round_3
6.0,BQB,33,Lobby 5,Round_3
7.0,NM,25,Lobby 5,Round_3
8.0,Tijuana Piranas,24,Lobby 5,Round_3
9.0,1 vs Lobby,23,Lobby 5,Round_3
10.0,Coconut Island,21,Lobby 5,Round_3
11.0,2 Zoomers1boomer,21,Lobby 5,Round_3
12.0,The Big 3,20,Lobby 5,Round_3
13.0,NVKT,20,Lobby 5,Round_3
14.0,NightMare Red,12,Lobby 5,Round_3
15.0,Distruttori Team,10,Lobby 5,Round_3
16.0,Lorax,9,Lobby 5,Round_3
17.0,Alliance Esports,8,Lobby 5,Round_3
18.0,Exoterran Y,6,Lobby 5,Round_3
19.0,MAP,2,Lobby 5,Round_3
20.0,Savage Misfits,0,Lobby 5,Round_3
1.0,Sussy Bakas,78,Lobby 6,Round_3
2.0,NEAN,54,Lobby 6,Round_3
3.0,TPM,43,Lobby 6,Round_3
4.0,AM,34,Lobby 6,Round_3
5.0,Unlucky,32,Lobby 6,Round_3
6.0,RT,28,Lobby 6,Round_3
7.0,LF,25,Lobby 6,Round_3
8.0,FROG,24,Lobby 6,Round_3
9.0,Los Hefes,23,Lobby 6,Round_3
10.0,GNR,21,Lobby 6,Round_3
11.0,En corto Garmers,17,Lobby 6,Round_3
12.0,JIN,16,Lobby 6,Round_3
13.0,TAG NA,15,Lobby 6,Round_3
14.0,trippinoncables,9,Lobby 6,Round_3
15.0,Dunk Squad,9,Lobby 6,Round_3
16.0,Laggy 'n Rollers,8,Lobby 6,Round_3
17.0,Shibby,6,Lobby 6,Round_3
18.0,Swanky Boys,4,Lobby 6,Round_3
19.0,Lethal Villains,4,Lobby 6,Round_3
20.0,Corruption,2,Lobby 6,Round_3
1.0,2B1C,80,Lobby 7,Round_3
2.0,Content Squad,57,Lobby 7,Round_3
3.0,Dark Matter,36,Lobby 7,Round_3
4.0,Yess,30,Lobby 7,Round_3
5.0,LNT,30,Lobby 7,Round_3
6.0,WASH,29,Lobby 7,Round_3
7.0,BOT,25,Lobby 7,Round_3
8.0,Filii Martis,24,Lobby 7,Round_3
9.0,pub stars,22,Lobby 7,Round_3
10.0,Wonderboys,20,Lobby 7,Round_3
11.0,JOYBOYS,18,Lobby 7,Round_3
12.0,Blockbuster,16,Lobby 7,Round_3
13.0,ForcesGG,14,Lobby 7,Round_3
14.0,Plimbo,12,Lobby 7,Round_3
15.0,Movement Temple,11,Lobby 7,Round_3
16.0,RISK,10,Lobby 7,Round_3
17.0,TeamDreams,5,Lobby 7,Round_3
18.0,UNDD,4,Lobby 7,Round_3
19.0,Hold The Door,3,Lobby 7,Round_3
20.0,Team Name,1,Lobby 7,Round_3
1.0,SUP,81,Lobby 8,Round_3
2.0,BAD,58,Lobby 8,Round_3
3.0,Unsigned Talent,55,Lobby 8,Round_3
4.0,OrgSignUs,27,Lobby 8,Round_3
5.0,IFE,26,Lobby 8,Round_3
6.0,Specter,24,Lobby 8,Round_3
7.0,MoJo,23,Lobby 8,Round_3
8.0,Blood Sport,23,Lobby 8,Round_3
9.0,Raised By Wolves,21,Lobby 8,Round_3
10.0,UORG,21,Lobby 8,Round_3
11.0,GearsKidsonApex,21,Lobby 8,Round_3
12.0,Jacked & Tan,21,Lobby 8,Round_3
13.0,C K 8,17,Lobby 8,Round_3
14.0,Black Panthers,14,Lobby 8,Round_3
15.0,VHS,9,Lobby 8,Round_3
16.0,Intertainers,4,Lobby 8,Round_3
17.0,G7 Legends,2,Lobby 8,Round_3
18.0,WPH,2,Lobby 8,Round_3
19.0,Elation Esports,1,Lobby 8,Round_3
20.0,Adonitology,0,Lobby 8,Round_3
