Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
1.0,DNO,63,10,8,3,5,4,10,1,14,Lobby 1,Quarterfinals,,,,
2.0,NBL,44,5,6,18,0,1,9,2,4,Lobby 1,Quarterfinals,,,,
3.0,BW,42,7,4,1,9,11,1,4,7,Lobby 1,Quarterfinals,,,,
4.0,The Semi Pros,35,2,8,12,6,17,0,3,4,Lobby 1,Quarterfinals,,,,
5.0,OA,34,8,0,5,5,2,7,9,5,Lobby 1,Quarterfinals,,,,
6.0,SMP,30,3,8,11,1,3,2,6,1,Lobby 1,Quarterfinals,,,,
7.0,CLX,24,15,5,6,4,9,5,14,3,Lobby 1,Quarterfinals,,,,
8.0,Titanes,24,1,4,16,0,5,2,10,0,Lobby 1,Quarterfinals,,,,
9.0,SXG,21,16,0,2,7,13,2,12,1,Lobby 1,Quarterfinals,,,,
10.0,Hooiya,20,19,2,8,1,6,3,5,5,Lobby 1,Quarterfinals,,,,
11.0,My Neck My Back,19,4,7,4,1,15,0,19,0,Lobby 1,Quarterfinals,,,,
12.0,ROT,15,13,0,7,2,12,1,13,6,Lobby 1,Quarterfinals,,,,
13.0,RCO,15,6,1,9,3,14,2,7,0,Lobby 1,Quarterfinals,,,,
14.0,gibbyhands,14,11,0,13,0,7,6,8,1,Lobby 1,Quarterfinals,,,,
15.0,Hardstuck10k,9,9,0,19,0,8,1,11,3,Lobby 1,Quarterfinals,,,,
16.0,Spooky Scary,4,12,1,15,0,19,1,16,0,Lobby 1,Quarterfinals,,,,
17.0,SQS Gaming,4,14,0,14,0,10,0,18,0,Lobby 1,Quarterfinals,,,,
18.0,Insane Xboxsers,3,17,0,10,0,16,0,15,0,Lobby 1,Quarterfinals,,,,
19.0,Dumpsters,2,18,0,17,2,18,0,17,0,Lobby 1,Quarterfinals,,,,
20.0,AGL,0,20,0,20,0,20,0,20,0,Lobby 1,Quarterfinals,,,,
1.0,YouLikeThatMate?,50,1,17,2,10,12,1,19,0,Lobby 2,Quarterfinals,,,,
2.0,BP,48,11,3,1,10,8,13,10,5,Lobby 2,Quarterfinals,,,,
3.0,LMX,44,4,3,5,7,17,1,1,12,Lobby 2,Quarterfinals,,,,
4.0,Dexterous,33,3,8,20,0,2,6,14,2,Lobby 2,Quarterfinals,,,,
5.0,LZR,33,12,0,4,5,1,9,13,0,Lobby 2,Quarterfinals,,,,
6.0,xD,29,18,0,6,12,7,0,4,6,Lobby 2,Quarterfinals,,,,
7.0,LVG,29,2,10,15,3,13,1,6,1,Lobby 2,Quarterfinals,,,,
8.0,Never Lucky,24,7,5,11,1,6,5,12,5,Lobby 2,Quarterfinals,,,,
9.0,CC,24,10,1,7,0,10,0,2,7,Lobby 2,Quarterfinals,,,,
10.0,Vandals,22,13,1,12,2,18,1,3,9,Lobby 2,Quarterfinals,,,,
11.0,Undisputed,20,14,2,14,0,3,8,17,1,Lobby 2,Quarterfinals,,,,
12.0,AST,18,9,4,9,7,11,0,15,1,Lobby 2,Quarterfinals,,,,
13.0,Meow Syndicate,17,16,0,3,2,16,0,5,4,Lobby 2,Quarterfinals,,,,
14.0,4Fun,13,8,2,18,0,4,4,16,0,Lobby 2,Quarterfinals,,,,
15.0,oni,12,6,0,10,0,9,5,18,0,Lobby 2,Quarterfinals,,,,
16.0,Onyx,9,15,0,16,0,5,3,11,0,Lobby 2,Quarterfinals,,,,
17.0,Nest,7,17,1,17,0,20,0,8,4,Lobby 2,Quarterfinals,,,,
18.0,JustSomeWarriors,7,19,1,8,0,15,0,9,1,Lobby 2,Quarterfinals,,,,
19.0,SDO,7,20,0,13,0,14,1,7,1,Lobby 2,Quarterfinals,,,,
20.0,Pickles,6,5,2,19,0,19,0,20,0,Lobby 2,Quarterfinals,,,,
1.0,AM,62,14,1,9,8,2,16,1,13,Lobby 3,Quarterfinals,,,,
2.0,EST,45,9,2,3,11,1,6,9,3,Lobby 3,Quarterfinals,,,,
3.0,LF,39,2,4,5,3,4,7,6,4,Lobby 3,Quarterfinals,,,,
4.0,RT,37,1,9,15,2,3,4,14,1,Lobby 3,Quarterfinals,,,,
5.0,NEAN,30,3,10,18,0,8,3,4,3,Lobby 3,Quarterfinals,,,,
