A vs B StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,456,63,1,11,17,0,10,1,2,10,20,1,3,10
2.0,RC,54,2,7,13,1,1,15,19,0,19,2,7,4
3.0,A2,50,6,7,2,13,17,0,7,1,5,4,8,4
4.0,FL,46,11,2,15,2,7,4,14,4,9,4,1,10
5.0,RID,46,14,2,5,0,12,0,4,4,1,9,9,6
6.0,CR,38,9,0,18,2,5,10,3,5,12,2,13,4
7.0,UC,37,16,1,6,2,18,0,6,4,2,10,5,1
8.0,BKMN,37,15,1,7,3,8,1,1,7,7,2,16,2
9.0,NTH,37,4,2,4,3,14,2,15,3,3,3,6,2
10.0,MTR,33,3,6,10,0,6,1,5,8,10,0,20,0
11.0,FAV,32,10,3,16,1,2,11,11,2,14,2,18,0
12.0,BKGK,30,18,0,1,6,15,1,17,0,15,1,4,3
13.0,ENG,29,12,1,9,3,3,4,16,0,4,5,14,0
14.0,LDN,28,13,1,3,3,11,0,10,1,18,2,2,1
15.0,RPG,28,5,4,11,7,4,4,20,0,8,1,19,0
16.0,HE,22,8,5,19,0,16,3,8,1,6,3,10,1
17.0,TW,18,17,0,8,3,19,0,9,5,11,0,11,4
18.0,FSV,18,7,2,20,0,20,0,13,4,13,5,15,1
19.0,SG,12,20,0,14,2,9,0,12,3,17,0,17,3
20.0,Ace1,10,19,0,12,3,13,4,18,0,16,0,12,0
