B vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,RC,78,12,1,1,13,5,5,5,3,1,11,2,3
2.0,UNI,62,3,8,18,0,1,9,4,2,7,4,3,5
3.0,IBSG,57,11,3,13,4,4,10,1,14,11,0,10,4
4.0,USG,53,1,5,16,0,14,1,15,2,3,3,1,9
5.0,LDN,43,9,4,8,8,3,7,12,2,6,6,12,0
6.0,SG,43,10,1,5,1,13,5,9,3,2,7,4,3
7.0,CJAM,40,2,7,17,1,8,1,2,4,20,0,5,3
8.0,FL,35,14,1,4,3,15,1,7,2,4,10,17,3
9.0,NTH,31,18,1,19,4,10,7,14,3,15,2,9,8
10.0,DTN,31,4,9,12,1,20,0,13,3,13,3,6,4
11.0,RZ,30,16,0,11,3,2,5,8,3,14,0,8,4
12.0,APXRS,25,6,4,6,0,6,3,10,2,18,0,15,4
13.0,Flora,24,13,1,10,1,9,0,3,5,10,2,13,0
14.0,RXC,23,7,5,2,3,11,0,11,0,17,0,14,0
15.0,BKGK,21,19,1,7,4,19,0,6,3,16,2,7,2
16.0,Ace1,18,15,0,3,2,7,1,18,0,9,0,19,2
17.0,TW,17,20,0,14,3,17,0,20,0,5,9,18,0
18.0,Marine,11,8,1,20,0,16,0,19,2,19,1,11,4
19.0,LFO,11,17,3,9,1,18,0,16,2,8,1,20,0
20.0,RPG,10,5,2,15,0,12,1,17,0,12,0,16,0
