A vs C StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,RIG-N,80,4,10,2,6,5,6,1,9,3,6,4,1
2.0,RID,60,6,2,7,8,1,17,14,5,11,3,8,3
3.0,GTS,56,8,2,3,9,2,3,7,0,8,1,1,6
4.0,FAV,45,3,4,9,5,17,2,18,1,1,12,19,0
5.0,V3,45,2,4,8,2,7,3,2,8,15,3,11,0
6.0,CR,43,1,11,16,3,11,1,19,0,17,0,2,6
7.0,MTR,38,5,6,5,1,3,2,13,1,7,5,13,3
8.0,ORF,37,11,0,1,11,4,2,10,0,9,1,12,0
9.0,FCD,36,19,3,19,1,16,2,11,2,2,11,10,5
10.0,G8S,33,12,0,12,0,14,0,3,7,4,4,3,0
11.0,UC,32,13,2,6,0,12,1,8,1,13,5,6,12
12.0,FSV,31,20,1,10,2,10,5,16,1,10,3,7,10
13.0,456,24,16,1,13,3,15,3,6,3,6,2,9,2
14.0,A2,22,18,0,17,0,13,0,5,5,19,0,5,8
15.0,BKMN,22,10,2,18,0,6,3,4,6,12,0,18,0
16.0,D4RK,14,15,2,4,2,19,2,17,2,16,0,20,0
17.0,LAG,13,9,2,20,0,20,0,20,0,5,1,15,3
18.0,SYTH,13,7,3,11,0,8,2,12,0,20,0,14,0
19.0,AVA,12,14,1,15,3,9,0,15,1,14,1,17,0
20.0,ENG,8,17,0,14,0,18,0,9,5,18,0,16,0
