C vs D StandingsPlacements and killsPoints,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
,FL,35,14,1,4,3,15,1,7,2,4,10,17,3,Round 11
,NTH,31,18,1,19,4,10,7,14,3,15,2,9,8,Round 11
,DTN,31,4,9,12,1,20,0,13,3,13,3,6,4,Round 11
,RZ,30,16,0,11,3,2,5,8,3,14,0,8,4,Round 11
,APXRS,25,6,4,6,0,6,3,10,2,18,0,15,4,Round 11
,Flora,24,13,1,10,1,9,0,3,5,10,2,13,0,Round 11
,RXC,23,7,5,2,3,11,0,11,0,17,0,14,0,Round 11
,BKGK,21,19,1,7,4,19,0,6,3,16,2,7,2,Round 11
,Ace1,18,15,0,3,2,7,1,18,0,9,0,19,2,Round 11
,TW,17,20,0,14,3,17,0,20,0,5,9,18,0,Round 11
,Marine,11,8,1,20,0,16,0,19,2,19,1,11,4,Round 11
,LFO,11,17,3,9,1,18,0,16,2,8,1,20,0,Round 11
,RPG,10,5,2,15,0,12,1,17,0,12,0,16,0,Round 11
,RID,121,9,6,2,13,1,18,1,16,1,18,18,3,Round 12
,RIG-N,54,3,12,8,1,6,3,3,5,12,3,4,5,Round 12
,CR,45,1,8,16,0,2,11,13,0,14,0,16,3,Round 12
,UC,45,19,0,7,2,19,0,12,9,6,7,1,8,Round 12
,FAV,45,6,9,15,3,5,4,9,4,13,5,3,2,Round 12
,MTR,43,5,2,9,0,3,1,6,4,9,3,2,6,Round 12
,GTS,42,8,1,1,10,20,0,16,0,5,2,5,7,Round 12
,V3,41,13,4,12,1,15,4,2,5,7,4,7,5,Round 12
,A2,35,16,0,13,0,17,0,4,5,3,7,8,8,Round 12
,456,30,18,4,11,0,7,6,19,0,2,7,19,0,Round 12
,AVA,28,14,1,4,5,4,2,7,3,8,0,15,0,Round 12
,ORF,25,4,3,3,4,14,0,18,1,18,0,14,3,Round 12
,FSV,24,11,1,5,10,8,4,11,0,19,0,11,0,Round 12
