A vs D StandingsPlacements and killsPoints,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,CR,70,2,6,2,12,12,4,11,0,18,0,1,16
2.0,Flora,55,3,10,15,0,9,10,2,10,14,0,11,4
3.0,456,53,4,3,1,10,5,2,9,0,4,3,6,4
4.0,UNI,50,12,1,6,3,4,9,6,3,1,10,20,0
5.0,APXRS,44,17,0,3,13,3,2,14,0,10,6,9,4
6.0,FAV,44,6,3,14,2,1,5,3,6,9,2,13,0
7.0,RID,43,1,14,8,0,19,1,13,1,6,4,7,2
8.0,BKMN,37,5,2,5,3,11,2,10,10,12,3,10,3
9.0,FSV,34,7,5,13,3,8,1,19,0,5,5,3,3
10.0,Joel Mark,33,20,0,17,0,15,2,1,7,7,5,12,2
11.0,A2,29,11,0,19,0,2,9,18,1,13,4,15,3
12.0,Marine,27,19,0,4,5,14,4,4,2,11,0,14,3
13.0,CJAM,27,14,0,7,1,13,0,8,3,3,3,4,1
14.0,DTN,22,16,5,9,3,18,0,16,6,15,3,18,2
15.0,IBSG,22,9,1,18,0,6,2,17,0,2,5,19,0
16.0,MTR,20,13,0,12,0,10,1,12,0,8,4,5,4
17.0,USG,19,10,0,10,1,7,2,5,2,19,0,8,1
18.0,RXC,18,18,2,20,0,20,0,15,3,17,1,2,2
19.0,UC,13,15,1,11,0,16,3,7,4,16,0,17,0
20.0,ENG,4,8,0,16,0,17,0,20,0,20,1,16,1
