Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,MDY,93,3,9,1,14,11,11,16,0,1,21,15,5,Lobby 1
2.0,MBTN,77,9,0,2,1,1,13,5,1,2,6,1,8,Lobby 1
3.0,SNG,55,19,1,3,8,2,4,2,9,4,0,6,0,Lobby 1
4.0,PWLS,52,6,1,11,1,5,9,9,1,6,5,2,13,Lobby 1
5.0,April,50,12,5,6,6,6,7,7,4,5,2,5,8,Lobby 1
6.0,TX,38,16,3,4,7,17,3,12,3,3,8,13,0,Lobby 1
7.0,Warsoul Hammer,38,11,3,19,0,4,4,1,8,8,3,18,0,Lobby 1
8.0,NaresuanSniper,37,2,9,9,6,15,2,14,3,10,0,16,2,Lobby 1
9.0,HeadHunters,37,1,12,14,2,7,2,15,0,14,2,14,0,Lobby 1
10.0,Pavlova,31,8,0,10,0,19,0,3,6,13,2,4,6,Lobby 1
11.0,IFPD,30,5,4,7,5,14,3,19,0,9,0,10,6,Lobby 1
12.0,RL.IXiA,25,14,3,13,0,8,0,4,8,15,0,12,3,Lobby 1
13.0,4Thumbs1Arm,23,13,0,17,0,18,0,6,2,12,4,3,5,Lobby 1
14.0,WAT,19,7,3,8,4,10,0,17,3,11,0,11,0,Lobby 1
15.0,BOG,16,4,1,15,1,3,0,13,0,18,0,20,0,Lobby 1
16.0,INF,12,15,0,16,0,12,0,10,6,17,0,8,0,Lobby 1
17.0,RJININ,10,10,1,12,0,20,0,8,3,20,1,17,0,Lobby 1
18.0,StrawberryJam,10,18,0,5,2,13,0,18,0,16,0,9,1,Lobby 1
19.0,OGL,10,20,0,20,0,9,0,11,0,7,0,7,1,Lobby 1
20.0,60 Hurtz,0,17,0,18,0,16,0,20,0,19,0,19,0,Lobby 1
1.0,GS,94,3,12,1,9,2,20,13,2,10,8,5,8,Lobby 2
2.0,PG,66,2,4,2,9,6,0,7,2,2,6,2,3,Lobby 2
3.0,DYN,46,9,1,3,4,19,0,1,13,4,0,10,0,Lobby 2
4.0,WGGxPK,44,11,6,15,0,3,7,2,8,19,0,15,4,Lobby 2
5.0,Estrell,44,6,2,10,0,1,5,4,4,15,0,3,3,Lobby 2
6.0,DNZ,43,7,5,19,0,17,0,12,0,1,12,4,5,Lobby 2
7.0,WGG,42,18,1,20,1,4,4,6,13,6,12,18,0,Lobby 2
8.0,AMG TW,42,1,9,4,3,14,1,16,2,7,6,17,0,Lobby 2
9.0,WHIZ,37,19,2,13,3,11,2,9,1,20,0,1,13,Lobby 2
10.0,BTCxWGG,32,10,5,12,6,9,0,18,0,3,6,8,1,Lobby 2
11.0,EVO.Shadow,26,15,0,7,6,10,1,19,0,8,4,12,6,Lobby 2
12.0,DREAM,26,13,1,16,3,8,1,14,2,5,3,6,5,Lobby 2
13.0,QE.NY,25,4,5,6,6,16,0,5,0,14,1,16,0,Lobby 2
14.0,DSG,23,5,3,18,0,7,7,8,3,17,0,13,0,Lobby 2
15.0,Teriyaki Boyz,22,16,0,8,3,15,0,3,5,9,0,14,1,Lobby 2
16.0,Multicultural,16,12,0,5,0,18,1,11,3,12,0,7,2,Lobby 2
17.0,Keep it 100,15,8,2,11,1,5,3,17,0,16,0,9,0,Lobby 2
18.0,EVO BERZ,11,20,0,9,5,13,2,20,0,13,0,19,0,Lobby 2
19.0,September,8,17,0,17,0,12,2,10,0,11,0,11,1,Lobby 2
20.0,Hardstuck D4,4,14,0,14,1,20,0,15,0,18,0,20,0,Lobby 2
