Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Round,Split
1.0,SP,117,8,5,1,13,2,12,1,17,1,14,7,6,Lobby 1,Finals,Split_2
2.0,AIMC,74,7,5,3,13,1,9,8,1,9,1,1,7,Lobby 1,Finals,Split_2
3.0,Os Minhauu,54,2,4,9,6,6,4,7,1,2,4,3,2,Lobby 1,Finals,Split_2
4.0,Mystical,53,9,3,10,8,3,12,3,1,5,2,6,2,Lobby 1,Finals,Split_2
5.0,MAUA,50,3,5,15,4,7,8,20,0,12,4,2,8,Lobby 1,Finals,Split_2
6.0,WTN,44,1,16,5,3,12,0,13,5,14,1,19,0,Lobby 1,Finals,Split_2
7.0,PVP,43,19,1,14,0,16,5,5,13,8,7,12,9,Lobby 1,Finals,Split_2
8.0,OSO,36,13,3,4,5,17,1,9,5,4,9,18,0,Lobby 1,Finals,Split_2
9.0,2k ping,35,5,0,12,0,4,5,6,1,3,3,4,1,Lobby 1,Finals,Split_2
10.0,GOAT,34,10,0,2,2,19,0,2,5,7,0,8,2,Lobby 1,Finals,Split_2
11.0,TVA,24,4,3,6,0,15,1,4,1,17,4,14,0,Lobby 1,Finals,Split_2
12.0,TERM,19,6,3,7,1,9,2,14,2,11,0,15,0,Lobby 1,Finals,Split_2
13.0,HARD,18,12,3,11,2,18,0,17,2,18,0,9,7,Lobby 1,Finals,Split_2
14.0,MALA,12,16,0,16,1,13,0,10,0,10,0,5,2,Lobby 1,Finals,Split_2
15.0,DDS,10,18,0,13,0,14,0,15,0,6,4,16,0,Lobby 1,Finals,Split_2
16.0,NICA,10,17,2,18,0,5,0,12,1,15,0,13,0,Lobby 1,Finals,Split_2
17.0,PNTC,10,15,0,8,0,8,0,16,0,19,0,10,3,Lobby 1,Finals,Split_2
18.0,Tharsis,7,20,0,20,0,20,0,19,0,13,4,11,1,Lobby 1,Finals,Split_2
19.0,RWA,5,14,2,17,0,11,0,18,0,16,1,17,0,Lobby 1,Finals,Split_2
20.0,iNfect,5,11,1,19,0,10,0,11,0,20,0,20,0,Lobby 1,Finals,Split_2
1.0,eGIRLS,79,1,16,6,4,1,9,5,5,4,2,4,2,Lobby 1,Semifinals,Split_2
2.0,DICA,77,4,1,1,3,10,2,1,5,3,5,1,11,Lobby 1,Semifinals,Split_2
3.0,SP,57,7,0,7,2,9,3,8,4,1,18,5,4,Lobby 1,Semifinals,Split_2
4.0,HARD,57,2,6,8,2,7,0,3,8,5,2,2,5,Lobby 1,Semifinals,Split_2
5.0,QUAS,57,6,0,3,5,3,7,2,5,2,2,7,0,Lobby 1,Semifinals,Split_2
6.0,PVP,39,8,2,5,0,2,5,4,0,10,0,3,3,Lobby 1,Semifinals,Split_2
7.0,Tharsis,32,9,4,2,8,8,0,7,0,9,0,10,0,Lobby 1,Semifinals,Split_2
8.0,TERM,25,5,2,4,3,5,0,9,0,7,0,8,0,Lobby 1,Semifinals,Split_2
9.0,LEO,22,3,0,11,0,4,0,6,2,8,0,9,0,Lobby 1,Semifinals,Split_2
10.0,RWA,15,11,0,10,0,6,0,10,1,6,0,6,0,Lobby 1,Semifinals,Split_2
11.0,WTN,10,10,1,9,1,11,1,11,0,11,0,0,0,Lobby 1,Semifinals,Split_2
1.0,eGIRLS,112,12,3,1,12,1,17,4,8,1,15,2,6,Lobby 1,Finals,Split_2
2.0,SP,96,1,7,6,4,6,4,1,15,7,7,1,14,Lobby 1,Finals,Split_2
3.0,PVP,56,2,0,3,7,2,8,12,3,9,3,13,6,Lobby 1,Finals,Split_2
4.0,Mystical,47,10,4,7,7,3,7,2,7,16,0,15,0,Lobby 1,Finals,Split_2
5.0,MAUA,38,4,8,2,2,8,1,13,0,8,1,4,2,Lobby 1,Finals,Split_2
6.0,Os Minhauu,37,5,4,12,0,5,0,10,0,4,6,3,4,Lobby 1,Finals,Split_2
7.0,AIMC,33,8,1,4,6,4,2,9,4,15,3,8,0,Lobby 1,Finals,Split_2
8.0,HARD,30,14,4,11,2,17,2,3,6,11,2,7,1,Lobby 1,Finals,Split_2
9.0,TERM,25,7,1,10,1,7,1,18,0,2,1,10,2,Lobby 1,Finals,Split_2
10.0,DICA,21,11,6,17,1,13,3,5,2,6,0,16,0,Lobby 1,Finals,Split_2
11.0,OSO,20,13,0,14,0,11,0,6,2,13,3,6,5,Lobby 1,Finals,Split_2
12.0,TTG,20,9,0,5,4,15,0,16,0,10,3,5,0,Lobby 1,Finals,Split_2
13.0,2k ping,19,6,3,13,0,14,0,17,0,5,2,14,4,Lobby 1,Finals,Split_2
14.0,MALA,13,17,0,18,0,12,0,14,0,3,2,9,0,Lobby 1,Finals,Split_2
15.0,SFD,12,3,2,9,0,18,0,11,0,17,0,17,0,Lobby 1,Finals,Split_2
16.0,QUAS,8,15,0,8,0,16,0,7,0,14,0,12,0,Lobby 1,Finals,Split_2
17.0,RWA,6,0,0,16,0,9,1,8,0,18,1,0,0,Lobby 1,Finals,Split_2
18.0,NICA,6,16,0,15,0,10,0,15,0,12,0,11,0,Lobby 1,Finals,Split_2
19.0,LEO,0,0,0,0,0,0,0,0,0,0,0,0,0,Lobby 1,Finals,Split_2
20.0,Tharsis,0,0,0,0,0,0,0,0,0,0,0,0,0,Lobby 1,Finals,Split_2
1.0,AK47,108,1,13,4,11,1,15,10,4,1,9,3,6,Lobby 1,Semifinals,Split_2
2.0,GOAT,73,2,10,2,0,3,0,1,9,2,4,5,0,Lobby 1,Semifinals,Split_2
3.0,MAUA,56,4,3,1,5,10,0,4,11,3,4,8,0,Lobby 1,Semifinals,Split_2
4.0,SP,51,13,0,9,6,2,2,7,0,11,0,1,15,Lobby 1,Semifinals,Split_2
5.0,WTN,46,6,1,5,5,11,3,9,0,9,8,2,8,Lobby 1,Semifinals,Split_2
6.0,Mystical,40,3,1,11,0,7,6,2,3,8,0,7,5,Lobby 1,Semifinals,Split_2
7.0,Corte Verde,29,5,0,3,4,6,2,5,3,12,0,12,0,Lobby 1,Semifinals,Split_2
8.0,CLB,24,10,0,10,0,12,0,3,3,5,2,6,0,Lobby 1,Semifinals,Split_2
9.0,Barderos,21,11,3,8,0,4,3,8,0,7,0,10,0,Lobby 1,Semifinals,Split_2
10.0,QUAS,19,12,1,12,0,9,2,12,0,4,0,4,1,Lobby 1,Semifinals,Split_2
11.0,NICA,18,8,0,7,0,5,0,6,0,6,1,9,0,Lobby 1,Semifinals,Split_2
12.0,2k ping,14,9,2,6,0,8,0,11,0,10,1,11,0,Lobby 1,Semifinals,Split_2
13.0,SunRise,3,7,0,20,0,0,0,0,0,0,0,0,0,Lobby 1,Semifinals,Split_2
1.0,eGIRLS,126,7,2,1,10,2,13,2,10,1,14,1,20,Lobby 2,Semifinals,Split_2
2.0,Vatos Locos,62,4,5,4,8,3,8,6,6,2,3,12,2,Lobby 2,Semifinals,Split_2
3.0,TVA,56,9,0,3,1,1,5,1,6,3,3,11,0,Lobby 2,Semifinals,Split_2
4.0,AIMC,47,3,5,5,1,4,8,11,0,9,0,2,5,Lobby 2,Semifinals,Split_2
5.0,Tharsis,47,1,10,7,0,5,2,8,1,7,3,4,2,Lobby 2,Semifinals,Split_2
6.0,PVP,41,2,8,8,2,9,0,7,2,5,4,6,2,Lobby 2,Semifinals,Split_2
7.0,Os Minhauu,32,11,0,2,5,12,0,3,3,11,0,5,1,Lobby 2,Semifinals,Split_2
8.0,OSO,28,5,1,11,3,11,0,4,4,6,3,9,1,Lobby 2,Semifinals,Split_2
9.0,ITS TEAM,19,10,1,13,0,13,0,5,3,4,0,8,0,Lobby 2,Semifinals,Split_2
10.0,HARD,16,13,0,12,2,7,2,10,0,10,1,10,0,Lobby 2,Semifinals,Split_2
11.0,TTG,16,12,0,10,0,10,0,12,0,8,1,3,0,Lobby 2,Semifinals,Split_2
12.0,SFD,14,6,1,6,3,8,0,13,0,12,0,0,0,Lobby 2,Semifinals,Split_2
13.0,MALA,14,8,0,9,0,6,0,9,1,13,0,7,0,Lobby 2,Semifinals,Split_2
1.0,AK47,110,2,6,1,11,1,22,4,3,1,15,9,1,Lobby 1,Finals,Split_2
2.0,Vatos Locos,80,1,17,4,6,2,11,16,0,7,10,4,2,Lobby 1,Finals,Split_2
3.0,SP,57,16,3,5,5,13,3,1,12,3,9,11,0,Lobby 1,Finals,Split_2
4.0,eGIRLS,49,8,5,16,6,15,3,6,8,13,3,6,14,Lobby 1,Finals,Split_2
5.0,WTN,49,3,7,3,7,16,0,7,9,17,0,7,6,Lobby 1,Finals,Split_2
6.0,AIMC,39,11,4,18,0,14,0,5,1,12,0,1,15,Lobby 1,Finals,Split_2
7.0,CLB,36,7,0,13,1,19,0,2,3,2,5,10,3,Lobby 1,Finals,Split_2
8.0,Os Minhauu,31,5,2,6,2,17,0,12,0,9,0,2,8,Lobby 1,Finals,Split_2
9.0,Mystical,29,10,0,2,7,8,1,10,0,8,3,13,0,Lobby 1,Finals,Split_2
10.0,GOAT,25,6,1,10,2,6,0,8,7,11,0,5,0,Lobby 1,Finals,Split_2
11.0,MAUA,24,17,0,20,2,7,6,3,4,16,0,12,1,Lobby 1,Finals,Split_2
12.0,ITS TEAM,18,18,0,7,0,5,0,15,0,4,3,8,0,Lobby 1,Finals,Split_2
